	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_57	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_25	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_56	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_165	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4933430H15Rik	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.97	0.0	0.0	14.9	7.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.94	0.0	0.0	0.0	0.0	4.54	0.0	0.0	0.0	0.0	15.56	8.33	0.0	0.0	0.0	7.44	0.38	0.27	0.36
Acbd6	0.0	0.0	16.29	0.0	0.71	5.24	0.0	0.0	13.03	19.81	0.0	29.27	2.83	0.0	0.0	14.84	4.48	17.21	15.57	1.71	0.0	9.27	0.8	0.0	21.8	0.0	13.49	0.0	0.0	0.0	0.0	23.75	0.0	30.27	2.67	4.38	4.66	36.28	0.39	0.0	5.1	0.0	0.56	13.05	0.0	10.27	6.78	21.81	0.47	15.26	0.0	2.43	34.6	56.59	68.62	59.92
Asph	0.0	5.15	10.36	0.12	60.86	44.31	0.0	18.9	3.29	30.99	1.5	0.25	66.9	26.05	9.35	3.85	37.34	20.63	60.14	72.48	10.32	76.27	0.0	45.43	84.71	0.1	47.46	2.1	1.32	2.05	52.31	0.11	4.21	7.44	109.3	37.04	11.42	102.61	21.82	0.13	34.62	33.74	61.26	63.98	22.94	0.24	0.0	10.95	44.32	5.37	4.31	0.07	67.96	110.31	113.31	106.12
Atp8a1	0.0	6.03	6.88	0.0	6.33	16.65	6.07	0.0	9.94	31.87	0.0	7.2	9.98	0.39	8.05	8.09	0.37	22.95	4.04	7.51	17.03	5.59	13.38	10.43	17.87	0.0	3.64	5.82	27.73	0.37	0.0	31.51	16.11	10.64	21.53	5.72	6.67	77.94	2.08	18.49	1.82	2.17	9.05	23.23	1.44	67.97	0.33	11.25	12.49	6.61	0.0	11.35	48.99	95.39	93.01	98.58
B230219D22Rik	0.0	3.8	7.08	174.28	46.9	29.61	24.0	36.31	6.62	3.77	35.7	6.52	65.49	19.47	21.63	9.36	11.27	45.54	19.24	51.18	4.57	7.89	5.42	35.23	72.87	6.22	31.75	25.25	4.55	7.71	9.56	4.73	12.27	4.39	29.94	2.51	30.21	103.53	14.63	38.45	10.63	6.46	36.06	6.63	5.54	24.08	1.78	11.17	39.18	13.1	7.66	31.54	40.41	81.91	77.93	79.48
Calm3	0.0	151.22	231.4	4.71	245.92	203.54	190.21	183.46	243.4	168.78	108.54	158.06	184.42	194.0	190.28	139.8	141.88	155.09	142.08	216.82	138.17	184.09	111.83	192.57	171.41	170.18	184.89	138.77	98.16	157.51	237.75	233.09	258.3	187.49	173.64	134.76	206.64	292.46	177.19	148.5	190.98	165.92	210.66	203.13	159.91	78.56	231.73	191.52	174.57	121.1	156.69	278.66	327.18	1592.64	1647.07	1645.95
Cant1	0.0	0.0	0.0	0.0	4.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.51	0.0	0.78	21.64	0.0	0.0	0.0	0.0	4.22	0.0	0.0	0.0	0.1	0.0	3.32	1.02	0.0	0.0	0.0	0.0	0.19	0.0	0.0	2.78	19.32	31.39	0.0	0.0	3.88	0.0	1.76	9.84	0.0	0.0	0.0	18.1	0.0	0.0	0.0	0.0	5.48	38.78	41.27	41.8
Ccl27b	0.0	0.0	1.67	0.0	0.0	0.92	0.0	6.15	2.68	8.29	0.0	0.77	0.0	0.0	0.0	1.08	0.0	4.51	7.64	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	2.97	0.0	0.76	5.49	0.0	0.0	11.61	2.62	1.92	0.0	4.77	9.42	8.43	2.09	8.14	1.21	1.56	0.0	0.0	0.74	9.34	40.26	30.63	28.29	22.96
Cdk5r1	20.79	22.16	9.87	0.0	11.89	4.04	16.14	0.23	4.1	1.85	0.0	13.08	15.17	15.7	22.01	16.02	6.08	23.04	20.16	16.32	2.15	0.62	0.74	17.51	75.11	16.67	31.68	21.35	8.57	1.64	0.72	17.35	58.11	7.37	8.86	6.87	14.67	37.7	12.46	5.04	1.2	7.11	4.39	24.36	5.15	11.14	18.93	12.08	1.63	3.98	2.44	5.98	48.43	215.41	232.31	213.19
Cdk5r2	0.0	0.75	1.24	0.0	0.22	0.26	1.38	2.09	0.25	0.0	0.0	0.0	0.31	0.0	0.58	0.8	0.0	0.25	3.22	4.29	0.0	3.6	0.0	1.67	2.16	1.28	4.63	0.11	0.0	0.0	0.41	0.3	0.58	0.0	0.0	0.53	1.03	3.72	0.17	0.55	0.0	0.16	0.0	0.0	0.0	1.4	1.6	1.41	1.17	1.38	0.0	0.0	2.01	293.43	337.66	324.81
Celsr2	0.0	3.75	9.43	0.0	1.38	3.53	0.0	13.52	5.4	10.72	3.16	4.88	5.04	11.86	3.69	18.19	0.96	13.62	0.67	3.14	4.52	1.94	0.07	0.0	29.8	0.03	0.22	6.34	0.0	3.48	0.07	27.06	0.4	12.72	19.66	12.95	9.75	28.2	1.6	16.96	15.03	5.85	26.59	21.04	35.31	0.5	7.54	7.54	5.9	9.93	7.99	2.89	10.88	73.45	73.3	82.99
Cnot1	0.0	0.34	4.97	0.02	19.46	13.29	17.12	3.94	0.82	12.74	1.84	12.78	14.1	21.4	14.23	20.3	0.48	4.78	0.66	19.26	0.0	46.93	10.09	3.52	10.66	39.82	27.7	0.69	12.27	1.13	1.21	17.94	0.0	65.95	9.36	16.84	13.79	28.23	14.76	0.13	21.63	0.73	30.64	17.2	25.46	29.2	6.12	9.51	1.14	37.48	4.06	20.63	9.78	45.11	42.17	44.78
Cxxc1	0.0	0.0	1.16	0.0	0.0	15.77	0.0	0.0	3.37	2.43	4.96	0.0	2.63	0.0	0.0	5.78	0.0	0.0	0.0	29.89	0.0	0.0	0.0	8.69	0.0	0.0	14.22	0.0	0.0	0.0	0.0	11.38	4.15	13.09	0.0	0.0	0.0	44.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6	0.0	0.0	0.0	11.18	0.0	0.0	17.07	39.87	45.53	42.76
D3Bwg0562e	0.0	0.35	41.67	1.73	14.34	46.26	24.49	16.32	11.27	54.06	26.26	15.14	22.6	25.34	0.22	4.36	7.43	5.44	0.42	36.67	9.78	78.3	5.56	35.36	20.25	13.41	11.67	14.5	43.88	62.94	24.17	17.38	6.48	24.13	35.9	45.03	15.46	73.32	14.03	49.36	27.32	2.67	21.55	8.18	1.15	23.49	26.49	7.22	55.76	40.26	9.23	18.42	84.8	121.62	116.8	128.52
Dpf1	0.0	0.71	0.55	1.24	7.06	14.52	0.22	2.95	7.37	5.77	4.72	17.53	5.86	1.96	5.57	15.07	0.0	3.52	1.4	4.38	1.05	5.44	6.46	3.84	2.18	0.25	2.19	1.65	0.37	0.84	0.0	0.0	1.85	1.89	17.09	5.99	0.0	24.89	0.0	9.25	14.77	8.83	1.83	0.0	5.03	2.14	5.93	2.89	0.2	4.0	6.15	2.83	24.66	47.74	50.08	44.62
Dusp26	0.0	0.0	9.48	0.0	0.0	4.87	25.1	10.52	1.19	0.0	0.0	15.47	0.0	0.0	4.58	0.0	0.0	0.0	5.96	0.0	0.0	0.0	0.0	1.04	0.34	0.0	0.0	4.17	0.0	0.0	0.0	0.0	17.98	0.0	7.11	6.22	9.34	107.53	0.0	0.22	0.0	28.51	51.66	0.0	64.76	57.49	61.01	12.01	0.0	0.0	4.15	0.0	36.9	82.82	92.92	88.43
Exosc4	0.0	4.66	0.99	2.28	9.09	44.14	0.0	4.31	15.58	58.95	3.51	24.8	6.64	0.28	14.29	20.19	4.34	4.11	2.04	114.74	14.14	10.36	5.79	24.54	130.33	4.76	13.88	22.39	2.96	5.41	3.52	21.12	24.96	3.57	3.38	3.13	1.85	101.58	9.48	5.52	39.63	23.84	35.16	78.37	2.3	20.64	59.09	48.1	5.19	10.27	0.86	0.8	32.96	22.02	24.04	23.62
Fam131b	0.0	0.0	0.1	0.0	14.91	8.05	0.0	5.95	0.67	0.0	2.79	0.13	10.56	1.24	0.0	7.42	0.37	0.0	9.48	0.0	19.42	0.32	0.0	0.11	0.0	1.2	0.19	0.0	4.46	1.02	1.64	8.53	0.77	0.0	6.77	0.0	0.0	25.5	0.0	0.0	0.49	1.06	18.39	0.0	0.0	0.0	0.12	0.0	0.0	2.22	0.0	0.0	5.77	111.09	108.93	108.41
Fryl	0.0	3.92	1.83	8.39	12.31	0.24	2.73	0.0	4.39	5.75	0.0	11.96	8.77	3.49	6.44	0.05	6.78	5.32	0.2	8.49	6.66	3.12	0.0	4.72	14.14	0.0	4.41	0.16	0.04	3.29	7.19	15.29	1.85	5.11	16.14	4.78	5.98	32.37	7.08	3.78	4.76	18.98	2.35	8.95	0.0	0.19	6.97	13.52	7.25	7.47	0.65	12.64	12.69	22.19	20.94	23.28
Get4	0.0	0.0	4.2	0.0	5.31	1.85	6.83	0.0	5.94	0.41	17.45	1.15	0.0	40.21	0.0	19.73	0.0	0.35	0.0	7.28	0.0	0.0	16.26	0.48	29.79	0.0	3.58	0.0	5.69	11.6	0.39	1.93	0.0	4.37	1.42	9.04	23.43	32.6	1.94	0.0	1.58	0.0	23.33	10.07	10.1	3.69	2.53	0.0	35.48	2.25	0.0	3.79	14.19	55.98	62.01	56.66
Gm13306	0.0	0.0	1.67	0.0	0.0	0.92	0.0	6.15	2.68	8.29	0.0	0.77	0.0	0.0	0.0	1.08	0.0	4.51	7.64	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	2.97	0.0	0.76	5.49	0.0	0.0	11.61	2.62	1.92	0.0	4.77	9.42	8.43	2.09	8.14	1.21	1.56	0.0	0.0	0.74	9.34	40.26	30.63	28.29	22.96
Gm17769	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.1	0.0	0.22	0.3	0.0	0.0	0.0	0.17	0.0	0.0	0.19	0.0	0.0	0.0	0.18	0.0	0.0	0.02	0.2	1.91	1.41	1.43
Gm2506	0.0	0.0	1.67	0.0	0.0	0.92	0.0	6.15	2.68	8.29	0.0	0.77	0.0	0.0	0.0	1.08	0.0	4.51	7.64	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	2.97	0.0	0.76	5.49	0.0	0.0	11.61	2.62	1.92	0.0	4.77	9.42	8.43	2.09	8.14	1.21	1.56	0.0	0.0	0.74	9.34	40.26	30.63	28.29	22.96
