	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_40	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110032F04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.03	0.0	0.18	67.73	58.78	0.0	0.0	0.0	0.28	0.26	0.22	9.97	8.82	7.15	14.78	19.41	16.81
1700012D01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.59	0.0	0.0	0.0	0.0	2.73	7.28	0.0	4.13	2.11	2.67	1.48	3.07	1.99
4921517L17Rik	0.0	8.12	0.0	0.0	0.0	0.0	0.0	0.0	5.13	0.0	5.77	0.0	0.0	0.0	0.0	0.0	0.0	3.57	0.05	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.95	0.27	41.7	0.0	0.0	0.0	3.22	4.34	0.0	124.8	2.87	2.65	0.15	0.04	0.17	4.04	0.27	4.42	3.45	1.66	3.65	3.11	2.99
A530016L24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.32	0.43
AF251705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31	0.0	0.0	0.0	0.0	0.0	5.62	0.0	0.0	0.0	0.0	4.05	4.23	4.84
Amy2a2	0.0	0.04	0.17	0.01	0.0	0.07	0.0	0.04	0.0	0.12	0.51	0.22	0.0	0.13	0.13	0.22	0.1	0.09	0.08	0.17	0.09	0.03	0.2	0.14	0.2	0.07	0.17	0.16	0.04	0.05	0.0	0.1	0.38	0.08	0.31	0.17	0.22	0.02	0.11	0.07	0.0	0.18	0.09	0.12	0.0	0.3	0.25	0.12	0.12	0.13	0.16	0.09	0.6	0.24	0.11	0.21	0.26	0.19	0.21
Amy2a3	0.0	0.04	0.17	0.01	0.0	0.07	0.0	0.04	0.0	0.12	0.51	0.22	0.0	0.13	0.13	0.22	0.1	0.09	0.08	0.17	0.09	0.03	0.2	0.14	0.2	0.07	0.17	0.16	0.04	0.05	0.0	0.1	0.38	0.08	0.31	0.17	0.22	0.02	0.11	0.07	0.0	0.18	0.09	0.12	0.0	0.3	0.25	0.12	0.12	0.13	0.16	0.09	0.6	0.24	0.11	0.21	0.26	0.19	0.21
Amy2a4	0.0	0.04	0.17	0.01	0.0	0.07	0.0	0.04	0.0	0.12	0.51	0.22	0.0	0.13	0.13	0.22	0.1	0.09	0.08	0.17	0.09	0.03	0.2	0.14	0.2	0.07	0.17	0.16	0.04	0.05	0.0	0.1	0.38	0.08	0.31	0.17	0.22	0.02	0.11	0.07	0.0	0.18	0.09	0.12	0.0	0.3	0.25	0.12	0.12	0.13	0.16	0.09	0.6	0.24	0.11	0.21	0.26	0.19	0.21
Ankrd33b	0.0	0.0	13.02	3.59	0.0	0.0	0.0	0.0	0.0	0.0	18.36	3.32	0.0	0.02	0.0	0.0	0.0	0.01	3.05	0.48	0.0	0.22	1.71	1.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.62	0.0	0.0	0.0	0.0	0.0	1.35	2.51	11.01	0.0	0.0	0.0	18.52	8.88	0.0	4.04	0.0	20.01	5.79	20.59	17.45	22.54	13.55	37.47	37.62	33.48
Ap1s3	5.7	2.73	7.39	1.13	0.71	2.78	2.03	8.3	2.15	2.15	1.92	6.3	3.42	4.35	3.33	4.03	2.59	2.65	3.09	2.94	1.55	1.68	1.09	4.36	2.5	1.72	3.53	1.12	2.15	3.35	1.75	2.84	1.64	1.36	1.84	3.0	1.62	3.09	4.29	3.54	1.15	3.91	3.68	4.96	4.9	11.83	2.12	3.16	2.5	2.64	5.65	10.71	7.78	6.67	9.12	7.06	10.15	9.11	11.48
