	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_57	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700018A04Rik	0.0	0.0	0.0	0.14	0.14	0.3
4930419G24Rik	0.0	0.0	0.0	0.19	0.18	0.2
4930526D03Rik	0.0	0.0	0.0	0.14	0.14	0.15
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
5033411D12Rik	0.0	0.0	0.0	3.12	3.42	3.87
9530053A07Rik	0.0	0.0	0.0	0.04	0.04	0.05
A930003O13Rik	0.09	0.42	0.0	1.03	1.12	1.1
A930041C12Rik	0.0	0.0	0.0	0.19	0.18	0.2
Adipor2	0.0	0.0	0.0	35.22	36.69	31.89
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Col4a3	0.0	0.0	0.0	0.16	0.16	0.29
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dnase2b	0.0	0.0	0.0	0.04	0.04	0.13
Dsg1c	0.0	0.0	0.0	0.32	0.32	0.43
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Duox2	0.0	0.0	0.0	0.02	0.02	0.03
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Ebf4	0.0	0.0	0.0	9.17	8.46	10.38
Eif4b	10.9	55.57	22.87	124.34	132.27	126.09
F11	0.0	0.0	0.0	0.04	0.04	0.05
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gipr	0.0	0.0	0.0	2.77	2.77	3.21
Gm4814	0.0	0.0	0.0	0.28	0.28	0.9
Gm9961	0.0	0.0	0.0	0.19	0.18	0.2
Gse1	0.0	0.0	0.0	24.05	28.04	26.12
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hirip3	0.0	0.0	0.0	21.72	21.68	21.07
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpd	0.0	0.0	0.0	0.07	0.07	0.15
Insrr	0.0	0.0	0.0	0.27	0.27	0.3
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif1c	0.0	1.29	0.0	43.8	44.6	46.11
Kif2c	0.0	0.0	0.0	0.28	0.28	0.42
Kndc1	21.59	7.25	10.28	47.74	47.05	52.63
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pcnx	0.86	4.44	0.06	41.89	39.12	41.76
Perp	0.0	0.0	0.0	5.12	5.12	4.69
Pfn3	0.0	0.0	0.0	0.19	0.18	0.2
Pmp2	0.0	0.0	0.0	0.07	0.07	0.15
Pnpla1	0.0	0.81	0.0	1.77	1.04	1.54
Pspc1	0.0	0.0	0.0	46.17	50.17	47.53
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tpte	0.0	0.0	0.0	0.04	0.04	0.16
Trhr	0.0	0.0	0.0	3.14	2.96	3.62
Trim56	0.72	2.74	0.17	3.55	3.52	4.14
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Yipf7	0.0	0.0	0.0	0.08	0.08	0.09
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	6.26	0.0	15.09	18796.57	17507.83	18655.33
