	Ctgf_tdTpositive_cell_2	Cux2_tdTpositive_cell_94	Cux2_tdTnegative_cell_12	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Rbp4_tdTpositive_cell_61	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_184	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
1110038B12Rik	0.0	0.0	0.0	0.0	319.24	0.0	0.0	246.55	79.03	130.73	158.45	0.0	262.44	484.85	51.89	31.63	0.0	0.0
Acot9	0.0	0.0	0.0	0.0	214.91	0.0	0.27	423.96	10.22	104.0	133.31	0.0	0.0	0.0	103.26	0.0	0.0	0.12
Aqr	0.0	0.0	0.0	0.07	129.34	23.38	0.59	104.65	0.09	2.52	0.75	0.0	11.66	0.0	30.04	4.49	36.76	29.67
Arl1	0.0	0.0	0.0	0.0	297.04	0.0	0.52	300.35	0.35	83.77	134.11	0.0	0.34	2.2	161.17	157.5	71.15	254.34
Atp6v0e	0.0	0.0	0.0	0.0	420.07	151.46	0.0	628.47	1.49	153.71	62.85	0.0	0.36	0.0	136.81	117.0	0.0	95.4
Cops5	0.0	0.0	0.0	0.0	476.69	47.96	7.85	332.54	198.42	217.47	215.79	0.0	1.12	0.0	133.39	83.75	237.89	230.57
Dynlt1b	0.0	23.54	0.0	0.0	192.33	0.0	9.42	327.82	0.27	3.46	250.5	0.0	0.4	0.0	55.78	35.61	71.33	46.19
Far1	0.0	0.0	0.0	0.0	167.79	142.54	0.21	261.36	131.76	98.71	51.0	0.0	11.1	238.87	78.16	68.27	0.04	25.12
Gstt1	0.0	0.0	0.0	38.11	0.0	0.0	0.0	307.29	224.15	34.94	166.96	0.0	0.81	0.0	1.47	62.32	72.49	0.18
Herpud1	0.0	0.0	0.0	0.0	468.4	0.0	13.63	659.46	70.39	166.99	204.95	1.25	202.99	215.38	251.85	139.87	210.25	88.22
Ica1	0.0	30.24	0.3	33.47	235.99	39.6	69.67	299.53	84.78	110.41	167.74	0.0	119.64	0.0	189.77	114.4	125.64	232.41
Mrpl16	0.0	0.0	0.0	0.0	101.53	0.0	0.0	256.91	3.09	72.65	112.96	0.0	0.0	24.29	0.14	95.56	0.13	58.13
Mrpl44	0.0	0.0	0.0	0.0	208.65	0.0	0.0	319.8	0.5	209.84	97.06	0.0	0.58	0.0	0.11	60.12	111.82	0.25
Mthfd1	0.0	2.22	7.57	0.0	102.33	21.83	0.0	97.94	129.01	1.84	0.0	0.0	28.5	16.94	1.86	1.79	59.62	29.09
Nudt16l1	0.0	0.0	0.0	0.0	462.96	0.0	199.37	364.17	145.35	94.48	201.86	0.0	0.44	0.0	63.72	38.47	98.33	111.62
Nudt2	0.0	0.0	0.0	0.0	191.06	0.0	0.0	313.59	1.56	9.06	198.01	0.0	0.0	6.55	0.0	42.21	0.17	54.73
