	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_68	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4933431E20Rik	0.0	0.0	2.45	45.26	11.58	2.28	54.37	54.31	53.33
6030419C18Rik	0.0	0.0	0.0	2.77	0.0	0.0	145.22	160.11	161.24
AA792892	0.0	0.0	0.0	0.37	0.0	0.0	0.7	0.47	0.59
Angptl2	0.0	0.0	0.0	0.75	0.0	0.0	2.63	3.5	2.48
Arhgap17	0.0	0.0	0.0	32.82	0.0	0.0	9.91	10.35	12.26
Arhgap20	0.0	0.0	0.0	78.07	0.0	0.16	44.82	40.43	42.07
Asf1a	0.0	0.0	0.0	64.44	0.0	0.0	11.16	10.94	11.57
Bai1	0.0	0.0	0.21	2.51	0.06	0.0	192.34	203.59	216.02
Btnl9	0.0	0.0	0.0	0.32	0.0	0.0	0.12	0.11	0.04
Cabp1	0.0	0.0	2.31	45.25	1.04	0.61	158.2	157.48	164.46
Ccdc111	0.0	0.0	0.0	20.92	0.0	0.0	3.57	3.19	3.43
Cib2	0.0	0.0	0.0	63.78	0.0	0.0	37.18	43.03	40.25
Clec2g	0.2	0.0	0.22	2.46	0.55	0.0	1.34	0.98	1.13
Crk	0.0	0.0	62.1	79.21	0.0	0.0	104.96	99.14	97.37
Dact3	0.33	0.0	24.16	27.9	7.3	0.0	125.8	137.92	131.01
Dcaf8	2.64	0.0	35.16	116.29	38.2	49.54	104.22	105.32	101.18
Dhx8	0.22	0.0	3.29	52.68	0.46	0.0	26.43	25.96	23.12
E130311K13Rik	7.85	0.61	2.48	83.31	4.26	0.0	10.83	10.52	11.46
Efcab2	0.0	0.0	0.0	58.86	1.73	0.0	8.99	8.1	8.8
Ei24	0.0	0.0	23.52	69.6	2.65	0.0	108.32	105.12	104.99
Fxr1	16.16	0.0	18.61	146.37	17.71	3.06	60.7	53.16	58.08
Gga3	0.0	0.0	0.0	37.22	0.34	0.1	56.8	56.2	56.57
Gigyf2	0.0	0.0	3.77	26.03	4.59	0.91	32.74	29.92	31.35
Gm11648	0.0	0.29	0.32	0.4	0.11	0.13	0.47	0.16	0.61
Gramd1b	0.0	0.0	2.07	68.21	14.54	0.0	89.22	80.69	89.47
Hras1	0.0	0.0	0.0	89.1	44.29	1.37	97.29	100.13	101.06
