	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_160	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_9
0610037L13Rik	0.27	0.0	0.0	0.0	0.59	0.0	3.4	76.76	82.69	93.05	63.52	42.88	171.06	116.91	71.68	34.2	68.71	0.0	1.38	1.01	893.75	0.0	70.91	100.69	0.0
1700037H04Rik	0.0	0.0	0.0	0.0	309.92	0.0	0.0	188.83	181.26	161.98	48.88	244.18	333.6	267.52	178.56	145.05	29.93	0.27	0.0	0.0	0.0	0.0	77.3	1.03	0.0
3000002C10Rik	0.67	0.0	0.0	0.76	7.78	0.0	0.0	54.05	3.1	128.27	0.84	1.43	264.74	5.6	0.58	1.19	0.0	5.58	0.6	0.0	0.0	0.0	0.53	0.35	0.0
3110001D03Rik	0.0	0.0	0.0	0.0	0.0	0.0	419.64	45.61	94.41	58.19	203.82	2.43	200.88	133.63	118.89	168.25	224.95	403.43	0.0	0.0	0.0	0.0	0.0	1.22	0.0
Atf2	0.0	0.08	0.26	0.0	59.32	0.11	70.51	187.17	114.69	31.95	138.89	115.98	215.62	326.22	36.3	109.86	27.42	0.08	410.47	419.12	0.82	26.28	23.7	0.11	0.08
Atpaf2	0.18	0.13	0.0	1.25	1.71	0.0	2.71	20.78	44.88	70.58	27.65	0.28	103.16	75.87	70.56	9.71	6.66	0.98	0.15	2.27	1.73	2.02	0.12	0.34	1.48
Bcl11a	0.0	0.0	0.0	0.0	41.84	0.0	223.84	81.56	51.54	88.92	30.12	214.36	132.73	83.63	1.7	10.54	53.57	0.0	0.4	0.18	0.0	0.0	93.39	0.57	0.0
Bre	0.0	0.0	0.0	0.0	204.3	0.0	322.73	240.33	58.22	197.59	12.35	23.22	527.46	202.78	108.72	0.0	105.5	0.0	0.66	0.0	0.0	0.0	129.74	0.75	0.0
Ccdc32	0.43	0.0	0.0	0.0	95.07	0.76	2.29	25.2	67.63	173.22	6.65	391.27	281.1	52.86	23.84	1.21	15.55	0.7	0.39	6.71	2.45	0.76	50.45	0.45	0.0
Ccl27b	0.0	0.0	0.0	0.0	113.94	0.0	10.7	54.72	30.68	0.23	21.3	2.24	387.32	114.35	145.03	0.49	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	0.0
Celf5	0.0	0.0	0.0	0.0	19.01	0.0	7.57	21.58	24.53	33.11	16.72	42.34	48.33	36.48	16.06	32.92	23.77	1.46	0.17	1.29	1.04	0.0	7.75	0.1	0.41
Celsr2	0.0	0.0	0.0	0.0	27.99	0.0	25.75	20.92	51.81	29.1	9.36	25.61	37.65	12.35	17.06	37.81	24.12	0.03	1.02	0.0	0.0	0.0	30.26	14.6	0.0
Cog5	39.63	0.0	0.0	0.0	0.0	0.0	9.92	0.0	6.31	3.95	61.43	78.6	82.12	0.0	0.0	10.8	2.68	0.11	0.0	25.53	18.89	0.0	0.0	0.0	0.0
Gcdh	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.8	170.79	5.76	0.0	0.67	190.87	0.38	0.33	0.79	4.36	0.0	0.69	0.0	0.0	0.28	53.52	0.39	0.0
Gdpd1	0.0	0.0	0.0	0.0	93.34	0.0	2.09	157.18	47.45	121.68	16.73	148.34	284.76	15.38	1.37	18.82	0.0	0.0	0.0	0.31	0.52	0.24	186.3	0.67	0.0
Gle1	0.13	0.11	212.6	0.0	0.19	0.0	0.42	0.76	91.08	40.72	0.0	17.6	138.74	41.91	2.68	0.0	82.86	0.0	0.23	0.0	0.0	0.0	31.92	0.13	0.0
Gm13306	0.0	0.0	0.0	0.0	113.94	0.0	10.7	54.72	30.68	0.23	21.3	2.24	387.32	114.35	145.03	0.49	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	0.0
Gm15772	0.0	0.0	0.0	47.79	707.72	0.0	1334.73	558.58	684.38	652.74	864.15	607.48	552.75	1308.65	1005.05	555.24	1100.69	643.09	3.08	1.63	380.18	166.98	524.11	598.81	0.0
Gm2506	0.0	0.0	0.0	0.0	113.94	0.0	10.7	54.72	30.68	0.23	21.3	2.24	387.32	114.35	145.03	0.49	75.28	0.0	0.0	0.0	0.0	0.0	150.8	0.46	0.0
Gmps	27.37	0.31	1.61	0.8	1.38	0.95	184.16	287.57	136.56	317.0	68.22	376.51	466.63	148.75	102.64	142.41	55.04	4.45	569.2	4.36	2.04	16.94	361.07	317.61	286.53
Gng3	0.25	0.0	0.0	0.0	545.61	0.0	366.26	620.3	636.61	739.86	1102.49	539.68	1239.05	841.84	1126.81	639.56	943.29	1.34	433.53	1290.33	1.15	0.36	693.67	0.99	552.92
Gnpda1	0.0	0.0	0.0	0.0	0.13	0.0	214.76	52.36	0.0	63.79	34.95	150.95	397.4	113.99	0.0	0.24	0.0	0.0	0.0	795.95	0.0	0.0	206.39	0.36	0.0
Gpr22	0.0	0.0	0.0	0.0	30.01	0.0	141.91	130.18	110.98	72.3	1.28	117.78	254.78	40.54	41.87	14.77	92.16	0.07	0.16	0.0	0.14	0.0	33.39	0.09	0.0
