	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_15	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_109	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_159	Rbp4_tdTpositive_cell_162	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110032A04Rik	2.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.51	0.0	0.0	0.0	0.0	84.37	0.0	0.0	0.0	29.24	19.86	1.33	0.0	128.83	0.0	62.35	43.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.99	0.0	0.0	2.38	3.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	4.06	2.85
1110037F02Rik	7.09	0.0	8.6	0.0	6.32	0.1	33.05	0.0	0.83	0.0	0.05	28.15	0.37	0.0	11.4	0.0	0.0	0.77	0.16	0.14	0.0	44.97	4.17	24.75	18.86	8.11	0.16	67.02	7.04	0.04	5.29	0.0	27.06	0.06	15.95	15.19	9.01	17.57	6.15	6.71	15.1	7.94	9.39	75.65	0.0	0.03	0.0	0.0	23.01	8.4	20.16	18.84	18.64
1700064M15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.6	0.17
2310022B05Rik	0.0	0.0	23.25	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26	0.0	0.0	0.0	0.42	2.16	1.04	1.99	0.0	0.0	3.95	0.0	0.0	0.0	0.0	46.11	51.31	45.81
2700023E23Rik	28.99	0.0	0.0	30.37	5.62	0.0	0.0	0.0	0.0	0.0	100.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.81	38.98	76.28	0.0	0.0	0.0	0.0	37.6	118.46	40.87	0.0	42.3	49.03	0.0	0.0	5.33	22.94	25.34	10.49	40.56	28.7	11.06	14.46	11.12	31.96	0.0	111.03	0.0	0.0	0.0	0.0	6.14	4.86	6.34
4930441O14Rik	0.0	0.0	0.0	0.0	42.21	6.27	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	0.17	0.0	0.68	0.0	0.0	0.0	35.8	0.0	0.0	92.7	5.17	0.0	0.0	0.0	0.0	0.0	0.62	6.18	1.29	4.64	6.38	1.9	8.61	2.76	7.34	5.21	0.0	43.6	0.0	0.0	0.0	0.0	2.75	2.62	2.62
4930506M07Rik	0.0	6.61	9.11	0.0	17.45	0.0	2.68	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	12.48	0.06	5.38	34.21	17.53	0.0	0.0	36.11	19.15	28.0	97.74	0.0	0.08	0.13	0.08	0.0	90.27	15.85	3.5	8.42	18.46	9.25	7.68	13.93	9.35	7.88	11.84	0.0	0.06	35.2	5.38	0.0	3.42	26.69	25.17	27.17
4930549G23Rik	10.18	0.0	0.0	0.0	0.0	31.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.22	0.0	0.0	0.0	13.16	0.0	0.83	2.99	0.0	0.0	7.49	0.0	0.0	1.84	0.72	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38	0.64	0.92
4933432B09Rik	0.1	0.1	13.62	0.0	1.29	2.2	2.48	0.09	0.3	0.05	0.49	0.14	0.14	0.32	0.0	8.56	0.35	1.26	2.32	0.78	3.43	1.31	0.0	4.77	2.36	0.43	0.82	27.51	0.1	0.62	0.53	0.11	0.0	0.54	4.85	0.33	4.56	4.69	0.52	6.0	1.14	1.16	2.3	0.43	0.54	0.94	11.4	0.31	0.05	1.51	5.87	4.74	5.87
4933439C10Rik	4.09	0.0	36.95	0.0	0.0	10.21	0.49	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.63	0.0	0.0	0.0	2.21	0.0	18.61	3.21	0.0	0.55	35.0	1.52	0.0	41.06	26.7	0.0	0.0	2.3	0.58	20.43	0.0	0.0	0.72	5.99	6.65	6.17	3.47	0.15	116.11	0.0	0.0	0.0	67.93	26.91	28.63	28.87
