	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_73	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_103	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_14	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_5	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_27	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTpositive_cell_18	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_48	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700029I01Rik	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.36	0.0	0.0	0.48	0.06	0.03	91.5	0.22	0.24	0.8	0.0	16.0	0.15	0.0	0.0	0.2	0.0	0.19	0.0	0.0	0.0	1.95	1.62	2.06
2610028H24Rik	0.0	0.82	2.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	1.0	0.0	20.27	1.02	0.0	20.43	0.0	2.18	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.19	0.1
Arhgap32	14.54	52.55	22.41	39.21	27.27	1.51	1.7	46.5	89.2	9.91	69.34	19.49	25.65	15.9	8.8	10.58	81.51	12.65	29.21	124.64	38.81	48.66	95.31	89.76	75.28	75.4	16.51	52.72	16.94	0.26	100.05	40.69	0.59	34.42	137.07	128.38	137.14
Arntl	4.7	142.76	0.16	0.0	0.0	0.0	0.0	0.0	58.94	0.15	0.08	3.63	0.0	37.07	0.0	0.0	25.82	0.0	0.0	56.67	0.13	0.0	244.12	0.0	0.0	119.75	3.49	0.0	0.0	0.0	0.0	20.76	0.0	369.84	28.72	27.5	32.93
B4galt7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.1	84.95	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.17	134.69	0.0	99.83	0.0	0.0	92.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.21	1.73	0.0	0.0	22.85	24.47	27.31
Bsdc1	0.0	0.0	88.74	0.71	0.0	88.81	0.0	0.0	30.14	0.22	0.07	0.0	4.98	1.27	0.09	0.0	0.0	24.75	0.04	112.1	0.0	0.0	120.27	0.0	0.0	67.85	0.0	0.0	0.0	0.0	113.58	1.54	107.29	0.0	50.23	51.49	49.17
Ccdc138	0.0	89.79	0.21	0.15	0.0	0.0	0.0	0.0	0.21	0.0	0.07	0.0	0.0	0.0	0.06	0.0	8.71	0.06	0.05	0.26	0.0	0.2	118.26	0.0	0.0	5.25	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	2.92	2.91	3.18
Ccdc157	1.01	1.93	1.07	1.59	1.4	1.83	0.24	0.77	2.01	52.98	2.03	2.25	0.11	1.03	1.53	2.53	1.69	0.67	0.96	43.52	1.71	0.34	48.99	14.97	1.1	1.15	0.0	1.07	1.28	0.42	1.51	96.4	1.13	1.18	19.84	18.57	21.08
Ccm2	0.0	0.0	0.0	219.76	1.53	0.0	0.0	1.23	0.2	4.3	34.53	0.0	0.0	0.0	0.0	1.13	40.46	0.0	0.0	4.79	77.5	0.0	113.99	2.02	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.44	0.14	0.0	55.46	61.72	57.53
Cds2	0.0	2.7	60.39	96.42	72.28	79.77	32.81	101.73	73.67	65.85	88.33	0.48	24.91	39.25	0.06	0.0	4.01	43.07	22.11	134.01	36.43	31.17	211.07	96.99	30.69	89.11	0.28	20.65	0.24	2.6	1.95	0.55	1.56	113.31	203.83	204.49	205.55
Crat	0.0	0.0	0.05	0.09	0.11	0.29	0.0	0.0	0.98	0.0	0.0	0.09	0.0	0.0	0.0	0.0	18.88	0.0	19.66	0.16	0.12	5.95	141.82	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.47	0.73	23.32	24.38	24.75	25.3
Crispld1	0.0	0.15	0.03	0.52	0.56	0.0	0.0	0.0	0.1	0.24	0.1	0.0	0.03	0.09	0.07	0.23	0.07	0.22	0.03	108.6	0.49	0.26	221.97	0.48	22.71	0.3	0.17	0.0	0.0	0.0	0.0	0.0	0.07	0.17	3.84	3.1	3.51
Derl2	0.0	0.0	0.0	0.0	0.13	0.0	0.0	48.74	0.0	0.0	0.05	24.23	0.0	42.74	0.0	0.0	0.0	0.0	0.0	129.12	0.1	0.0	150.14	93.58	0.18	0.18	0.0	0.0	96.0	0.0	0.0	1.16	0.0	105.93	18.5	17.22	18.75
Gipc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.22	0.0	0.0	28.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.93	1.12
Gm10406	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.57	0.0	0.0	0.0	0.0	0.0	31.78	0.0	0.0	78.79	5.15	24.13	61.53	33.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	7.94	7.92	7.63
Gm2002	0.24	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.08	0.12	0.0	0.0	0.0	0.05	0.0	1.61	0.04	0.0	2.02	0.05	0.26	0.09	18.78	0.53	8.6	0.0	0.11	0.0	0.0	22.17	0.0	0.14	0.17	1.73	1.86	1.4
Gm3002	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.18	11.01	0.0	0.0	0.0	0.0	0.0	0.03	0.02	0.0	19.13	0.15	11.62	1.01	0.8	0.0	0.0	0.0	0.33	0.0	0.0	4.56	0.04	0.13	0.0	20.99	17.86	20.91
Gm3317	0.0	0.0	0.0	2.39	0.0	4.69	0.0	0.0	0.05	0.0	1.39	0.0	0.18	0.0	0.0	0.0	9.88	0.0	0.0	94.0	1.68	26.35	12.25	27.99	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38	2.75	2.9
Gm3494	0.0	0.0	0.0	2.39	0.0	4.69	0.0	0.0	0.05	0.0	1.39	0.0	0.18	0.0	0.0	0.0	9.88	0.0	0.0	94.0	1.68	26.35	12.25	27.99	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38	2.75	2.9
Gm8348	0.0	0.0	0.14	11.97	0.0	6.04	0.0	0.0	0.0	0.0	191.84	0.0	0.0	0.0	0.0	0.0	15.09	0.0	3.04	75.44	0.0	19.7	72.97	39.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	1.48	6.31	1.91
Gng13	0.0	0.0	2.77	133.89	0.0	0.0	0.0	88.5	1.03	0.53	0.54	44.57	0.0	70.54	5.69	0.0	95.49	11.37	32.1	159.15	56.32	15.66	184.97	0.0	0.0	107.3	13.91	27.7	0.0	0.0	37.67	18.32	14.07	0.0	38.67	45.12	50.04
Gramd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.88	0.0	0.0	0.0	0.0	0.0	65.29	0.0	0.0	122.05	0.0	0.0	0.0	0.0	0.0	0.2	0.17	0.0	8.7	8.68	7.4
