	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_16	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_49	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_92	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700052K11Rik	0.0	0.0	0.0	0.0	0.3	0.25	0.3	0.0	0.0	75.21	0.23	0.0	0.0	0.14	0.13	0.0	0.0	0.39	15.79	0.2	0.94	0.01	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.16	0.41	0.19	0.0	0.12	0.43	7.2	6.21	7.79
2410076I21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.74	0.0	26.28	0.0	0.0	0.62	12.25	4.04	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	6.44	0.0	0.0	0.0	1.24	0.0	0.0	7.22	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.79	0.54	1.78
4732415M23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	2.83	3.24	4.6
4930403N07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
6430550D23Rik	0.23	0.16	0.29	0.0	0.47	0.5	0.0	0.27	0.0	0.66	0.0	0.0	0.0	0.07	0.6	0.52	0.19	0.2	0.19	0.0	0.0	0.0	0.0	0.0	0.48	0.28	0.0	0.44	0.0	0.3	0.35	0.0	0.63	0.0	0.16	0.0	0.15	0.56	0.89	1.39	1.24	1.44
A330093E20Rik	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	115.12	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	39.57	0.0	0.0	0.18	0.0	0.0	43.53	1.31	2.54	0.88	1.05	1.65
AA415398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	1.29	6.21	6.1	6.79
Aasdh	0.0	0.0	0.0	23.78	0.0	0.0	0.0	0.0	8.73	36.7	0.0	0.0	4.65	17.67	0.0	0.0	19.74	0.0	0.0	0.0	0.0	34.76	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.0	8.83	0.0	0.0	0.0	20.28	0.0	0.0	8.19	9.44	10.81	10.2	12.01
Abcc10	0.0	0.04	0.0	0.04	0.0	0.0	0.0	0.0	0.0	14.92	0.0	0.0	0.0	0.01	0.0	12.14	11.25	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.02	0.0	0.0	0.09	0.0	0.0	0.0	0.07	0.05	15.07	0.0	0.12	0.07	7.25	8.35	8.26
Abcg2	0.0	0.0	0.0	0.0	0.0	29.2	0.0	0.0	0.0	108.16	88.35	0.0	0.0	0.0	0.0	0.0	0.0	66.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.98	15.84	0.0	0.0	0.0	0.0	0.0	23.06	0.0	42.25	0.0	0.0	50.17	47.48	17.22	15.36	14.09
Abhd1	0.0	0.0	0.0	0.0	0.0	27.86	0.0	0.0	0.0	122.65	0.0	0.0	0.0	48.69	0.0	0.0	78.25	0.0	2.42	0.0	25.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.88	8.18	2.57	3.4	1.86
Acer2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	3.41	3.7	2.75
Aff3	5.57	0.0	8.95	0.0	0.0	0.0	7.89	0.0	0.0	53.26	0.0	0.0	0.0	0.0	13.92	0.0	7.39	0.0	0.0	35.1	0.0	1.3	2.98	0.04	0.0	5.38	0.0	0.0	26.9	0.0	0.0	28.91	0.0	0.0	0.04	0.0	0.0	5.94	2.98	25.41	23.65	24.79
Apobr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.93	0.93	0.48
Atg4a	0.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.0	100.92	0.0	0.0	0.0	0.0	0.0	0.0	39.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	0.0	0.0	46.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.68	4.13	7.21	6.44	6.57
BC024582	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.0
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bnip1	0.0	119.88	213.16	0.0	0.0	0.0	0.0	0.0	0.0	237.96	0.0	0.0	0.0	0.0	0.59	57.49	19.85	0.0	1.07	57.83	0.0	0.2	0.0	0.0	41.87	62.72	0.16	0.65	0.0	0.0	0.0	0.0	79.8	0.0	70.88	49.35	0.0	19.92	32.1	30.09	31.23	32.12
Cachd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.21	8.1	8.24	7.81
Cad	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.12	0.0	0.0	0.0	29.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.9	0.0	0.0	1.08	1.62	1.3	8.73	8.88	10.45
Cdnf	0.28	0.23	1.3	1.06	4.52	0.51	1.11	0.0	1.3	48.2	0.7	0.35	0.53	0.49	0.39	0.38	1.53	1.76	0.63	1.11	0.77	0.57	0.25	0.13	1.1	0.31	0.34	3.72	0.35	3.77	2.4	0.23	0.17	1.4	1.09	0.47	1.67	0.22	0.38	2.35	2.4	3.1
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
