	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_16	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700012B15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.58	12.04	0.0	36.7	38.86	31.37	18.18	0.0	46.36	0.0	0.0	4.61	46.04	0.0	0.31	7.41	0.0	0.0	5.43	9.38	0.0	16.62	0.0	18.46	41.17	3.09	158.03	2.64	0.0	11.28	17.38	18.29	19.98
3110009E18Rik	1.52	35.63	0.0	0.0	0.0	0.0	0.0	0.0	15.42	0.0	0.0	41.8	0.0	14.03	0.0	0.0	22.5	8.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.78	0.0	39.09	14.55	2.4	0.0	0.0	106.6	0.0	0.0	4.85	3.01	4.0	2.76
4832428D23Rik	0.0	0.0	0.32	0.11	0.0	0.0	0.0	0.0	0.16	0.03	0.0	0.11	0.11	0.04	0.14	0.0	0.14	0.2	0.0	0.09	0.19	0.0	0.0	0.2	0.12	0.08	0.0	0.0	0.1	0.0	0.08	0.3	0.0	0.0	0.85	0.45	0.0	0.12	0.25	0.28	0.3
4930528D03Rik	3.01	1.32	0.0	1.36	0.0	0.0	136.05	0.0	0.41	6.95	3.57	0.28	6.9	0.0	0.15	1.27	0.67	0.0	0.0	0.0	0.0	0.0	0.46	0.0	1.18	0.0	0.1	2.76	0.24	4.38	0.37	3.85	0.48	0.54	44.15	0.76	0.0	3.71	3.34	2.88	2.55
4933426D04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25	0.0	0.0	0.0	3.37	0.0	20.87	0.0	0.0	0.0	0.0	0.0	3.26	0.0	0.0	68.83	0.0	0.0	2.89	0.51	0.29	1.16
5430427M07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.12	0.17	0.27	0.22	0.0	0.31	0.11	0.0	0.32	0.22	0.25	0.0	0.54	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.28	1.72	0.0	0.16	3.85	0.62	0.0	0.36	0.58	0.51	0.6
9330182L06Rik	32.41	4.95	0.0	0.0	0.0	0.0	0.0	0.0	2.75	6.52	2.02	43.68	0.0	1.73	0.02	55.52	23.02	23.34	4.85	0.0	1.76	0.0	37.73	0.0	0.0	0.0	0.0	0.0	0.0	20.34	13.58	14.09	24.24	17.19	110.43	0.0	0.0	8.63	28.95	23.15	28.39
A330076C08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.13	0.15	0.0	0.83	0.0	0.0	0.0	0.87	0.63	0.69
Actn4	3.93	0.0	76.08	34.96	0.0	0.0	37.88	240.87	0.0	3.84	0.0	1.87	3.37	0.1	0.0	0.08	0.43	10.03	1.2	17.74	2.72	48.58	0.0	2.12	0.0	0.0	1.04	0.83	24.01	29.47	0.0	35.12	0.0	0.66	38.73	0.4	0.0	21.02	91.94	95.06	96.65
Ado	154.07	111.66	0.33	0.0	0.0	0.0	0.0	368.63	30.77	0.37	1.01	129.14	144.13	136.64	40.97	68.96	54.18	83.32	90.14	222.82	47.3	67.78	12.74	86.09	82.0	42.3	42.73	56.86	121.84	105.37	123.32	84.61	142.86	90.87	585.05	121.44	0.08	375.03	35.2	37.24	33.19
