	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_61	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_72	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_64	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_30
1700128F08Rik	38.86	19.63	36.61	0.0	0.0	107.1	41.07	70.44	110.4	39.38	0.0	18.02	35.67	39.45	9.75	29.81	22.65	33.63	35.68	39.83	26.62	29.17	24.47	17.08	49.2	38.28	12.78	18.45	21.22	17.22	31.14	55.08	19.15	59.83	24.57	82.76	34.08	32.54	25.91	23.99	30.94	81.43	50.08	72.07	68.08	50.02	0.0	10.49	19.16	33.24	24.76	18.9	20.82	10.95	7.75	0.52	42.94
4930470H14Rik	233.92	88.81	49.64	7.66	0.0	745.74	279.72	426.02	424.71	452.53	0.0	159.12	83.72	74.13	56.33	208.27	60.44	206.77	216.23	272.71	234.48	143.72	217.77	194.66	147.82	247.22	137.97	245.46	144.41	201.81	68.88	155.44	96.61	207.59	217.87	524.15	107.58	233.08	122.31	148.39	156.07	642.05	415.8	367.3	836.3	460.64	1.97	1.28	144.52	260.04	249.2	287.52	167.7	186.04	32.93	7.8	397.69
4933411E08Rik	0.0	0.41	0.6	0.28	0.0	2.1	0.23	0.95	0.0	0.0	0.0	0.28	0.21	0.19	0.0	0.45	0.23	0.37	0.0	0.0	0.16	0.0	0.44	0.0	0.67	0.0	1.32	0.89	0.0	0.0	0.0	0.0	0.68	0.3	0.01	0.52	0.23	0.0	0.2	0.0	0.4	0.8	0.99	0.4	0.1	0.45	0.0	0.0	0.43	0.42	0.21	0.13	0.0	0.0	0.0	0.24	2.9
6030422M02Rik	33.2	41.14	37.57	7.01	0.14	123.29	43.89	58.7	105.83	59.9	0.0	33.66	30.44	33.18	11.58	27.59	25.47	31.36	29.85	38.33	26.53	27.92	48.94	23.16	25.83	32.39	73.56	35.22	34.54	25.24	19.3	43.54	42.49	27.23	25.49	83.29	26.42	30.56	29.62	27.4	29.97	58.99	84.58	78.25	90.66	55.83	0.25	6.45	22.97	26.47	67.01	45.63	32.74	24.39	35.9	10.95	84.08
9530008L14Rik	0.0	0.19	0.21	0.0	0.0	0.62	0.53	0.23	0.97	0.47	0.0	0.56	0.28	0.74	0.16	0.46	0.29	0.42	0.0	0.0	0.24	0.0	0.25	0.0	0.0	0.63	0.0	0.22	0.39	0.23	0.02	0.48	0.38	0.31	0.28	0.69	0.25	0.3	0.37	0.06	0.0	0.31	1.25	1.09	1.58	0.26	0.22	0.0	0.24	0.21	0.68	0.62	0.0	0.0	0.0	0.0	0.93
9530091C08Rik	2.41	5.82	3.5	0.82	0.0	28.99	28.28	33.61	121.2	25.8	1.41	2.36	5.46	1.69	1.05	4.5	3.1	4.4	2.49	5.06	3.23	2.47	2.9	4.03	3.37	3.25	32.06	4.35	4.15	2.9	1.29	24.49	1.01	5.56	4.89	34.23	3.05	3.37	3.61	1.71	4.3	25.48	21.03	14.02	171.64	29.03	0.62	0.29	1.73	3.41	4.59	1.95	2.37	1.12	0.77	0.0	125.5
9930111J21Rik1	2.67	4.39	2.77	0.85	0.0	12.68	5.38	10.63	19.47	5.49	1.93	6.1	2.75	1.96	1.59	4.85	2.39	4.17	5.11	7.01	6.69	4.04	3.86	1.81	3.42	4.99	7.34	2.1	3.89	3.79	4.54	5.79	4.66	3.68	2.04	12.03	2.49	3.4	8.47	4.16	5.93	13.34	10.85	17.4	27.0	12.42	0.0	0.53	2.96	3.21	7.53	10.28	4.37	2.67	1.19	0.08	21.81
A130077B15Rik	558.5	524.03	542.54	253.26	2.24	1504.15	572.04	1045.7	1547.04	783.32	51.75	402.29	532.83	545.15	322.88	570.94	364.45	579.67	417.26	556.55	397.77	476.41	531.84	433.71	471.19	482.27	650.06	586.54	562.4	536.66	406.97	761.56	619.65	516.55	422.67	1399.24	424.51	523.23	416.52	430.95	545.8	1347.29	1226.93	1077.24	1550.85	1013.75	187.58	94.2	370.24	510.09	571.93	563.96	391.99	461.81	275.1	1.03	848.73
A430107P09Rik	24.98	38.81	31.83	11.2	0.15	110.29	47.61	52.61	131.11	48.18	0.0	18.02	26.53	40.96	23.2	32.79	19.18	36.35	26.24	60.18	23.3	22.18	33.44	23.36	24.1	31.14	33.3	25.15	29.25	33.23	21.89	47.89	42.55	35.68	41.06	88.8	34.24	35.75	22.72	32.01	41.21	87.64	74.64	76.38	110.55	77.67	9.43	0.0	26.73	21.28	34.74	30.31	25.51	19.45	18.4	8.72	70.34
A530065N20	0.29	0.18	0.11	0.0	0.0	0.49	0.05	0.07	0.33	0.14	0.0	0.05	0.03	0.34	0.05	0.04	0.07	0.04	0.13	0.0	0.0	0.17	0.0	0.08	0.11	0.07	0.4	0.16	0.28	0.13	0.0	0.0	0.0	0.17	0.26	0.27	0.0	0.12	0.0	0.08	0.13	0.17	0.3	0.12	0.14	0.3	0.13	0.0	0.0	0.0	0.41	0.08	0.0	0.22	0.18	0.1	0.82
