	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_71	Cux2_tdTpositive_cell_39	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_60	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_14	Htr3a_tdTpositive_cell_21	Htr3a_tdTpositive_cell_27	Htr3a_tdTpositive_cell_29	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_45	Htr3a_tdTpositive_cell_47	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_56	Htr3a_tdTpositive_cell_67	Htr3a_tdTpositive_cell_77	Nos1_tdTpositive_cell_5	Rorb_tdTpositive_cell_25	Scnn1a.Tg3_tdTpositive_cell_12	Scnn1a.Tg3_tdTpositive_cell_106	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2510049J12Rik	0.82	0.0	1.31	2.0	1.59	0.29	1.62	2.19	2.39	0.0	0.0	1.76	4.2	2.9	0.72	0.32	1.36	0.9	0.16	1.55	0.81	2.51	0.71	0.6	0.17	1.5	2.97	1.41	1.23	2.7	4.44	6.14	0.0	2.97	1.96	2.14
4933409K07Rik	70.14	82.11	160.33	194.12	85.0	98.62	119.77	201.79	437.26	41.29	56.89	30.49	346.63	201.89	95.52	98.5	144.53	87.5	73.7	55.63	100.75	125.71	49.27	137.29	78.9	178.5	257.16	191.22	71.97	367.13	538.3	617.17	67.92	201.88	193.56	177.85
AU022754	1.8	2.23	0.0	1.42	1.07	0.65	0.63	5.26	2.17	0.0	0.0	0.0	4.79	2.1	1.38	0.84	0.15	0.8	0.13	0.22	0.42	1.23	0.48	0.0	0.0	0.82	3.54	2.31	1.33	6.05	2.78	7.15	0.0	3.34	3.02	3.41
AW549877	81.54	0.0	0.0	0.0	124.42	47.96	0.0	187.7	21.84	0.0	1.32	0.0	438.11	217.9	118.53	0.0	0.43	121.23	0.07	167.02	73.67	52.13	1.05	25.62	0.0	0.0	0.08	84.99	57.74	189.96	67.95	1.24	0.0	49.87	46.12	44.95
Apba1	0.0	0.18	41.35	22.1	0.0	0.0	0.0	2.52	27.24	0.0	12.27	0.0	106.21	51.89	0.0	0.0	0.0	0.0	0.12	23.81	0.0	12.0	0.0	0.0	0.19	0.0	0.0	12.05	0.0	15.44	9.99	19.46	0.0	76.46	78.19	83.66
Aplf	35.78	18.25	3.21	10.53	2.22	0.0	28.02	12.84	61.11	0.0	0.0	0.0	154.39	28.89	32.18	20.72	11.66	10.42	2.04	6.35	36.32	5.99	0.23	11.36	0.0	35.56	15.13	32.51	9.09	46.41	28.42	54.89	0.12	14.39	12.8	15.31
Atp2a2	113.09	7.81	0.34	94.97	186.79	0.0	103.28	175.51	504.58	0.08	94.76	82.78	545.95	426.97	102.63	123.52	13.27	147.07	108.38	35.14	148.56	0.0	77.21	39.35	1.49	1.4	509.65	166.71	33.64	100.64	375.29	282.91	0.0	513.24	490.71	517.28
Atpaf2	0.47	0.0	80.26	0.0	1.37	0.22	0.0	0.9	36.32	0.0	0.0	0.62	557.03	0.53	0.96	0.0	107.73	0.29	0.26	1.32	5.38	94.55	0.57	0.51	0.52	0.0	0.61	246.35	3.83	1.72	7.3	84.61	0.0	22.41	23.37	24.34
Bbs1	3.08	8.08	6.62	4.16	0.36	5.05	10.62	6.72	15.02	0.06	0.74	7.5	105.6	11.12	7.89	3.9	4.55	8.66	3.18	4.7	7.21	3.51	3.18	4.6	10.55	5.22	11.13	11.38	2.61	16.93	10.88	15.62	0.5	25.47	26.95	26.59
Ccl27b	7.56	0.0	0.0	0.0	10.98	0.0	21.71	13.49	62.77	0.0	1.03	6.68	7.54	0.0	0.0	8.28	0.0	0.0	0.0	1.75	5.27	3.71	4.03	9.38	0.0	2.47	0.0	0.0	0.0	54.65	282.29	289.98	0.0	30.63	28.29	22.96
Ccnk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	27.08	0.0	0.16	0.0	0.0	0.0	0.0	2.28	6.11	0.0	0.0	0.76	0.0	0.0	0.0	10.6	0.0	19.34	19.25	4.05	0.0	22.91	23.23	19.85
Cpox	3.38	12.33	9.98	8.09	2.88	9.62	27.82	17.81	88.16	0.0	0.23	10.67	20.84	22.94	16.79	12.53	6.99	10.75	10.72	8.2	9.88	12.57	3.94	9.97	6.66	19.83	25.59	15.99	13.28	57.79	22.78	22.36	0.0	40.77	42.88	42.65
Cytip	0.03	0.46	0.29	0.21	0.06	0.09	0.3	0.76	0.32	0.0	0.1	0.06	0.62	0.34	0.2	0.07	0.23	0.0	0.0	0.0	0.07	0.0	0.24	0.0	0.21	0.0	0.15	0.19	0.0	0.28	0.67	0.41	0.0	0.05	0.07	0.1
D0H4S114	27.94	0.0	0.0	0.0	236.45	0.0	0.0	444.24	515.41	0.0	4.32	0.0	289.75	0.24	81.02	0.0	0.0	253.95	0.19	0.22	282.44	0.0	265.93	178.13	140.93	0.0	0.0	0.18	0.43	411.12	403.55	285.91	0.19	110.46	114.82	109.0
Fam171b	156.67	3.67	43.68	16.22	97.21	205.59	11.42	19.35	88.62	0.0	8.94	93.14	309.87	146.58	26.51	155.28	7.22	176.71	0.0	0.41	0.0	99.93	4.0	117.48	30.87	2.41	91.59	3.52	0.0	206.46	251.65	54.01	0.0	165.86	156.72	169.74
Fgf10	0.29	0.47	0.86	0.29	0.09	0.88	1.31	0.66	2.9	0.25	0.0	0.63	1.66	1.48	0.69	0.18	0.08	0.42	0.39	0.63	0.27	0.35	0.28	0.88	0.85	0.59	1.13	0.77	0.08	1.53	1.18	0.94	0.0	5.22	4.31	4.77
Gabpb2	0.14	0.56	1.27	1.1	0.7	0.38	1.0	1.33	4.35	0.0	0.0	0.78	1.51	1.69	2.11	1.43	1.25	0.81	0.58	1.1	1.61	0.76	0.32	0.34	0.61	0.72	1.13	1.92	0.46	1.56	1.13	5.15	0.06	9.12	8.58	8.74
Galnt11	3.43	0.0	64.83	0.0	0.16	0.29	10.81	4.74	10.22	0.0	0.12	0.27	189.92	0.9	4.82	0.4	0.0	3.89	7.28	0.19	127.35	3.23	0.09	6.39	0.17	9.89	1.34	5.23	59.34	149.59	53.84	59.99	0.0	38.12	38.14	35.07
Gde1	0.0	0.0	86.77	7.01	17.62	0.0	0.0	7.88	540.95	0.0	0.0	13.94	163.87	143.38	90.81	0.0	0.0	11.16	0.0	0.31	98.9	4.57	10.27	0.0	0.84	0.0	0.0	0.0	51.62	23.45	382.49	355.95	0.25	304.34	337.74	326.45
Gm13306	7.56	0.0	0.0	0.0	10.98	0.0	21.71	13.49	62.77	0.0	1.03	6.68	7.54	0.0	0.0	8.28	0.0	0.0	0.0	1.75	5.27	3.71	4.03	9.38	0.0	2.47	0.0	0.0	0.0	54.65	282.29	289.98	0.0	30.63	28.29	22.96
Gm2506	7.56	0.0	0.0	0.0	10.98	0.0	21.71	13.49	62.77	0.0	1.03	6.68	7.54	0.0	0.0	8.28	0.0	0.0	0.0	1.75	5.27	3.71	4.03	9.38	0.0	2.47	0.0	0.0	0.0	54.65	282.29	289.98	0.0	30.63	28.29	22.96
Hnrpll	0.0	0.0	110.26	0.0	0.0	0.0	0.0	148.57	0.29	0.0	0.0	0.0	111.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.05	7.43	0.0	0.0	29.61	0.0	0.0	0.87	0.0	0.09	19.12	1.02	0.12	53.39	53.03	51.14
Kctd3	0.39	0.0	90.99	31.09	0.0	0.0	74.32	79.84	290.29	0.0	0.0	0.0	213.75	152.31	0.0	0.0	0.0	6.01	0.0	1.26	0.0	0.0	106.94	0.0	0.0	0.0	0.0	121.55	5.58	73.83	0.91	8.86	0.2	61.48	65.8	60.9
Klf9	15.08	0.0	0.0	0.0	0.0	0.0	0.0	127.81	197.28	0.0	0.0	40.64	135.2	0.0	16.32	0.0	0.0	0.0	0.0	0.0	10.75	24.16	5.26	0.0	0.0	0.0	0.0	0.0	32.61	179.42	154.86	12.35	0.0	127.72	133.21	122.44
Lgr5	1.25	0.28	0.41	0.07	0.0	0.16	2.11	1.03	5.83	0.0	0.0	0.97	3.26	0.65	2.57	0.15	0.0	2.58	0.08	0.46	0.12	0.08	0.19	0.89	0.57	1.07	0.84	1.51	0.71	0.51	0.54	0.55	0.0	1.81	2.4	2.44
March6	0.08	128.74	55.31	10.18	112.21	59.86	0.87	68.44	174.9	0.0	0.0	80.17	164.89	396.02	84.6	6.41	8.15	2.02	17.69	127.12	2.45	54.58	18.04	110.56	0.0	31.91	12.9	150.37	90.05	102.29	182.96	91.73	0.0	142.1	139.38	135.54
Mbnl2	0.11	49.27	1.02	0.0	0.0	0.08	0.0	115.02	180.11	0.0	0.07	53.5	93.55	1.45	29.08	27.35	0.0	106.37	0.0	18.3	0.0	16.06	44.48	0.09	0.0	1.0	25.91	52.14	34.77	67.7	159.01	184.35	0.0	149.63	128.87	140.17
Miat	0.0	0.0	26.64	1.98	0.0	0.0	66.9	123.98	69.04	0.0	0.0	0.0	77.58	2.4	21.18	0.0	0.07	0.0	0.0	0.21	0.0	18.11	0.2	0.63	0.1	0.0	0.0	36.15	34.48	66.87	1.03	177.07	0.0	196.73	185.46	213.96
Nrp2	0.39	1.08	0.87	0.99	0.82	0.68	0.98	1.69	4.73	0.0	0.14	0.6	2.52	4.06	17.24	0.76	0.55	0.78	1.11	0.87	0.76	0.26	0.06	0.53	0.91	1.04	0.84	45.62	0.3	31.6	1.7	1.93	0.0	20.63	19.11	20.72
Pik3r5	0.23	6.37	10.47	1.79	3.45	3.43	3.01	9.79	10.49	0.0	0.5	1.23	9.61	9.95	18.18	6.71	1.66	3.4	8.37	6.61	2.27	3.97	0.1	2.11	0.46	2.44	2.69	3.48	2.69	18.61	11.85	13.5	0.0	3.75	3.38	3.72
Pphln1	0.98	22.96	1.5	4.47	0.0	27.77	0.58	8.26	3.1	0.0	0.08	8.18	171.76	142.26	126.64	25.7	0.67	0.24	6.72	53.39	0.65	72.1	2.7	0.79	4.02	0.46	3.4	2.27	31.22	65.24	3.72	26.45	0.0	29.13	25.73	26.27
