	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_6	Pvalb_tdTpositive_cell_26	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610043K17Rik	0.0	0.0	0.0	1.01	1.74	1.73
1500001M20Rik	0.0	0.0	0.0	11.98	12.59	12.35
1700008F21Rik	0.0	0.0	0.0	0.67	0.54	0.33
6330549D23Rik	0.0	0.0	0.0	1.25	0.85	1.82
9430083A17Rik	0.62	1.06	0.35	3.66	3.05	3.94
Abhd2	0.0	0.0	0.0	54.68	50.93	55.98
Adarb1	1.1	1.58	33.08	89.82	88.96	96.44
Adnp2	0.0	0.0	0.0	18.43	18.91	17.84
Agap2	0.0	0.0	0.53	422.27	459.59	467.65
Atn1	0.0	0.0	0.0	96.96	98.9	99.63
BC067068	0.0	0.0	0.0	5.93	5.9	6.12
C630043F03Rik	0.0	0.0	0.0	8.71	8.51	9.63
Cacng8	0.0	0.0	0.0	79.14	89.85	96.85
Car5b	1.33	3.67	2.22	3.69	4.18	3.91
Ccdc96	0.0	0.0	0.0	1.34	1.45	1.27
Ccnd1	0.0	0.0	0.0	34.68	32.87	32.4
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cdh6	0.0	0.0	0.0	10.99	11.8	11.81
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chrna10	0.0	0.0	0.0	0.16	0.37	0.25
Col4a4	0.0	0.0	0.0	0.23	0.26	0.14
Cpsf3l	0.0	0.0	0.0	27.54	28.88	26.1
Cpt1b	0.0	0.0	0.0	1.56	1.07	0.62
Crb3	0.0	0.0	0.0	0.7	0.49	0.63
Crls1	0.0	0.0	28.42	41.89	39.93	38.1
Cry1	0.0	0.0	0.0	14.93	13.97	12.68
Cyp4f13	0.0	0.0	0.0	8.9	9.75	12.47
Dbt	0.13	0.0	0.15	14.19	13.45	14.06
Dok7	0.0	0.0	0.0	10.66	9.52	9.76
Dyx1c1	0.0	0.0	0.0	2.77	2.74	1.97
E330016A19Rik	0.14	0.0	0.05	1.5	0.99	1.32
E330023G01	0.0	0.0	0.35	3.96	4.43	6.64
Efnb1	0.0	0.1	0.0	11.8	12.13	10.79
Eif1a	23.63	0.0	32.53	35.72	34.3	30.69
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
Fam76a	0.0	0.0	0.0	50.55	53.05	46.35
Fancc	0.0	0.0	0.0	6.87	7.33	7.32
Fez2	0.0	0.0	0.0	47.68	48.78	46.83
Gbe1	0.0	3.47	0.0	9.43	10.54	10.46
Gimap3	0.11	0.0	0.0	0.28	0.23	0.31
Gm10413	0.0	0.0	0.0	0.31	0.4	0.16
Gm10640	0.0	0.0	0.0	0.63	0.34	0.35
Gm14139	0.0	0.0	0.0	0.21	0.0	0.41
Gm19434	0.59	0.0	0.51	3.61	2.67	3.51
Gm4922	0.0	0.0	0.0	0.8	0.46	0.52
Gm6222	0.0	0.0	0.0	0.0	0.42	0.0
Gm6787	0.0	0.0	0.0	0.99	0.19	0.37
Gm8267	0.0	0.0	0.0	0.51	0.12	0.22
Gm8615	0.0	0.0	0.0	0.19	0.2	0.42
Gmpr2	0.16	0.0	0.0	24.09	24.69	23.07
Gpc1	0.14	0.0	16.61	50.95	54.44	54.85
Gpx7	0.0	0.0	0.0	5.54	5.92	6.23
H2afj	0.0	0.0	0.0	35.61	41.66	40.51
Hiatl1	0.0	0.0	17.8	40.29	38.15	37.94
Hint3	0.0	0.0	0.0	31.02	26.58	29.58
Ighmbp2	1.29	0.0	0.27	6.15	6.87	6.15
Isg20	0.0	0.0	0.0	0.84	0.54	1.41
Itga5	0.0	0.0	0.0	3.93	4.11	3.81
Itgb7	0.0	0.0	0.0	0.41	0.87	0.57
Ivns1abp	50.46	0.0	25.63	161.93	154.95	147.82
Kctd15	0.0	0.0	0.0	13.32	14.12	12.61
Kdm5b	0.04	0.0	5.25	30.2	29.66	27.73
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lmnb2	0.0	0.0	7.49	17.25	17.82	16.94
Lrrc4b	2.79	0.0	13.61	130.37	161.98	150.12
Mapk8ip1	7.42	0.0	0.0	277.88	291.47	297.45
March3	0.0	0.0	0.0	1.79	1.92	1.85
Mbd2	66.33	0.0	34.33	44.34	48.96	43.56
Mbd6	0.0	0.0	1.24	29.25	30.17	33.41
Mettl9	0.0	0.0	0.0	75.08	79.73	74.6
Mff	0.13	0.0	55.45	208.49	208.02	203.49
Mrto4	1.37	0.0	27.3	41.08	42.19	40.37
Mylk	0.0	0.12	0.0	5.32	5.24	5.33
Nab1	0.0	0.0	16.75	11.34	9.76	11.32
Neat1	0.0	0.0	0.0	55.42	57.07	74.72
Nfya	0.0	0.0	0.0	16.66	14.68	18.19
Nppa	0.0	0.0	0.0	1.35	2.2	0.63
Olfr212	0.0	0.0	0.0	0.07	0.1	0.15
Pcdhb20	0.0	0.0	0.0	10.91	12.56	11.25
Pdp2	0.0	0.0	0.43	4.82	4.95	4.35
Pkig	0.0	43.52	0.0	120.31	127.96	123.3
Plekha7	0.0	0.0	2.8	14.03	14.56	13.04
Plxna2	0.0	0.0	16.23	47.46	43.4	46.56
Rasal2	13.18	0.0	9.89	34.89	33.03	35.51
Rasd1	0.0	0.0	0.0	9.57	13.05	7.12
Reep2	5.9	0.0	7.99	147.11	152.82	156.66
Rras2	0.0	0.0	0.0	17.96	17.37	17.06
Rufy2	31.91	0.04	11.16	26.51	23.33	25.25
Safb	0.08	0.0	0.0	97.55	103.32	94.51
Sbno2	0.0	0.0	0.0	11.04	12.05	12.55
Serp2	0.0	0.0	43.01	141.78	155.98	144.95
Sirpa	0.07	0.0	113.59	282.2	280.59	287.89
Slc27a1	0.28	0.45	0.51	59.69	63.37	60.96
Snora3	0.0	0.0	0.0	0.0	1.1	3.63
Snord116	0.0	0.0	0.0	1.22	1.15	1.9
Snord116l1	0.0	0.0	0.0	1.22	1.15	1.9
Snord116l2	0.0	0.0	0.0	1.22	1.15	1.9
Snord35a	0.0	0.0	0.0	5.62	1.76	5.66
Snord38a	0.0	0.0	0.0	4.42	0.0	4.57
Snord91a	0.0	0.0	0.0	42.32	31.89	30.58
Spg11	0.0	0.0	0.0	14.25	11.67	14.26
Spred1	0.0	0.0	0.0	100.2	87.62	88.74
Ssh3	0.0	0.0	0.0	29.63	30.64	31.84
Stat2	0.0	0.0	0.0	19.19	17.83	18.17
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d25	0.0	0.0	0.0	13.12	14.49	12.79
Tcerg1l	0.0	0.0	0.0	9.76	10.65	9.84
Tenc1	0.0	0.0	0.0	11.5	12.6	10.8
Tmem169	0.0	0.0	10.62	17.27	15.05	15.52
Tmprss7	0.0	0.0	0.0	1.91	2.48	1.93
Trem2	0.0	0.0	0.0	18.34	22.94	22.08
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ube2j2	1.58	3.09	3.69	7.7	8.8	8.38
Usp3	1.79	0.0	4.17	19.12	21.14	19.59
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vstm2l	0.92	0.0	0.0	89.77	107.87	106.01
Wnt7a	0.0	0.0	0.0	9.98	9.73	9.54
Zfp113	1.35	4.14	2.61	3.85	4.06	4.66
Zfp574	0.0	0.0	6.44	20.24	21.56	19.83
Zfp78	0.1	0.07	0.0	1.29	1.92	1.79
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
