	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_81	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5
2010107H07Rik	230.14	0.0	0.0	70.32	0.0	0.0	72.53	75.51	134.9	161.09	104.75	229.78	180.95	182.78	134.12	182.55	91.37	243.93	155.98	102.35	89.84	216.38	341.71	208.35	26.9	147.11	34.15	4.15	81.96	280.61	0.0	0.0
2310036O22Rik	0.0	1.08	0.0	0.0	0.0	18.14	19.19	0.0	0.0	7.85	0.0	0.0	0.0	3.5	4.32	0.0	0.0	15.33	3.08	19.92	22.13	63.08	30.3	27.55	17.89	1.37	0.0	0.0	2.16	9.34	0.0	0.0
Abca2	0.0	0.0	0.0	0.08	0.03	0.0	3.08	12.75	7.83	1.97	3.02	23.12	6.51	4.24	7.09	11.98	30.68	0.05	11.45	26.41	0.07	5.19	5.74	9.88	0.03	0.0	2.14	0.09	13.26	0.0	0.09	0.0
Acsl1	234.05	0.0	0.0	0.22	0.0	0.0	23.24	19.83	0.0	22.33	2.98	77.74	0.0	0.0	0.0	0.0	18.3	0.0	0.19	0.11	0.0	11.88	37.56	45.75	17.49	0.4	1.79	0.0	7.4	0.0	0.0	0.09
Acss2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	65.57	0.0	0.0	12.14	0.0	0.0	0.26	26.41	0.0	40.67	37.95	0.0	20.43	16.93	0.0	84.78	69.5	9.26	0.0	50.85	0.0	33.49	6.24	0.0	0.26
Adrm1	0.34	0.0	0.0	106.47	0.0	0.0	52.39	80.8	0.0	0.0	26.86	0.0	118.3	6.65	30.46	23.48	26.18	54.25	32.08	116.86	37.59	76.11	60.33	85.9	30.51	114.08	24.41	30.57	77.83	62.18	0.0	657.05
Aip	0.0	0.0	0.0	3.58	0.0	0.0	118.14	123.28	291.67	203.89	103.49	387.19	161.19	245.07	169.74	165.59	258.17	387.1	77.06	44.3	226.77	125.89	395.66	226.29	106.27	148.92	151.35	95.9	91.86	259.93	0.27	1.4
Ankzf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.37	0.0	12.67	0.0	0.54	53.63	2.59	9.45	0.0	26.57	30.09	8.98	0.0	52.96	73.98	0.0	6.93	0.0	0.0	0.0	0.35	0.0	0.27
Atat1	0.24	0.0	0.0	0.0	0.0	0.0	66.17	75.42	196.7	43.23	0.0	112.37	1.64	100.58	132.09	53.2	79.66	53.65	148.47	42.97	0.0	99.63	74.38	58.25	112.58	107.85	60.77	84.54	4.07	95.14	0.0	0.19
Bai3	0.0	0.0	0.0	10.29	110.77	0.0	22.61	24.64	0.0	3.51	52.46	8.58	0.0	2.0	10.94	28.18	8.36	11.64	20.2	8.35	10.44	1.05	16.75	11.08	28.06	53.43	75.13	0.0	24.74	29.84	0.13	0.13
