	Sst_tdTpositive_cell_106	Tac2_tdTpositive_cell_5	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700040N02Rik	0.0	0.0	0.0	1.71	0.73	1.86
1700086O06Rik	0.0	0.0	0.0	6.86	5.95	7.5
4833418N02Rik	0.0	0.0	0.0	0.98	1.18	1.14
4930414L22Rik	0.52	0.28	0.0	18.73	17.82	18.42
4930429F24Rik	0.0	0.0	0.0	2.3	3.09	2.44
4930528D03Rik	0.0	1.19	0.0	3.34	2.88	2.55
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4933412E12Rik	0.0	0.0	0.0	6.01	6.43	6.1
Acads	0.0	0.0	0.0	6.54	8.05	8.04
Actc1	0.0	0.0	0.0	7.52	0.07	0.0
Adal	0.0	0.0	0.0	14.0	15.24	16.51
Adra2b	0.0	0.15	0.09	0.7	0.74	0.78
Aldh8a1	0.0	0.0	0.0	0.13	0.29	0.09
Ankrd27	0.0	0.0	0.0	29.81	28.85	27.84
Anks6	0.1	0.0	0.0	8.63	8.4	9.75
Ar	0.0	0.0	0.0	7.72	6.22	8.04
Arrb1	20.9	0.0	0.0	124.64	121.51	131.79
Asprv1	0.0	0.0	0.0	1.89	1.17	1.82
Atp7b	0.0	0.0	0.0	1.15	1.12	1.18
Atp8b5	0.0	0.0	0.0	0.09	0.12	0.16
B430319G15Rik	0.0	0.0	0.0	0.52	0.55	0.8
Bcas1	0.0	0.0	0.0	90.58	94.3	106.69
Bcl2a1d	0.0	0.0	0.0	0.0	0.0	0.35
Cacna1c	0.0	0.0	0.0	26.61	24.77	28.8
Cav3	0.0	0.0	0.0	0.35	0.33	0.27
Cbln3	0.1	0.73	0.0	0.5	0.77	0.44
Cd46	0.0	0.0	0.0	4.22	3.27	4.7
Cd55	0.0	0.0	0.0	5.61	4.63	5.21
Celsr2	0.0	0.0	0.0	73.45	73.3	82.99
Chpf2	0.0	0.0	0.0	40.55	43.75	46.77
Chrnd	0.0	0.0	0.0	0.0	0.0	0.01
Chst1	0.26	0.0	0.0	206.13	226.17	215.2
Csrnp1	0.0	0.0	0.0	12.73	12.69	6.34
Cyp1a1	0.0	0.0	0.0	0.06	0.07	0.19
Dhrs2	0.0	0.0	0.28	0.08	0.15	0.08
Disc1	0.0	0.0	0.0	1.06	0.93	1.02
Dlec1	0.0	0.0	0.0	1.68	1.56	1.17
Dytn	0.0	0.0	0.0	0.16	0.04	0.0
E130306D19Rik	0.0	0.0	0.0	0.86	1.27	1.33
E330013P04Rik	0.0	0.0	0.0	0.24	0.41	0.1
Eef1a2	11.32	2.11	0.18	919.63	958.3	943.69
Ehmt2	0.0	0.0	0.0	122.32	131.91	129.43
Epb4.1l1	3.49	2.55	0.0	226.35	219.82	236.74
Fam101b	0.0	0.0	0.0	8.81	10.47	11.04
Foxo1	0.0	0.0	0.0	18.48	18.95	18.11
Ftsjd1	0.1	0.0	0.0	5.33	6.01	4.48
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gm13446	0.0	0.0	0.0	6.48	6.49	6.16
Gm514	0.0	0.0	0.0	3.69	3.89	3.81
Gm6249	0.0	0.0	0.0	0.09	0.08	0.06
Has2	0.0	0.0	0.0	0.16	0.24	0.19
Htr3b	0.0	0.0	0.0	0.0	0.0	0.0
Inca1	0.0	0.0	0.0	2.89	3.9	3.42
Kcnn3	0.0	0.0	0.0	9.34	7.98	8.92
Kdelr1	0.0	0.0	0.0	73.54	76.58	72.99
Khsrp	23.81	22.77	13.3	57.01	58.93	59.96
Klri2	0.0	0.0	0.0	0.18	0.21	0.31
Lin9	0.0	0.0	0.0	3.6	3.67	3.51
Lman2l	0.31	0.0	0.0	38.78	36.32	38.49
Lrrc20	0.38	1.98	0.0	23.97	24.08	23.28
Lsm11	1.07	4.51	0.0	13.89	13.93	14.75
Lxn	0.0	0.0	0.0	52.5	50.32	48.0
Mab21l1	0.0	0.0	0.0	1.17	1.71	1.69
Mapk11	0.0	0.0	0.0	48.01	42.59	47.35
Marveld1	0.0	0.0	0.0	7.46	7.72	6.35
Mfn2	0.24	0.0	0.08	140.3	144.81	145.21
Mir377	0.0	0.0	0.0	3.14	0.0	0.0
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Mst1r	0.0	0.0	0.0	1.13	0.9	0.71
Myo18b	0.0	0.0	0.0	0.85	0.93	1.19
Naa38	0.0	0.0	0.0	44.5	42.31	39.18
Ndst4	0.0	0.0	0.0	7.38	8.38	9.83
Nkapl	0.0	0.0	0.0	0.14	0.65	0.85
Nlrp2	0.0	0.0	0.0	0.41	0.46	0.24
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Oscar	0.0	0.0	0.0	2.62	2.42	2.93
Otog	0.0	0.0	0.0	0.04	0.06	0.05
Pacsin1	40.71	0.0	0.0	282.11	283.76	304.93
Pcdha11	0.05	0.0	0.0	4.23	4.84	2.9
Peli3	0.0	0.0	0.0	15.88	16.77	19.03
Phex	0.0	0.35	0.0	0.61	0.6	0.93
Phf16	0.0	0.0	0.0	6.35	7.0	7.08
Phospho1	0.0	0.0	0.0	29.65	34.22	30.08
Plekha4	0.0	0.0	0.0	1.97	1.99	1.86
Pllp	0.0	0.0	5.0	58.13	63.32	70.53
Polq	0.0	0.27	0.0	1.94	1.59	1.77
Ppic	0.0	0.0	0.0	3.51	3.62	2.33
Ppp2r3d	1.07	4.71	0.54	7.18	8.59	9.21
Pramel1	0.0	0.0	0.0	0.0	0.04	0.0
Psma8	0.0	0.0	0.0	0.29	0.39	0.55
Pstpip1	0.0	0.0	0.0	1.88	1.42	1.66
Rbfox3	6.38	0.18	3.48	216.71	228.38	226.62
Rpe65	0.0	0.0	0.0	2.65	2.18	1.91
Rpl11	438.71	339.9	0.0	471.96	529.87	479.27
Rps20	137.82	289.75	0.0	354.8	374.38	351.17
Scly	0.0	0.0	0.0	14.89	14.37	13.1
Selenbp2	0.0	0.0	0.0	0.27	0.91	0.38
Serpina10	0.0	0.0	0.0	0.13	0.0	0.0
Smc1b	0.0	0.0	0.0	0.12	0.09	0.1
Snord91a	0.0	0.0	0.0	42.32	31.89	30.58
Snx5	0.0	1.78	0.0	82.55	87.13	83.93
Spock2	5.49	26.04	0.57	393.08	392.03	397.52
Stau2	0.25	36.4	0.0	86.93	82.37	83.05
Tcp10b	0.0	0.0	0.0	0.48	0.35	0.5
Tcp10c	0.0	0.0	0.0	0.0	0.2	0.0
Tdg	0.0	0.0	0.0	11.07	16.73	16.91
Tdrd5	0.0	0.0	0.0	1.6	1.78	1.77
Tmem229a	0.0	0.0	0.0	31.79	30.8	35.7
Tmppe	0.21	2.6	0.27	7.94	7.99	8.39
Trim30a	0.0	0.0	0.0	2.2	1.31	1.52
Trim71	0.0	0.0	0.0	0.51	0.55	0.47
Trpc6	0.0	0.0	0.0	9.24	6.84	7.95
Ubap2l	0.0	20.2	0.0	67.31	63.27	70.59
Utp18	3.6	23.21	1.29	18.72	18.41	17.52
Utp20	0.0	0.0	0.0	9.8	9.18	10.39
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Wdr27	0.0	0.0	0.0	0.61	0.61	0.26
Wdr89	0.29	0.24	0.0	2.76	2.3	1.9
Zfp459	1.96	4.32	1.59	4.32	2.93	4.03
Zfp786	0.0	0.0	0.0	3.94	4.5	3.2
cx_tRNA-Ala-GCY_	0.0	16.52	0.0	32.9	42.31	23.21
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	26.94	0.0	0.0	18796.57	17507.83	18655.33
mt_BC081549	0.0	0.0	0.0	0.19	175.25	190.99
mt_BC104337	0.0	22.17	0.0	9032.87	8417.95	8583.15
