	Calb2_tdTpositive_cell_48	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_48	Ndnf_tdTnegative_cell_7	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_14	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_17	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
1110059E24Rik	0.0	284.42	72.81	164.25	0.0	0.0	0.0	0.0	0.0	269.8	0.0	58.74	239.62	0.09	99.66	107.91	0.07	0.24	110.08	1.55	57.86	51.25	94.88	0.86	6.46	97.87	2.37	29.67	5.07	221.6	165.22	271.71	172.44	318.6	0.0	61.54	160.32	87.75	137.9	2.32	47.43	6.66	0.0	0.0	0.0	1.03	0.0	0.0	0.0	0.0	155.97	0.0	0.0	94.04	0.0	37.12	0.13
2410066E13Rik	0.0	64.85	0.0	26.61	0.0	0.0	0.0	0.0	0.0	169.1	0.0	2.07	42.51	55.35	31.13	7.49	33.17	0.0	33.29	116.23	21.22	8.96	59.5	8.76	144.53	10.46	0.18	82.31	1.15	44.75	67.29	26.72	25.51	15.7	98.98	3.29	22.16	133.07	68.08	71.25	66.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.87	58.7	0.0	61.33	22.26	0.0	23.36
A530058N18Rik	0.0	31.49	0.0	22.49	0.0	0.0	0.0	0.0	0.0	87.73	0.0	75.57	26.32	0.0	0.0	0.0	3.76	29.4	0.16	44.72	16.81	2.54	85.55	1.98	0.55	49.09	0.0	1.92	38.32	65.46	69.34	48.19	0.0	0.0	64.17	35.0	3.64	0.0	53.72	6.72	63.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.84	0.0	1.92	15.51	24.12	0.0
Acyp2	0.0	66.37	65.42	166.85	0.0	0.0	0.0	0.0	2.1	225.66	0.0	127.15	187.04	76.21	187.17	0.0	11.59	208.57	39.27	113.22	17.14	69.91	150.53	69.92	117.3	36.95	215.7	199.96	69.65	71.31	166.89	142.66	76.98	113.1	136.18	58.54	160.02	85.13	71.0	135.24	102.9	0.0	0.0	0.0	0.0	1.15	0.0	0.0	0.0	0.0	59.94	53.7	144.28	119.1	236.34	37.84	179.95
Akap5	5.03	162.19	117.55	194.48	7.92	4.14	4.73	0.53	146.08	340.22	0.85	218.63	204.58	134.91	168.68	248.99	191.86	117.49	161.43	209.33	123.44	178.44	93.98	226.97	188.0	85.12	109.93	145.39	114.4	240.51	237.4	213.02	128.87	156.55	254.05	177.09	178.57	348.37	198.05	267.5	73.55	2.96	2.38	1.87	5.94	5.26	9.93	0.49	1.08	1.63	145.09	322.93	92.71	150.96	141.54	214.8	104.38
Aplf	15.0	9.33	1.73	6.56	0.0	0.0	0.25	0.0	28.63	77.51	2.28	7.23	0.69	6.96	0.37	6.4	4.38	4.27	2.47	40.36	38.18	0.25	4.38	13.47	6.85	3.53	16.95	8.48	8.49	3.65	9.44	10.54	19.53	7.38	6.85	5.75	15.79	4.79	6.12	13.18	11.9	0.0	0.0	0.34	15.04	0.36	0.16	0.0	0.0	0.0	2.61	35.51	4.12	11.99	6.86	0.96	6.44
Arcn1	0.0	4.98	0.59	23.74	0.0	0.0	0.0	0.0	50.03	95.07	0.0	29.99	4.76	0.14	87.58	78.19	34.82	91.14	10.96	22.06	6.91	3.13	20.77	42.34	44.26	0.0	1.21	16.51	70.28	0.0	20.53	0.16	4.45	53.6	28.79	15.37	0.0	0.0	3.13	0.0	37.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.71	46.81	0.0	0.08	0.57	4.99	0.0
BC024659	0.0	130.3	89.92	96.65	0.0	0.0	0.0	0.0	368.65	211.02	0.0	341.89	266.42	182.54	266.89	95.94	294.57	203.46	192.72	168.99	186.19	58.01	234.19	160.64	205.97	112.43	96.17	91.0	232.49	173.37	177.92	254.98	0.0	81.46	290.61	65.35	261.63	147.14	246.52	310.13	338.93	0.0	0.0	0.0	0.21	0.32	0.0	0.0	0.0	0.0	118.18	145.25	71.4	232.38	328.49	186.4	144.26
Celf4	0.49	161.4	125.34	300.5	0.0	0.53	0.36	1.42	122.8	181.62	4.0	153.84	66.26	299.24	175.95	148.95	88.52	64.94	153.12	224.32	231.4	233.47	243.79	163.62	162.01	116.99	96.88	92.04	151.14	97.02	72.41	108.69	93.79	369.25	118.07	93.35	94.71	132.43	108.34	106.24	119.84	90.69	0.0	1.08	0.0	21.57	0.0	0.0	0.0	1.11	99.61	215.68	70.46	219.27	217.68	115.07	307.51
Cxx1b	0.0	51.89	33.66	17.14	0.0	0.0	0.0	0.0	0.0	51.44	0.0	7.72	37.23	3.69	35.07	23.9	20.81	2.38	13.31	13.24	29.27	25.97	42.79	30.24	22.55	23.48	7.63	5.75	28.91	16.22	31.73	8.98	10.01	13.92	2.78	11.37	4.1	3.05	13.81	4.22	28.62	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	1.19	22.3	3.43	18.69	17.78	23.02	8.31
Ddx1	33.19	89.15	170.32	116.42	0.0	0.0	0.0	0.0	117.4	372.33	0.0	333.36	190.83	81.01	152.52	310.49	240.64	93.01	215.85	97.02	229.24	142.35	332.92	174.36	233.8	240.76	85.27	113.14	189.63	156.15	54.16	34.98	8.21	161.49	214.64	123.98	265.23	207.82	250.39	94.25	105.39	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.14	0.0	122.7	215.98	142.13	377.57	82.73	229.96	32.39
Disp2	0.0	190.38	149.12	114.97	0.0	0.0	0.0	0.0	65.09	130.63	0.0	128.25	70.24	15.37	78.4	114.64	82.1	72.2	96.24	36.54	123.77	73.16	115.66	112.57	123.28	73.28	78.02	113.28	120.55	152.55	78.08	82.32	24.26	95.35	124.99	56.0	46.44	97.87	88.04	86.46	64.07	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	48.52	78.5	34.67	112.49	84.89	67.93	109.04
Fam175b	0.0	41.31	11.34	0.55	0.0	0.0	0.0	0.0	14.1	136.82	0.0	42.4	46.89	79.56	0.06	70.3	0.04	0.0	42.51	0.0	37.18	8.3	0.0	16.24	91.53	0.51	58.76	82.23	44.69	144.12	104.57	100.95	0.0	0.0	46.49	86.87	100.81	0.0	0.65	0.0	17.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.32	17.84	92.22	107.17
Fam46a	0.0	136.0	168.77	104.57	0.0	0.0	0.0	0.0	50.93	366.32	0.0	234.76	185.69	23.09	256.16	324.19	125.34	257.38	240.66	269.88	91.43	141.92	407.92	160.44	80.58	121.89	55.38	81.37	82.88	193.95	146.46	28.0	80.51	134.77	64.55	221.42	128.21	173.06	163.5	159.35	117.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	176.03	248.13	40.12	233.08	164.76	116.74	234.12
Farsb	0.0	125.68	36.82	65.35	0.0	0.0	0.0	0.0	298.71	465.0	0.0	168.7	138.21	17.91	269.07	71.59	0.05	44.1	91.38	94.93	178.81	121.72	91.73	175.74	104.62	108.98	182.5	83.08	149.4	43.91	49.47	131.55	17.32	0.12	270.9	0.0	220.91	242.38	33.53	126.54	96.55	0.0	0.0	0.0	0.0	0.34	7.23	0.0	0.0	0.0	49.49	62.01	225.27	181.49	154.81	140.36	120.14
Flywch1	0.0	18.41	3.01	3.19	0.0	0.0	0.0	0.0	1.05	27.33	0.0	17.56	28.45	2.37	0.27	20.99	18.89	0.51	2.72	0.37	43.15	1.53	11.0	40.0	2.92	1.09	1.32	1.75	1.29	2.2	0.77	1.93	2.81	5.09	1.33	0.33	0.23	4.92	0.44	0.19	12.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	1.14	1.01	0.0	7.5	13.33	0.0	57.94
Gprasp1	0.11	253.78	285.72	97.69	0.07	0.0	0.0	0.0	13.21	254.71	0.0	216.89	248.77	91.14	153.09	206.07	141.44	130.49	162.43	324.35	257.7	248.21	214.39	105.16	359.57	179.49	209.32	213.26	104.23	190.52	241.49	81.52	162.47	280.02	248.78	186.01	259.44	314.44	258.05	159.53	168.35	0.0	0.0	10.91	0.0	0.0	0.0	0.0	0.0	0.0	152.21	224.8	169.47	325.32	102.85	200.15	202.8
Hs3st5	0.0	29.23	25.18	0.0	0.0	0.0	0.0	0.0	2.25	144.71	0.0	0.0	44.9	0.0	4.7	80.91	39.91	0.0	34.72	42.16	1.88	0.53	3.31	15.75	0.0	35.45	0.0	0.0	0.0	0.0	79.19	0.0	0.0	0.0	48.99	9.22	0.0	37.57	52.43	0.0	8.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.11	0.08	0.0	0.1	23.04	0.0	0.0
Ift46	1.59	136.09	25.23	52.62	0.0	0.23	0.0	0.48	50.81	81.79	0.0	62.33	54.42	28.27	37.5	5.01	38.58	60.19	78.71	1.11	55.48	75.87	18.62	27.44	40.99	83.29	4.94	71.18	59.85	45.53	107.06	53.87	3.49	76.17	22.28	1.0	66.94	85.13	31.45	49.0	85.42	4.17	0.92	1.29	0.76	8.02	0.0	0.84	0.0	1.21	17.46	10.86	3.1	125.85	24.1	94.5	56.51
Lyst	0.0	14.41	3.08	6.95	0.0	0.0	0.0	0.0	1.47	9.56	0.0	16.57	32.63	0.02	7.25	5.82	10.3	0.04	21.03	8.21	14.19	8.05	18.93	6.81	12.8	18.32	0.7	10.47	8.01	16.46	9.21	0.0	2.16	0.7	3.61	3.98	33.11	3.58	3.7	20.93	0.95	0.0	0.03	0.0	0.04	0.0	0.0	32.68	0.0	0.0	1.77	3.2	0.0	7.82	7.31	4.15	1.59
Mapk10	0.0	182.76	241.3	234.46	0.0	0.0	0.0	0.0	191.65	224.24	22.39	265.13	440.69	303.87	243.73	446.14	363.2	206.08	272.24	326.77	311.72	195.52	295.76	376.73	364.54	459.87	114.92	154.4	134.46	418.56	320.72	163.58	132.93	274.97	285.34	325.39	186.59	404.72	236.77	259.29	277.57	17.16	0.0	0.0	0.0	34.38	0.0	0.0	0.0	0.0	199.18	208.38	1.72	274.18	273.08	247.96	148.63
Mtap1b	0.1	622.93	640.71	705.39	0.03	0.0	0.13	0.0	343.99	187.47	0.0	642.04	515.84	338.1	581.32	436.82	317.03	532.07	853.28	789.82	918.41	856.16	1015.81	620.09	828.88	497.91	143.55	565.21	422.07	627.12	653.61	259.26	281.51	498.79	775.94	714.96	511.06	620.64	649.18	779.66	530.59	0.06	0.0	78.7	0.27	1.01	0.0	0.0	0.0	57.5	714.61	683.52	201.63	873.28	599.0	668.23	530.24
Ndn	0.0	845.49	46.66	1071.14	0.0	0.0	0.0	0.0	0.0	757.3	0.0	0.0	0.44	0.0	831.64	1235.59	400.49	0.41	531.37	0.0	173.69	254.24	489.62	0.19	317.58	394.08	12.39	0.36	0.0	0.15	0.0	192.37	127.93	0.0	855.76	0.17	180.42	0.17	252.66	147.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	67.82	0.0	0.0	0.19	0.22
Necap1	0.0	425.62	547.36	740.19	0.0	0.0	0.0	0.0	401.56	605.67	0.0	565.18	504.31	303.08	355.33	472.91	513.05	413.68	493.77	519.43	419.21	601.82	370.75	418.31	546.57	359.88	505.87	619.42	227.52	551.38	385.83	407.26	254.35	462.75	467.83	691.12	562.92	653.94	623.3	268.88	588.37	0.0	0.0	0.0	0.19	1.2	0.0	0.0	0.0	0.0	322.94	245.34	147.46	465.25	322.8	423.51	562.51
Npy	0.0	138375.8	173305.25	115124.65	0.0	0.0	0.0	0.0	108594.8	42632.64	0.0	132042.44	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	101365.79	126989.03	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	0.0	0.0	1010.95	0.0	8.66	0.0	0.0	0.0	0.0	145032.54	180453.32	92572.95	128781.07	137945.15	137580.94	120620.2
