	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_10	Sst_tdTpositive_cell_19	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
3110052M02Rik	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.09	0.06	0.0	10.21	0.05	28.8	5.51	0.22	0.0	26.27	7.36	6.39	8.12
5430416O09Rik	0.04	0.13	0.0	0.47	0.0	0.0	0.28	0.1	0.57	0.0	0.11	0.11	0.75	0.18	0.0	0.0	0.62	0.7	0.63	0.99
Adcy2	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.47	0.0	0.06	104.87	0.0	0.0	0.07	100.5	101.82	105.41
Akap7	0.0	0.0	0.0	1.0	0.17	0.0	0.2	0.26	0.0	0.0	20.96	0.19	0.92	0.32	0.16	0.0	3.58	30.01	28.77	29.61
Arhgef17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.02	62.3	0.0	0.0	0.01	53.82	58.08	58.26
Atxn1	0.0	0.0	0.0	0.0	0.0	0.05	0.11	0.08	0.0	0.0	13.37	0.03	0.11	14.42	0.05	0.0	0.15	21.76	20.93	22.39
Bahd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.05	7.73	0.0	0.0	0.07	29.7	27.75	26.96
Casp8ap2	0.0	0.0	0.0	0.0	8.96	0.07	0.09	0.0	0.0	0.0	0.94	0.04	20.86	20.99	0.0	0.0	43.21	5.9	4.26	5.42
Cd14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.48	0.24	0.17	0.0	0.0	3.73	3.77	2.96
D230025D16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.13	9.98	0.0	78.67	0.24	0.09	0.0	0.0	36.08	38.17	38.0
Dcun1d1	0.0	0.0	0.0	0.0	0.0	14.65	0.0	0.0	0.0	0.0	62.85	0.05	169.78	112.3	0.06	0.0	2.76	28.99	26.8	28.36
Ddhd2	0.0	0.12	0.13	0.0	0.0	0.12	2.02	2.35	0.1	279.39	139.33	0.65	297.79	32.3	0.17	0.0	232.13	49.01	45.01	45.92
Epha6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	0.0	0.06	2.52	0.0	0.0	0.07	21.54	15.15	21.49
Ero1l	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	18.08	0.05	199.25	18.19	0.0	0.0	0.07	38.26	35.78	35.67
Errfi1	0.0	0.0	0.0	0.0	0.0	0.0	74.74	0.0	0.09	0.0	0.43	0.0	139.83	50.38	0.0	0.0	0.0	27.66	27.93	21.94
Fam105a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.95	0.08	0.75	0.37	0.09	0.0	0.0	19.96	18.66	17.77
Fam58b	0.0	0.0	0.0	0.0	0.0	16.14	0.98	0.0	0.0	0.0	32.58	0.2	81.72	0.0	0.21	0.0	187.42	21.57	22.71	22.26
Fat4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.04	0.51	0.0	0.0	0.02	4.5	3.45	4.21
Fbrs	0.0	0.0	0.0	0.0	2.4	0.0	0.0	0.15	0.13	0.0	6.45	0.09	40.37	3.29	0.0	0.0	30.4	35.66	34.04	33.97
Gak	6.19	0.0	0.0	0.43	1.98	0.0	0.0	0.09	0.0	0.0	12.08	0.05	69.54	20.2	0.0	0.0	52.34	65.57	67.73	67.97
Git1	0.0	0.0	0.0	17.08	0.14	0.0	0.0	21.3	0.07	0.0	17.78	15.59	82.92	33.13	0.13	0.0	53.82	228.58	244.29	233.42
Gjd4	0.06	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.49	0.44	1.58	1.05	0.0	0.0	1.34	0.19	0.11	0.25
Gm14430	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.01	0.04	6.69	0.0	0.21	21.71	0.03	0.0	17.88	7.67	5.07	7.49
Gm14434	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.01	0.04	6.69	0.0	0.21	21.71	0.03	0.0	17.88	7.67	5.07	7.49
Gm4724	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.01	0.04	6.69	0.0	0.21	21.71	0.03	0.0	17.88	7.67	5.07	7.49
Kcnj5	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.27	0.05	0.17	0.06	0.0	0.0	0.12	0.53	0.69	0.74
Klf3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	95.07	0.15	0.0	0.0	0.14	15.86	16.95	20.25
LOC106740	2.83	0.0	30.6	0.0	11.9	0.0	0.0	0.0	0.0	0.0	23.84	0.0	193.75	10.58	0.0	0.0	117.31	32.9	34.02	35.47
Lamp3	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.07	0.14	0.1	0.0	0.0	0.09	0.06	0.0	0.13
Ldb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.4	0.1	0.38	117.66	0.0	0.0	0.38	50.55	48.2	45.35
Lphn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.42	0.0	16.14	2.79	0.0	0.0	26.61	43.63	39.06	43.63
Luc7l3	0.05	0.0	160.66	0.0	108.73	30.71	1.76	0.24	48.7	406.74	274.58	0.22	527.66	116.74	108.55	63.71	146.71	121.15	101.28	129.92
Mafb	0.0	0.15	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.11	0.22	0.09	0.52	3.07	0.0	0.0	0.16	14.72	16.99	15.98
Map2k1	0.13	0.0	0.0	0.0	0.0	0.0	0.24	0.17	0.0	0.0	96.08	0.1	55.62	444.13	0.21	0.0	111.95	309.79	328.2	308.6
March1	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	2.67	0.06	26.95	24.06	0.06	0.0	0.16	19.71	18.17	19.97
