	Gad2_tdTpositive_cell_10	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_70	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610007N19Rik	0.0	0.0	0.0	1.82	2.35	2.43
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
AI606473	0.0	0.0	0.16	0.55	1.08	0.61
Abcb9	0.0	0.0	5.65	38.34	41.71	43.95
Adam11	0.13	0.0	20.3	100.2	105.1	100.46
Agap2	0.11	0.0	6.05	422.27	459.59	467.65
Ankrd6	0.0	0.0	11.59	22.51	20.9	22.92
Aplp1	67.23	115.57	167.54	1108.57	1258.77	1161.27
Arf3	255.91	0.85	192.8	822.27	797.92	835.04
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Barhl2	0.0	0.21	0.15	0.39	0.85	0.6
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C130039O16Rik	0.0	0.0	0.0	12.02	11.68	9.99
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Camkk1	0.0	0.0	8.48	101.21	102.79	94.75
Cbx4	0.0	0.0	0.0	25.49	29.41	26.74
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cdc25a	0.0	0.0	0.0	3.58	4.21	3.39
Cdt1	0.0	0.0	0.0	1.72	1.87	2.01
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chmp4b	1.36	0.0	23.28	213.47	219.44	219.27
Clptm1	0.0	0.0	1.06	90.39	96.28	96.9
D630003M21Rik	0.0	0.0	0.0	3.7	3.62	3.29
Dbn1	0.0	0.0	13.42	181.07	196.52	190.0
Dcaf5	0.0	0.0	18.68	44.87	46.47	44.07
Dek	9.0	0.0	35.27	48.02	39.41	46.69
Dlgap2	0.0	0.0	16.49	46.96	39.79	45.7
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Eomes	0.0	0.0	0.01	0.26	0.83	0.5
Fam162a	0.0	0.0	1.71	54.85	58.88	58.47
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gemin5	1.1	0.0	0.0	10.98	10.99	11.65
Gimap8	0.0	0.1	0.85	2.85	2.55	2.85
Gjd2	0.0	0.0	0.0	5.07	5.68	5.37
Gm12505	0.0	0.0	0.0	1.39	1.35	0.91
Hapln2	0.0	0.19	0.0	17.51	18.9	20.68
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Kcnq3	0.0	0.13	0.12	53.72	40.28	59.42
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kpna6	0.0	0.0	17.84	51.29	52.26	49.38
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Map2k2	0.0	0.0	1.57	60.47	69.16	67.5
Map3k10	0.0	0.0	0.0	129.25	141.31	139.52
March8	0.07	0.0	0.0	35.97	35.62	36.66
Mdga1	0.0	0.0	0.0	10.01	11.08	11.17
Med23	0.0	0.0	0.41	25.82	24.94	25.98
Miat	0.0	0.0	32.18	196.73	185.46	213.96
Mpdz	0.0	0.0	3.33	26.84	24.58	27.21
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Pias4	0.0	0.0	0.0	25.66	30.11	26.61
Ppp2cb	0.0	0.0	0.94	155.13	154.21	139.78
Ptk2b	0.0	0.2	65.95	310.21	322.91	308.74
Ptms	0.0	0.0	15.05	736.58	799.51	735.86
Pxn	0.0	0.31	7.39	18.43	19.63	20.36
Rasgrp2	26.81	0.0	35.28	46.32	47.26	41.72
Rfng	0.0	0.0	0.16	81.25	85.04	84.63
Sall3	0.0	0.0	0.0	2.49	3.16	2.21
Slco2b1	0.0	0.0	0.0	11.2	11.11	11.93
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Sntg2	0.0	0.0	0.0	3.64	3.23	2.62
St6galnac6	0.0	0.0	29.04	111.0	121.34	119.44
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d13	0.0	0.04	0.19	33.76	33.35	30.89
Tmem158	0.0	0.0	0.0	75.2	98.12	88.24
Tmod2	27.71	9.85	116.79	147.06	135.01	149.73
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vsig2	0.0	0.0	0.0	12.86	11.9	11.71
Wdr1	16.45	0.13	27.08	109.52	120.54	108.93
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.37	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
