	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_19	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_97	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg2_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_35	Scnn1a.Tg3_tdTpositive_cell_60	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
4930528D03Rik	1.87	0.63	0.58	0.73	0.0	7.97	3.12	0.0	28.08	0.0	7.47	0.31	7.17	0.0	0.0	30.46	0.26	1.61	0.48	5.86	0.0	2.77	2.68	1.89	3.71	1.79
9230112J17Rik	0.0	0.05	0.31	0.0	0.28	0.25	0.27	1.16	3.06	0.22	0.0	0.1	0.16	0.38	0.23	0.0	0.11	0.0	0.41	0.04	0.0	0.52	0.21	0.19	0.24	0.28
Ak4	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	55.2	2.29	0.0	0.0	88.92	0.0	0.0	0.0	8.87	11.52	0.0	38.03	0.0	3.82	5.79	5.74	4.95	4.71
Asrgl1	0.0	52.1	83.49	0.7	329.09	0.0	93.44	1.57	133.86	0.0	0.19	0.0	50.48	0.0	0.4	0.0	0.11	0.0	0.0	12.89	0.0	29.81	44.38	21.35	38.46	28.83
Atg7	0.0	45.36	0.11	0.3	0.58	0.15	6.37	33.86	174.4	81.93	45.74	7.35	0.04	10.16	0.0	0.5	0.45	0.0	0.45	31.42	0.0	16.65	17.62	21.29	13.37	19.98
Atl1	0.0	558.13	483.63	470.91	146.35	144.85	393.44	323.44	551.97	358.37	76.94	486.4	676.62	415.21	194.93	465.49	175.9	542.32	312.32	573.01	123.12	273.65	290.89	261.86	242.37	246.29
Atr	0.0	1.27	5.85	0.0	0.0	0.0	0.02	1.16	19.14	0.0	0.0	0.04	56.53	0.0	33.43	0.0	0.0	1.1	0.42	3.95	0.0	2.78	2.98	2.29	1.89	2.59
B230312A22Rik	0.0	0.86	0.72	0.0	0.0	0.0	0.12	0.0	6.14	0.0	0.14	0.6	0.0	0.0	0.0	2.51	0.25	60.97	0.37	0.0	0.0	4.88	4.41	3.36	1.88	1.73
Caml	141.22	117.38	155.26	111.4	0.0	0.0	0.0	0.0	230.24	0.0	69.4	80.84	0.12	94.95	38.32	0.0	86.04	0.0	96.02	67.98	0.0	58.12	74.74	78.03	56.51	45.52
Ccdc51	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	91.13	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.57	7.23	6.49	3.74	12.79
