	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Cux2_tdTpositive_cell_62	Htr3a_tdTpositive_cell_54	Htr3a_tdTpositive_cell_104	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_114	Nos1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_6	Slc17a6_tdTpositive_cell_36	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_11	CAV_VISp_Contra_tdTpos_cell_1
100043387	20.65	12.65	25.84	5.52	0.0	43.0	50.32	0.0	25.87	1.11	19.28	31.91	0.0	14.15	0.0	94.38	23.54	0.0	25.69	37.92	33.91	31.15	13.14	112.86
1700012D01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.08	4.13	2.11	2.67	0.0	12.37
1700066M21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37	3.54	2.07	0.0	173.09
1810041L15Rik	0.07	5.11	0.0	0.0	0.0	0.0	0.0	61.12	0.17	42.23	0.02	0.06	0.07	0.49	0.0	0.0	0.11	0.0	5.08	14.15	7.47	11.82	0.0	72.96
2700081O15Rik	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	34.63	0.58	0.0	4.08	0.83	0.14	0.97	0.32	51.27
2900079G21Rik	0.0	1.22	21.08	0.0	0.0	0.0	0.0	0.0	0.33	23.28	1.39	31.07	5.95	0.0	0.0	1.95	2.0	0.0	8.9	6.67	7.64	3.2	0.89	40.81
4632411B12Rik	0.0	0.0	0.13	0.0	0.0	7.4	70.01	20.06	1.11	1.14	0.44	0.0	50.8	0.15	0.0	28.54	0.0	0.0	15.62	12.18	11.34	9.08	0.07	27.23
6330410L21Rik	4.73	2.31	2.52	0.3	0.0	0.0	1.19	0.18	0.0	0.0	1.38	1.19	1.56	3.11	0.0	0.0	0.0	0.0	0.0	0.65	0.26	0.54	0.0	5.36
6430531B16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.28	0.0	1.83	0.0	0.0	111.24
Acaa2	0.0	0.0	0.0	0.0	0.0	0.0	43.99	0.0	0.0	0.0	0.0	0.0	0.0	9.23	0.0	0.0	0.0	0.0	0.0	2.84	0.47	7.31	0.0	161.72
