	PvalbF.Gad2_tdTpositive_cell_53	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.04	0.0	0.04
1700003L19Rik	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.11	0.0	0.11
1700011H14Rik	0.0	0.0	0.09	0.0	0.18
1700024P03Rik	0.0	0.0	0.21	0.0	0.21
1700047G03Rik	0.0	0.0	0.24	0.0	0.12
1700061J05Rik	0.0	0.0	0.11	0.0	0.11
1700066O22Rik	0.0	0.0	0.11	0.0	0.22
1700120G07Rik	0.0	0.0	0.06	0.0	0.12
4930544D05Rik	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.07	0.0	0.07
4933424G05Rik	0.0	0.0	0.06	0.0	0.12
9230104L09Rik	0.0	0.0	0.16	0.0	0.16
A430035B10Rik	0.0	0.0	2.87	3.67	4.18
Adamdec1	0.0	0.0	0.04	0.0	0.04
Akap12	0.0	0.0	12.09	12.77	12.36
Akr1c12	0.0	0.0	0.08	0.0	0.08
Apob	0.0	0.0	0.01	0.0	0.01
Calhm1	0.0	0.0	0.1	0.09	0.1
Capn13	0.0	0.0	0.04	0.0	0.04
Ccr3	0.0	0.0	0.03	0.0	0.03
Ceacam15	0.0	0.0	0.07	0.0	0.07
Ceacam18	0.0	0.0	0.1	0.0	0.05
Clec12b	0.0	0.0	0.07	0.0	0.07
Ctbs	0.0	0.0	6.85	7.2	8.9
Cxcr3	0.0	0.0	0.12	0.0	0.06
Cyp3a57	0.0	0.0	0.06	0.0	0.06
D630042F21Rik	0.0	0.0	0.03	0.0	0.06
D6Mm5e	0.0	0.0	0.1	0.09	0.1
Dnajc5b	0.0	0.0	0.11	0.0	0.11
Dyrk4	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.1	0.09	0.1
Erlin2	33.82	0.0	37.16	36.46	33.04
F2	0.0	0.0	0.1	0.0	0.05
Fam166b	0.0	0.0	1.12	1.2	0.69
Fmo4	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.02	0.0	0.02
Gm12633	0.0	0.0	0.06	0.0	0.06
Gm4745	0.0	0.0	0.08	0.0	0.08
Gzma	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.04	0.0	0.04
Kcnk7	0.0	0.0	0.18	0.0	0.09
Kctd19	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.04	0.0	0.04
Lect2	0.0	0.0	0.12	0.0	0.12
Lgals2	0.0	0.0	0.18	0.0	0.36
Ltf	0.0	0.0	0.04	0.0	0.04
Mageb3	0.0	0.0	0.09	0.0	0.18
Muc4	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.07	0.0	0.07
Ncr1	0.0	0.0	0.07	0.0	0.07
Nfic	10.63	0.28	48.31	45.12	48.02
Nkd1	0.1	0.09	9.09	10.05	10.24
Nox4	0.0	0.0	0.06	0.0	0.06
Oas1e	0.0	0.0	0.06	0.0	0.12
Olfr1419	0.0	0.0	0.1	0.09	0.1
Olfr15	0.0	0.0	0.11	0.0	0.11
Otx2os1	0.0	0.0	0.14	0.0	0.14
Phf21b	0.0	0.0	8.47	9.0	8.22
Pramel5	0.0	0.0	0.1	0.0	0.05
Prps1l1	0.0	0.0	0.06	0.0	0.06
Pth1r	0.0	0.0	5.39	6.19	5.62
Raet1d	0.0	0.0	0.16	0.0	0.16
Sema6a	4.13	0.84	11.33	10.76	13.0
Siglec15	0.0	0.0	0.2	0.0	0.1
Slc4a1	0.0	0.0	0.02	0.0	0.02
Slco2a1	0.0	0.05	1.39	1.25	1.46
Slfnl1	0.0	0.0	0.06	0.0	0.06
Tac4	0.0	0.0	0.08	0.0	0.08
Tas1r2	0.0	0.0	0.03	0.0	0.03
Tcstv1	0.0	0.0	0.12	0.0	0.12
Timp4	0.0	0.0	32.89	31.78	36.07
Usp26	0.0	0.0	0.02	0.0	0.02
Usp30	2.58	0.0	35.67	35.77	36.43
Vmn1r210	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.04	0.0	0.04
mt_AK131586	0.48	0.0	25813.35	24091.17	24561.45
mt_AK166684	10.48	15.09	18796.57	17507.83	18655.33
