	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_74	Ntsr1_tdTnegative_cell_20	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_21	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_12
3110043O21Rik	0.0	24.52	0.0	0.0	0.0	65.65	6.7	41.78	31.25	41.94	0.0	29.95	141.64	35.75	150.37	79.82	81.12	0.09	42.51	75.11	50.31	0.38	75.77	70.45	33.41	28.05	79.69	0.0	35.21	51.73	51.98	104.59	0.0	137.27	145.32	122.26	0.0	0.0	0.0
Ank	0.13	0.0	0.0	36.42	0.0	1.13	83.68	88.31	58.01	114.14	137.08	119.23	219.19	84.49	89.15	83.54	234.87	66.04	60.53	137.81	116.63	136.53	62.81	128.44	13.9	33.17	72.33	90.53	51.84	38.59	87.76	52.16	189.45	209.05	98.73	122.45	3.01	0.0	0.0
Arhgef11	0.0	0.0	0.0	0.0	0.0	0.0	15.78	19.32	2.32	0.0	2.44	13.19	0.0	0.0	30.3	0.74	26.67	3.37	0.0	14.78	33.91	1.01	4.56	0.0	5.21	0.0	0.19	0.11	0.0	0.08	0.71	0.13	15.19	33.52	29.52	39.21	0.0	0.0	0.0
Arhgef3	0.0	0.68	0.0	0.0	0.0	57.17	113.27	76.75	101.0	98.61	105.73	44.87	228.64	73.57	155.66	160.52	42.58	133.13	131.29	122.63	155.12	142.61	94.9	176.69	91.15	131.42	30.24	69.81	91.03	2.04	82.21	128.06	83.27	128.44	51.68	183.6	0.0	0.0	0.0
Btbd3	1.92	13.95	0.0	8.9	31.51	61.01	152.8	154.62	125.85	174.68	49.81	128.89	193.83	71.2	40.81	117.85	195.65	95.02	16.38	119.14	137.66	103.84	189.47	129.56	68.87	192.72	46.94	166.0	46.88	64.29	134.0	139.29	268.69	323.04	249.85	236.92	0.0	0.0	0.0
Cdr1	0.0	0.0	0.0	0.0	0.0	36.68	47.5	85.92	79.93	135.65	26.12	73.33	85.72	12.54	0.49	54.78	134.08	53.35	2.97	50.28	125.28	69.32	89.39	139.13	18.92	15.12	182.77	147.03	83.73	48.75	24.63	219.62	210.13	144.7	123.51	104.56	0.08	0.36	0.0
Chic1	0.47	0.1	0.14	0.74	6.39	7.61	11.59	6.94	43.83	9.96	4.41	47.77	30.39	18.73	40.16	16.77	74.64	25.07	7.31	37.64	17.8	31.58	18.9	23.81	20.46	2.58	10.52	18.68	9.63	22.0	43.55	48.03	62.42	34.47	43.24	44.65	0.52	1.14	1.75
Dnaja2	0.0	3.71	0.16	213.68	1.33	69.78	78.58	137.19	152.25	199.54	63.55	108.32	143.09	199.66	329.3	118.26	220.45	47.06	59.91	150.14	164.03	196.67	104.67	140.54	95.52	70.93	60.55	6.15	202.74	108.59	137.11	103.64	142.95	131.63	53.25	282.66	0.0	0.58	0.0
Dscr3	0.0	44.85	0.0	65.21	80.23	89.39	44.64	131.7	1.59	55.89	0.0	99.62	0.97	67.51	160.11	0.0	118.49	104.73	0.43	73.95	158.96	98.23	77.47	186.32	0.0	0.0	0.0	68.12	165.24	0.0	112.59	41.98	205.51	70.42	50.15	200.39	0.0	0.17	0.0
Efr3a	14.57	11.97	0.0	1.35	0.48	104.2	131.53	247.39	124.43	195.51	48.05	151.36	0.0	61.0	138.11	56.44	123.37	26.3	50.07	107.45	138.36	84.37	84.17	213.61	78.15	120.33	103.82	61.25	137.68	93.62	195.04	150.68	171.54	161.01	58.23	120.85	0.0	0.16	0.0
