	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Cux2_tdTnegative_cell_16	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_31	Scnn1a.Tg3_tdTpositive_cell_90	Scnn1a.Tg3_tdTnegative_cell_19	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
1190002N15Rik	0.0	0.0	0.0	0.0	68.42	0.56	0.0	0.08	0.0	0.0	0.0	0.0	0.0	47.7	0.0	0.0	0.0	63.4	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0
2700054A10Rik	0.0	0.0	3.07	4.24	2.86	1.23	0.0	0.45	0.84	14.47	0.0	0.0	1.24	12.01	2.73	0.0	3.19	2.03	1.49	9.2	0.0	0.0	3.16	0.34	0.62	1.42	0.38	0.0
Alkbh5	40.62	0.1	49.8	16.59	54.19	10.2	12.4	1.21	16.49	13.58	10.42	35.05	22.06	8.63	10.64	28.67	23.64	31.23	15.16	17.43	20.09	5.55	36.33	0.0	0.04	35.47	4.79	0.63
Amy2a2	0.0	0.15	0.4	0.17	0.3	0.7	0.07	0.45	0.28	0.72	0.03	0.31	0.2	0.31	0.45	0.03	0.54	0.41	0.13	0.32	0.0	0.04	1.35	0.03	0.05	0.28	0.1	0.08
Amy2a3	0.0	0.15	0.4	0.17	0.3	0.7	0.07	0.45	0.28	0.72	0.03	0.31	0.2	0.31	0.45	0.03	0.54	0.41	0.13	0.32	0.0	0.04	1.35	0.03	0.05	0.28	0.1	0.08
Amy2a4	0.0	0.15	0.4	0.17	0.3	0.7	0.07	0.45	0.28	0.72	0.03	0.31	0.2	0.31	0.45	0.03	0.54	0.41	0.13	0.32	0.0	0.04	1.35	0.03	0.05	0.28	0.1	0.08
Ankrd46	3.03	361.02	369.64	282.93	754.0	430.61	144.08	503.97	229.63	2.2	0.0	0.0	380.51	406.69	233.28	240.72	341.46	403.12	348.3	210.21	342.94	62.39	161.9	64.01	190.42	93.73	4.05	90.34
Arhgap44	224.75	272.43	88.25	262.23	290.4	310.74	190.92	235.87	462.32	328.96	0.07	0.0	241.17	139.43	294.95	189.73	774.04	185.17	436.99	63.37	219.11	0.0	51.77	273.95	120.25	122.42	161.61	153.63
Bcat1	0.0	30.95	0.0	0.0	91.95	22.19	0.0	0.0	182.64	153.67	0.0	0.1	0.0	38.6	0.09	0.0	0.1	140.44	177.88	0.13	6.76	0.0	89.97	0.04	0.03	0.0	0.04	29.07
Ccl27b	6.45	19.36	9.53	0.69	24.48	22.24	136.5	328.63	352.63	190.26	0.0	0.0	0.0	1.96	63.9	0.0	279.74	2.1	364.23	147.96	0.0	0.0	30.14	319.12	235.31	83.58	97.07	149.77
