	Calb2_tdTpositive_cell_28	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_12	Ndnf_tdTpositive_cell_7	Ntsr1_tdTnegative_cell_12	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_39	Ntsr1_tdTnegative_cell_42	Rbp4_tdTpositive_cell_175	Rbp4_tdTnegative_cell_11	Rbp4_tdTnegative_cell_17	Scnn1a.Tg2_tdTnegative_cell_9	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_7	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_16
2700049A03Rik	5.99	0.0	0.0	0.0	0.0	0.0	0.0	244.95	0.06	1.7	0.0	0.0	191.02	0.0	0.0	0.0	0.0	0.0
Abcd3	82.23	0.0	0.0	189.96	0.0	0.0	0.0	996.98	301.55	0.0	439.76	233.35	844.11	9.96	0.0	0.0	0.0	537.19
Amy2a2	0.11	0.0	0.0	0.22	0.0	1.72	0.18	0.34	0.03	1.87	0.12	0.32	2.87	0.19	0.0	0.04	0.05	0.1
Amy2a3	0.11	0.0	0.0	0.22	0.0	1.72	0.18	0.34	0.03	1.87	0.12	0.32	2.87	0.19	0.0	0.04	0.05	0.1
Amy2a4	0.11	0.0	0.0	0.22	0.0	1.72	0.18	0.34	0.03	1.87	0.12	0.32	2.87	0.19	0.0	0.04	0.05	0.1
Cadm3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.56	0.0	0.14	17.84	0.07	43.24	0.45	0.0	0.0	0.0	0.39
Cd9	3254.53	0.28	1409.07	15429.87	0.0	7471.29	5406.29	4811.76	5319.71	0.0	11632.89	10696.69	1329.68	9452.06	7282.86	3113.22	1280.42	9120.27
Cdk7	42.53	0.4	0.0	48.64	0.81	6.37	1.17	125.42	79.11	138.79	9.06	5.28	193.65	47.32	1.29	0.39	1.25	1.0
Chek2	13.72	0.5	0.0	1.6	0.08	7.41	1.12	13.43	5.93	22.47	3.06	1.72	11.93	3.79	1.35	3.98	0.7	7.73
Clec2g	0.0	0.0	0.0	0.24	0.0	1.93	0.11	8.15	1.9	5.51	0.36	0.0	6.98	0.21	0.0	0.79	0.0	0.23
G530011O06Rik	14.3	3.66	0.0	15.69	24.36	31.61	9.76	694.26	30.44	554.19	18.97	19.26	711.67	54.25	13.22	9.49	3.61	80.35
Glmn	71.41	0.0	0.0	0.0	0.0	0.0	0.0	619.19	0.19	0.95	0.0	0.0	253.62	104.25	0.0	0.0	0.0	0.27
Gm6300	83.5	14.86	0.58	80.52	54.69	163.56	45.91	269.97	153.64	1032.68	89.22	146.6	284.62	242.05	116.21	22.05	67.16	206.28
Gpr174	0.51	0.07	0.0	0.46	0.33	2.8	0.23	3.21	0.74	4.18	0.34	0.39	1.6	1.35	0.22	0.0	0.0	1.45
Kcnq1ot1	52.51	7.22	0.45	64.77	42.86	111.69	25.85	172.82	68.61	644.25	48.88	119.13	181.75	118.1	59.42	14.5	33.86	221.89
Larp4	7.43	0.05	0.0	217.8	0.0	160.02	0.0	433.52	157.51	33.18	157.18	0.0	340.72	144.94	0.0	0.0	0.0	0.07
Manea	61.38	0.0	0.0	0.0	0.0	0.32	0.0	374.61	0.06	6.89	0.16	0.0	279.11	0.38	0.72	0.0	0.0	134.45
Phex	0.64	0.0	0.0	2.88	0.2	0.37	0.19	2.96	1.25	6.55	1.22	1.42	3.48	1.38	0.93	0.0	0.6	0.89
Pi15	14.0	0.06	0.1	33.68	3.15	30.69	11.97	61.41	17.99	216.91	20.21	18.5	59.08	20.16	15.68	6.47	5.45	66.66
Polr1b	1.48	0.0	0.0	2.74	0.15	1.65	0.82	80.86	0.75	9.57	1.44	3.02	355.11	0.58	0.55	0.34	0.0	1.26
Rac2	2.43	0.07	0.27	1.28	0.58	2.59	1.1	3.74	1.95	10.06	1.89	3.87	11.74	1.95	1.88	0.2	0.0	2.35
Rpp40	1.0	0.0	0.0	2.26	0.0	2.12	0.62	4.37	119.26	17.25	1.25	1.95	150.42	2.88	0.41	0.23	0.3	6.01
Snx31	0.0	0.0	0.0	0.0	0.39	0.31	0.0	0.52	0.52	0.65	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0
Top2b	0.33	0.0	0.0	5.9	0.0	0.0	0.0	388.87	92.18	0.0	0.0	148.05	250.7	0.0	54.14	0.0	0.0	0.0
Tra2b	431.56	0.0	0.0	0.0	0.0	214.3	0.0	1128.43	289.58	601.82	530.33	1133.94	1237.75	819.2	440.29	0.0	445.56	438.57
Upf2	0.0	0.0	0.0	0.0	0.0	0.0	0.12	70.29	3.27	2.53	0.0	18.16	50.64	17.36	40.91	0.0	0.0	0.0
Yaf2	129.8	0.0	9.06	0.0	0.0	0.0	0.26	477.45	127.73	250.37	0.16	0.0	738.78	8.17	0.0	0.0	0.0	0.24
Zyg11b	3.13	0.95	0.95	4.45	0.76	1.89	2.01	26.55	3.36	19.24	2.31	11.43	25.11	3.92	2.65	1.56	1.36	7.68
