	Calb2_tdTpositive_cell_46	Calb2_tdTpositive_cell_58	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_41	Ndnf_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_30	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_53	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930563E18Rik	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	3.07	1.29	0.23	0.0	0.0	0.0	0.0	0.1	0.91	0.0	0.0	0.12	0.13	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.18	0.14
A830010M20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.07	0.0	0.0	0.0	0.0	0.0	0.1	0.0	151.82	52.65	0.38	78.89	56.02	0.0	0.4	0.0	0.0	0.1	0.23	0.26	0.26	141.99	0.11	0.34	0.22	0.06	0.06	88.24	0.0	0.0	0.0	0.0	0.0	0.0	114.59	92.35	95.69	66.44	60.63	61.97
AI427809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.12	0.21	1.93	0.71	0.0	0.33	0.0	0.0	0.35	0.02	0.0	0.63	1.01	0.24	0.35	0.11	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.17	0.36	0.05	0.06
Acvr2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.5	1.08	0.4	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.21	2.07	7.08	5.81	6.58
Anks1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.16	57.45	0.15	0.07	49.64	0.0	0.28	0.15	0.0	0.04	0.1	0.0	0.06	38.37	0.18	0.11	0.0	0.06	0.0	294.6	0.0	0.0	0.0	0.0	0.0	0.0	39.65	38.52	38.4	136.15	132.0	139.16
Arl4c	0.0	0.0	0.0	0.0	50.25	0.0	1.17	0.0	0.12	0.0	0.0	239.24	0.0	0.0	0.0	0.0	23.9	11.29	662.31	699.38	0.26	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.28	0.0	0.0	0.88	13.62	322.69	0.26	217.74	0.0	0.0	0.0	0.09	0.43	36.08	39.32	37.31
Armcx4	0.96	0.16	0.0	0.51	0.33	0.0	0.47	0.42	0.1	0.0	0.07	0.07	0.0	0.1	1.01	0.1	21.89	6.0	0.99	0.0	10.09	0.0	0.15	0.06	0.07	0.02	0.91	0.14	0.29	22.01	0.24	1.09	0.05	0.05	0.04	4.73	0.16	0.49	0.24	0.0	0.0	0.53	1.55	1.29	2.13	23.98	21.4	24.53
Atp5sl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.76	0.0	0.0	0.0	37.71	40.55	903.77	0.14	0.73	0.0	0.0	0.0	0.0	0.0	474.57	0.15	0.57	0.85	0.22	0.0	0.31	0.0	58.74	100.58	0.0	0.0	0.0	0.0	0.0	0.0	24.43	35.84	29.16	32.07	33.59	32.51
Brd1	0.0	0.0	0.0	0.0	0.09	104.4	0.0	0.0	0.0	0.0	109.8	0.24	0.0	0.0	0.0	0.0	17.5	23.31	210.42	209.91	29.01	0.0	0.12	0.07	0.13	0.0	22.97	0.07	0.0	10.33	0.03	0.0	0.0	2.8	0.0	18.64	0.0	0.0	0.0	3.5	0.0	0.0	9.08	5.84	8.04	30.53	33.71	28.77
Brwd1	0.0	82.77	0.0	22.86	108.21	1.25	0.0	0.0	0.0	195.22	0.0	97.78	3.16	0.0	0.09	8.48	70.85	51.66	597.63	335.85	135.53	1.16	11.88	0.0	0.09	0.0	0.12	0.48	0.37	26.27	53.99	0.15	0.42	0.11	0.16	13.38	0.0	0.1	0.13	0.0	0.16	0.0	53.31	44.47	44.0	77.01	70.69	76.65
