	Cux2_tdTpositive_cell_70	Cux2_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_28	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_39	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTpositive_cell_107	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4930539N22Rik	66.97	0.0	0.0	10.15	18.88	19.39	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.1
Adam22	163.55	0.0	0.0	61.0	58.17	60.86	62.51	0.07	0.11	0.04	0.13	0.28	0.13	0.07	0.02	0.15	0.38	0.64	38.84	80.87	0.0	0.0	0.0	0.0	0.0	0.0	89.53	82.55	89.57
Arl15	81.32	0.0	0.0	10.57	8.34	14.23	4.63	9.7	0.0	0.0	0.0	0.0	0.0	0.5	0.02	0.74	0.31	0.68	0.06	97.56	6.3	0.44	0.0	0.0	0.0	0.0	35.8	32.83	31.22
C530008M17Rik	79.68	0.0	0.1	0.19	0.86	0.23	0.74	0.1	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.09	0.0	0.0	0.0	72.19	0.07	0.11	0.0	0.0	0.0	0.0	24.95	24.51	24.36
Camk4	246.75	3.74	3.03	15.37	28.92	35.67	24.4	4.05	3.4	1.65	2.96	3.06	1.18	4.39	1.44	5.04	1.98	3.01	4.43	268.66	1.33	1.22	0.93	0.37	1.01	1.63	69.62	59.4	72.95
Car10	121.02	0.0	0.0	53.05	30.09	36.98	97.0	0.76	0.44	0.12	0.88	0.65	0.0	0.0	0.0	0.54	0.84	0.55	0.29	160.68	0.0	0.0	0.0	0.0	0.19	0.0	94.51	87.6	92.14
Ccl27b	223.23	0.0	0.34	29.61	40.26	93.01	7.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	470.61	0.0	0.0	0.0	0.0	0.0	0.0	30.63	28.29	22.96
Csrnp3	34.7	0.05	0.02	4.17	11.32	21.86	18.37	0.15	0.18	0.11	0.0	0.09	0.1	0.02	0.06	1.0	0.11	0.21	0.03	43.43	0.0	0.1	0.0	0.0	0.0	0.0	29.79	27.04	28.47
Cst3	527.58	54799.87	64380.72	1911.04	471.62	603.87	833.35	59768.12	79037.77	54056.74	72522.19	67515.86	70378.51	61656.06	72390.07	61052.51	33256.36	28488.27	24558.57	776.07	80478.24	68326.69	95318.24	75159.39	84616.84	72517.08	1961.51	2186.93	2204.12
Dis3l2	83.29	0.0	0.0	3.51	7.35	0.37	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.13	145.89	0.0	0.0	0.0	0.19	0.39	0.0	20.81	21.92	20.82
Gm13306	223.23	0.0	0.34	29.61	40.26	93.01	7.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	470.61	0.0	0.0	0.0	0.0	0.0	0.0	30.63	28.29	22.96
Gm2506	223.23	0.0	0.34	29.61	40.26	93.01	7.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	470.61	0.0	0.0	0.0	0.0	0.0	0.0	30.63	28.29	22.96
Klhl17	85.48	4.58	0.0	11.08	7.63	60.34	9.26	0.0	0.0	0.0	139.05	0.21	0.0	127.45	0.0	0.0	0.0	0.0	0.0	129.4	0.0	0.0	0.0	0.0	0.0	0.0	35.96	37.53	40.54
Krt20	45.97	0.0	0.0	0.0	0.0	14.99	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.43	0.0	0.0	0.0	0.0	0.0	0.0	6.89	4.75	6.53
Ldb1	91.71	0.0	0.32	8.43	6.69	0.14	0.21	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	97.52	0.0	0.0	0.0	0.0	0.0	0.0	80.31	91.12	80.98
Lin7a	230.78	0.08	0.46	34.75	37.02	41.24	17.52	0.11	0.44	0.0	0.0	0.22	0.0	0.0	0.03	0.25	0.31	0.61	0.14	114.3	0.37	0.12	0.0	0.0	0.0	0.0	29.65	25.27	30.48
Necab1	299.59	0.31	0.0	20.8	27.52	96.17	65.91	5.14	2.26	0.41	0.49	1.16	1.81	2.27	0.24	3.15	1.47	4.51	1.84	294.34	0.2	0.31	0.2	0.13	0.1	0.0	77.53	66.55	73.48
Neurod6	284.05	0.0	0.0	108.63	110.76	226.76	6.45	0.32	0.3	0.0	0.0	1.25	0.0	0.0	0.0	0.22	0.33	0.34	0.19	284.72	0.0	0.0	0.0	0.0	0.0	0.0	88.63	89.8	90.04
