	Ctgf_tdTpositive_cell_3	Pvalb_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_62	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700066J24Rik	0.0	0.98	0.0	122.44	120.76	115.31
1700073E17Rik	0.0	0.0	0.0	0.11	0.22	0.21
2610305D13Rik	0.0	0.0	0.0	0.69	0.55	0.78
9030625A04Rik	0.0	0.0	0.0	5.4	4.63	5.96
Adam1a	0.0	0.0	0.0	7.69	8.7	8.5
Ankrd53	0.0	0.0	0.0	2.35	1.75	1.3
Antxr1	0.0	0.0	0.0	9.98	8.77	8.59
Asap3	0.41	0.13	0.26	2.38	2.94	3.15
Atg13	0.0	31.4	0.1	69.81	69.59	70.73
Atp8b2	0.0	0.0	8.99	47.57	48.19	47.86
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
C030044B11Rik	0.0	0.0	0.0	24.47	32.0	30.13
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Carhsp1	0.0	0.0	0.0	35.55	41.12	40.06
Cc2d1a	0.0	0.0	0.0	33.23	35.45	36.01
Ccdc3	0.0	0.0	0.0	11.29	11.62	12.69
Ccl27b	0.0	0.0	0.99	30.63	28.29	22.96
Cdh2	0.0	19.22	1.82	71.68	72.18	72.03
Cdk5r2	0.0	0.0	0.41	293.43	337.66	324.81
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chrna2	0.35	0.0	0.0	0.47	0.5	0.87
Ctnnd1	3.0	0.0	0.0	45.75	40.68	44.42
D330045A20Rik	0.09	0.0	0.0	0.32	0.35	0.27
D930048N14Rik	0.12	0.0	0.11	3.76	4.45	3.96
Daam2	0.0	0.0	0.0	36.24	32.77	40.59
Dnahc10	0.0	0.05	0.0	0.53	0.62	0.5
Dnahc7a	0.0	0.0	0.0	0.69	0.51	0.54
Dok6	0.0	0.0	0.0	29.84	19.89	33.11
Eid2b	0.0	0.0	0.0	30.75	29.76	32.85
Exph5	0.0	0.0	0.0	8.2	6.68	8.5
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxj1	0.0	0.0	0.0	5.71	5.88	5.02
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gdpd3	0.0	0.0	0.0	6.33	1.42	1.27
Gm10658	0.0	0.0	0.0	0.55	0.9	1.36
Gm13306	0.0	0.0	0.99	30.63	28.29	22.96
Gm2506	0.0	0.0	0.99	30.63	28.29	22.96
Got2	0.0	1.95	8.84	250.3	263.52	251.13
H2afj	0.0	0.0	12.91	35.61	41.66	40.51
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bq	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.38	0.28	0.38
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Kcnt2	0.0	3.6	0.0	19.36	18.19	17.22
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lama4	0.07	0.0	0.0	5.31	4.82	5.0
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Mx1	0.0	0.24	0.41	0.71	0.85	0.98
Mxd3	0.0	0.0	0.0	1.25	1.41	1.46
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Oprm1	0.0	0.0	0.28	1.5	1.48	1.89
Panx1	0.0	0.0	6.83	17.96	20.74	18.98
Rgmb	0.0	0.0	0.0	37.99	40.82	42.33
Rgs9	0.0	0.0	0.0	95.2	92.99	88.16
Rit1	0.0	5.47	0.0	23.27	24.0	22.49
Scaf1	0.0	0.0	1.06	82.36	94.79	90.63
Spn	0.0	0.0	0.0	0.09	0.19	0.03
Strn	0.0	0.0	0.0	49.78	45.34	46.32
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tjap1	0.0	0.0	0.0	16.87	18.89	20.33
Tmem30c	0.0	0.0	0.0	0.43	0.14	0.15
Tnip1	0.0	0.0	0.0	20.44	20.33	20.11
Tssk6	0.0	0.0	0.0	1.16	1.82	1.6
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ubxn6	0.0	0.0	0.0	96.98	109.7	101.44
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vil1	0.0	0.0	0.0	0.38	0.48	0.39
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zbtb42	0.0	0.0	0.0	0.4	0.69	0.55
Zfp865	0.0	0.0	0.0	16.11	20.13	18.94
Zmiz1	0.0	0.0	0.0	48.24	46.87	51.98
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c2_LSU-rRNA_Hsa	209.97	60.19	49.99	267.85	257.53	283.64
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
