	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110028C15Rik	24.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.67	0.0	0.91	3.34	0.0	0.55	0.03	0.0	0.0	0.0	0.0	0.0	15.43	0.0	0.0	0.0	0.0	22.63	1.39	0.0	0.0	0.0	1.62	0.0	0.0	10.43	0.0	0.0	0.0	6.41	0.57	0.0	0.0	0.0	0.0	2.08	1.24	1.66	7.29	6.45	7.2
1190002N15Rik	0.0	0.0	0.0	4.52	0.0	0.0	0.0	0.0	0.0	0.0	172.28	0.0	4.14	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.76	0.0	0.0	0.0	0.0	0.0	0.0	20.95	62.92	0.0	2.4	0.87	3.58	30.92	30.7	33.72
1700121L16Rik	0.0	0.0	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.76	0.84	0.0	0.0	0.0	0.0	1.11	0.74	0.38
1810062O18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62	72.7	0.0	0.0	0.0	0.0	0.0	0.0	28.76	0.0	0.15	0.0	0.0	13.68	0.0	0.0	0.25	0.0	0.11	8.15	0.0	18.7	9.81	0.0	0.0	0.35	3.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.54	1.27	1.94	4.41	2.45	1.93	2.63
2310028H24Rik	0.0	0.28	0.33	0.12	0.24	0.26	0.0	0.0	0.68	0.0	256.79	0.0	0.12	0.4	0.0	0.22	0.38	17.61	0.0	0.1	19.28	0.3	0.0	0.0	0.21	0.0	0.14	0.0	0.21	0.0	0.0	0.81	25.48	0.08	0.12	1.1	0.17	0.0	0.57	0.15	0.75	14.58	0.24	0.23	0.0	1.44	3.64	1.68	162.12	167.13	173.94
2410127L17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.86	0.0	128.29	8.06	0.0	0.0	0.0	1.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.85	0.0	0.0	0.0	0.0	0.0	0.74	0.0	13.97	0.0	2.3	2.81	1.84	14.1	13.11	11.92
4632415L05Rik	3.74	0.86	33.86	0.6	0.0	8.05	0.5	0.78	6.69	4.79	48.61	4.07	0.57	2.19	0.0	0.36	1.71	0.6	20.35	10.46	0.05	21.82	16.14	0.45	2.04	4.22	1.71	2.02	6.38	0.47	0.88	0.18	3.13	0.63	2.14	4.55	0.0	1.69	0.6	0.95	2.19	1.04	1.28	0.58	28.23	3.66	6.65	2.03	18.82	18.88	18.43
4921531C22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	222.02	0.0	0.0	0.0	0.0	66.79	0.0	0.0	0.0	0.06	6.26	0.0	69.88	0.16	0.0	0.0	0.0	55.78	0.0	0.0	0.0	0.0	0.0	0.0	45.25	8.09	0.0	0.0	0.0	3.42	0.0	0.0	0.0	0.0	0.0	8.54	18.78	9.2	2.4	2.01	3.66
4930417G10Rik	0.0	4.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.95	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	3.52	2.49	3.51
4930520O04Rik	0.0	0.0	16.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	398.7	0.0	0.0	0.0	0.0	46.85	0.0	0.0	0.0	96.9	0.0	5.05	0.0	85.28	73.07	0.0	0.0	0.0	61.94	0.0	0.0	3.62	0.0	0.0	0.0	0.0	0.0	8.55	0.0	55.64	0.0	0.0	0.0	0.0	0.0	2.54	1.3	0.33	0.83	1.13	1.45
4930533P14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0
4930565N06Rik	0.0	0.0	0.0	0.05	0.0	0.15	0.0	0.16	0.0	0.0	4.26	0.1	0.0	0.17	0.0	0.0	0.0	0.1	0.07	0.17	0.0	0.0	0.0	0.38	0.12	0.12	0.24	0.13	0.38	0.0	0.0	0.0	0.36	0.46	0.31	0.32	0.0	0.0	0.0	0.2	0.0	0.18	0.0	0.0	0.15	0.13	0.0	0.0	0.75	0.57	1.26
