	Pvalb_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_52	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700051A21Rik	0.0	0.0	0.0	0.37	0.42	0.38
1700106N22Rik	1.57	7.14	0.0	13.4	12.69	14.12
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4932416H05Rik	0.45	0.5	0.04	5.44	5.94	5.08
Abcb9	0.0	0.0	0.0	38.34	41.71	43.95
Adam15	0.39	18.06	0.0	76.22	84.02	81.5
Anxa11	0.0	0.0	0.0	33.68	32.85	33.53
Apol7a	0.0	0.0	0.0	0.45	0.58	0.63
Arhgef10l	0.0	0.96	0.0	26.99	30.38	29.12
Arhgef11	0.0	12.69	0.0	42.61	41.81	43.06
Atp6v0a4	0.0	0.0	0.0	0.19	0.24	0.23
Atp6v1c2	0.0	0.0	0.0	1.81	2.88	1.64
Atp8b2	0.1	4.96	0.0	47.57	48.19	47.86
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Atrn	35.77	8.21	0.05	85.45	83.79	91.7
Bai2	0.54	0.1	0.0	231.59	239.36	249.07
Brwd3	0.0	0.0	0.0	4.98	3.43	4.99
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Casp8	0.0	0.0	0.0	2.4	1.97	2.08
Ccdc57	2.11	0.0	0.0	7.35	8.83	8.33
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Clec7a	0.0	0.0	0.0	0.35	0.29	0.45
Clic5	0.0	0.09	0.0	4.53	3.89	4.26
Ctcf	13.29	0.0	1.69	50.21	48.44	48.41
Ddx19a	0.0	0.0	0.0	19.8	20.35	20.16
Dnlz	6.14	16.87	0.0	26.8	29.73	28.72
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dusp5	0.0	0.0	0.0	13.73	13.94	7.55
Efnb2	0.0	17.05	0.0	36.52	40.54	35.25
Esm1	0.0	0.0	0.0	0.66	0.52	0.55
Ets2	0.08	0.0	0.0	56.67	59.16	51.74
F2rl1	0.1	0.19	0.0	0.69	0.37	0.41
Fam109a	0.59	0.46	0.0	11.56	10.73	9.53
Fam129a	0.0	0.0	0.0	1.37	1.32	2.24
Fbxl18	0.29	0.0	0.0	16.34	16.76	19.49
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Galnt1	11.79	21.28	0.0	36.82	37.35	38.36
Galnt11	2.46	2.93	0.0	38.12	38.14	35.07
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm5460	0.1	0.28	0.0	0.67	0.73	0.76
Gpr156	0.0	0.0	0.0	1.15	1.35	0.82
Hgf	0.0	0.0	0.0	4.76	3.17	4.81
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3b	0.0	0.0	0.0	2.28	1.11	0.41
Hist2h3b	0.0	0.0	0.0	5.97	3.1	5.01
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Igfbp4	47.67	8.27	0.0	73.25	85.29	82.9
Il17rc	0.0	0.0	0.0	3.88	3.69	3.73
Il6st	0.0	0.1	0.0	38.92	37.89	39.19
Jam2	0.0	0.0	0.0	23.34	20.85	25.18
Kcnc3	0.0	10.3	0.0	58.25	63.26	64.17
Kdelr1	0.0	0.0	0.0	73.54	76.58	72.99
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipg	0.0	0.0	0.0	3.53	3.25	3.08
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nanos3	0.0	0.0	0.0	1.12	0.53	1.16
Nid1	0.0	0.0	0.0	4.27	4.47	4.13
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Paqr7	25.17	0.0	0.0	65.64	64.06	66.52
Pcnxl3	1.46	0.22	0.0	27.31	28.15	29.54
Pelp1	6.88	7.36	0.0	24.86	25.3	25.3
Phkg1	2.18	13.24	0.0	16.95	18.38	19.54
Piwil1	0.0	0.0	0.0	0.15	0.07	0.08
Plxna1	0.01	12.67	0.0	35.88	37.83	38.57
Pou2f2	0.0	1.12	0.0	4.68	3.6	5.8
Rabep1	0.05	27.37	0.0	68.13	63.46	67.27
