	Chrna2_tdTpositive_cell_4	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Cux2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_172	Rorb_tdTpositive_cell_50	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_11	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700029P11Rik	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
1700061G19Rik	0.0	22.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.45	0.56	0.15	0.54
2310014L17Rik	1.18	1.91	1.07	0.0	0.5	0.46	0.83	0.0	0.0	0.67	0.85	0.71	0.21	1.77	0.59	2.24	0.23	1.36	0.0	1.72	2.31	0.69	2.88	0.0	1.29	0.3	2.09	0.61	0.0	0.14	0.28	0.76	1.15	4.8	4.32	5.71
2900005J15Rik	0.0	39.04	35.36	2.17	0.0	0.0	0.24	0.18	0.16	0.0	106.52	0.0	0.0	2.62	0.09	0.2	0.82	36.42	0.0	19.03	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	117.32	0.0	0.0	0.11	0.0	3.12	2.71	3.78
4930524C18Rik	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5730590G19Rik	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.13	0.04
5830417I10Rik	4.23	25.94	19.47	6.83	2.62	3.87	4.14	12.14	2.47	4.72	7.74	11.23	15.67	10.35	12.03	13.63	9.64	4.44	3.79	15.4	52.62	12.48	7.58	4.56	10.12	7.69	7.48	14.25	20.17	3.81	28.43	13.87	3.94	12.56	11.18	14.08
6030429G01Rik	0.0	9.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.49	1.45
9430037G07Rik	0.2	9.58	0.34	0.14	0.1	0.0	0.09	1.0	0.0	0.0	0.09	0.17	0.25	0.11	0.06	0.0	0.61	0.0	0.0	0.61	0.1	0.24	0.56	0.17	0.0	5.2	1.55	0.0	0.0	0.25	0.4	0.2	0.16	2.44	2.23	2.99
A730090H04Rik	0.0	109.12	0.0	0.0	0.07	0.0	0.0	0.62	0.2	0.0	0.0	0.0	237.99	0.39	0.0	0.09	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.2	93.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.58	0.66
AI314831	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actr5	6.48	15.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.98	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.61	7.48	7.0
Adamtsl2	0.0	0.0	0.0	0.0	16.01	0.0	0.0	0.0	0.0	70.44	0.0	0.0	2.27	0.0	0.0	0.0	0.0	25.13	0.0	0.1	0.1	0.0	0.0	0.0	3.87	29.3	84.05	117.84	0.0	0.0	0.0	16.09	8.97	4.25	4.61	4.58
Amotl1	4.45	10.32	1.58	0.0	0.15	0.02	0.11	0.0	0.0	0.13	0.0	0.0	0.01	0.02	0.02	0.21	0.08	0.03	0.03	0.24	0.08	0.1	3.89	0.7	0.04	0.0	0.0	0.12	3.23	0.0	0.1	0.0	0.05	9.3	9.24	10.01
Anks1b	49.16	69.55	25.97	45.82	41.2	27.94	22.78	0.0	63.06	72.95	50.17	53.26	33.85	1.47	81.26	0.48	17.17	93.18	13.15	1.06	18.22	26.14	100.55	75.24	49.56	39.61	43.25	57.56	13.69	75.22	23.09	40.95	74.5	136.15	132.0	139.16
Asb5	0.0	8.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.71	0.85
Atp8b4	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.02	0.07
BB031773	0.0	36.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.5	0.99
C8a	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.34	0.59
Cbx6	7.21	3.51	10.32	0.0	3.33	11.51	12.63	0.0	0.0	0.08	2.0	0.0	14.05	0.12	0.87	22.56	0.0	0.94	0.49	3.6	17.03	0.14	6.26	0.0	0.0	0.0	0.0	0.0	1.93	0.32	2.93	0.0	0.32	221.26	219.29	227.16
Ccdc39	5.7	96.99	14.21	0.0	45.95	0.82	8.96	0.0	5.73	0.0	0.0	0.0	9.86	27.61	14.49	7.22	0.0	1.07	20.1	1.07	0.0	112.08	0.16	0.0	11.75	49.25	0.0	0.0	0.0	5.64	0.0	106.93	0.0	12.31	9.55	11.14
Cela1	0.0	74.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.73	4.29	3.48
Chrm5	0.0	29.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	1.23	1.11
Cml3	0.0	1.12	0.83	0.0	0.0	0.1	0.0	0.23	0.0	0.53	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.45	1.01	0.38	0.26	0.0	0.0	0.21	0.0	0.77	0.0	0.0	0.0	0.0	7.76	7.41	8.97
Col6a5	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.39	0.49
D630029K05Rik	0.0	30.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.13	0.24
D930015E06Rik	6.2	12.97	0.0	0.0	0.0	0.0	14.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.95	10.61	10.15
Ddx6	7.9	16.22	25.15	0.0	38.01	2.36	4.97	0.0	0.27	0.0	40.83	3.17	8.85	15.93	0.46	6.45	9.91	6.23	6.17	39.69	45.18	0.0	31.26	0.76	3.93	2.62	0.09	4.39	22.91	0.0	9.75	0.04	4.72	84.34	83.49	81.63
Dirc2	7.22	15.5	30.48	1.53	1.92	0.78	0.74	0.24	0.0	0.94	0.01	0.63	0.51	1.32	6.72	1.08	1.34	1.74	0.07	1.55	2.47	0.76	20.35	1.5	0.89	0.54	0.14	0.49	1.18	1.14	2.88	0.0	34.61	38.97	41.16	39.36
Dll1	0.0	13.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.04	5.08	4.75
Dlx4	0.0	44.52	0.0	0.0	0.0	0.0	0.0	0.0	175.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.31	0.3
Dpy19l4	0.43	0.0	0.0	1.61	0.0	0.36	0.33	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	0.0	0.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	16.65	14.41	17.73
Dut	5.12	33.43	0.49	0.0	17.14	0.0	0.0	0.0	0.14	0.18	0.0	0.17	0.16	0.0	0.15	0.79	0.63	0.21	0.0	0.41	3.69	1.67	8.56	0.18	0.14	0.0	0.0	0.21	13.63	0.2	19.31	0.0	0.11	20.95	24.59	18.79
Elfn1	0.0	0.52	0.15	0.0	0.1	0.06	0.0	0.0	0.0	0.21	0.13	0.0	0.0	0.08	0.05	0.0	0.09	0.13	0.0	0.0	0.18	0.0	0.0	0.71	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.07	16.27	16.52	19.02
Epas1	0.96	1.1	0.91	0.21	0.83	0.04	0.33	0.14	0.16	0.43	0.05	0.41	0.49	0.45	0.4	1.05	0.35	0.11	0.2	0.53	0.76	0.07	0.61	0.82	0.41	0.16	0.07	0.0	0.26	0.09	0.17	0.09	0.16	56.18	55.43	68.04
Fam161a	0.0	42.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02	2.9	3.23
Fbxl14	11.34	17.27	0.14	1.96	0.42	0.1	0.83	0.12	0.0	6.92	0.0	0.12	0.0	0.07	10.99	1.46	0.0	0.0	0.0	0.38	0.25	0.0	0.84	1.52	0.29	9.09	0.01	0.0	1.86	0.1	0.17	0.85	0.68	15.44	17.6	15.44
Fbxo45	19.96	155.17	21.75	0.0	54.43	7.02	0.0	11.62	0.0	80.98	2.96	0.09	25.9	0.0	0.13	0.0	0.0	49.44	48.58	2.97	0.0	23.78	95.91	40.16	3.96	0.0	46.14	0.0	0.0	0.0	0.0	0.0	42.98	44.55	43.82	43.94
Fgl2	0.0	26.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	1.82	1.83
Fzd6	0.16	0.17	0.14	0.1	0.0	0.0	0.13	0.07	0.08	0.19	0.07	0.41	0.09	0.16	0.04	0.04	0.2	0.0	0.07	0.0	0.13	0.15	0.0	0.53	0.22	0.0	0.0	0.0	0.0	0.05	0.07	0.0	0.24	8.48	8.13	8.54
Gabra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gls	6.85	53.44	67.48	97.69	59.07	11.65	52.03	0.22	4.79	35.32	39.2	86.52	13.19	80.51	2.48	0.84	1.03	87.67	79.25	188.62	57.59	37.37	63.61	379.82	116.17	29.59	93.3	58.53	136.34	78.55	8.72	27.41	44.05	225.87	209.02	220.21
Gm14431	1.11	7.16	3.04	28.53	0.99	13.21	1.64	0.0	0.0	1.31	1.02	0.0	2.71	0.0	0.26	35.56	46.38	0.96	0.2	0.16	0.43	0.0	1.11	0.7	2.13	0.0	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Gm2083	0.0	396.45	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
Gm766	0.0	7.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.06	0.35
