	PvalbF.Gad2_tdTpositive_cell_77	Sst_tdTpositive_cell_106	Vip_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700018A04Rik	0.0	0.0	0.0	0.14	0.14	0.3
2310005G13Rik	0.0	0.0	0.0	0.06	0.06	0.19
2310065F04Rik	0.0	0.0	0.0	0.07	0.14	0.07
2410004A20Rik	0.0	0.0	0.0	0.53	1.06	0.61
2410004B18Rik	0.0	0.0	0.0	35.58	42.35	36.96
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930526D03Rik	0.0	0.0	0.0	0.14	0.14	0.15
4930550C14Rik	0.0	0.0	0.0	0.08	0.08	0.59
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
9530053A07Rik	0.0	0.0	0.0	0.04	0.04	0.05
Ache	0.0	0.0	0.0	55.65	63.55	63.72
Adipoq	0.0	0.0	0.0	0.08	0.08	0.25
Adrb1	3.49	0.0	0.0	30.68	33.63	27.06
Adrbk1	0.24	0.11	0.0	172.23	171.6	166.77
Alkbh3	0.0	0.0	0.0	10.68	15.25	13.13
Alox15	0.0	0.0	0.0	0.04	0.04	0.13
Asmt	0.0	0.0	0.0	0.08	0.08	0.09
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Brsk2	16.19	0.69	0.0	148.06	151.67	152.3
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Capn7	2.63	0.0	0.0	32.12	28.52	29.43
Car9	0.0	0.0	0.0	0.46	1.05	0.87
Ccdc154	0.0	0.0	0.0	0.04	0.08	0.04
Ccnd1	8.49	0.73	0.0	34.68	32.87	32.4
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cdh16	0.13	0.0	0.0	0.75	0.21	0.82
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chrne	0.0	0.0	0.0	0.06	0.06	0.19
Col4a3	0.0	0.0	0.0	0.16	0.16	0.29
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dsg1c	0.0	0.0	0.0	0.32	0.32	0.43
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dst	24.3	2.26	0.79	86.74	75.28	94.07
Duox2	0.0	0.0	0.0	0.02	0.02	0.03
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
F11	0.0	0.0	0.0	0.04	0.04	0.05
Fam115e	0.0	0.0	0.0	0.03	0.03	0.07
Fam13b	22.49	0.0	0.0	55.64	52.75	57.12
Fam161a	0.0	0.0	0.0	3.02	2.9	3.23
Fam168a	98.73	0.84	3.99	138.38	130.56	137.97
Fam178b	0.0	0.0	0.0	0.22	0.44	0.69
Ffar3	0.0	0.0	0.0	0.06	0.06	0.25
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gata6	0.0	0.0	0.0	0.06	0.06	0.13
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gjb3	0.0	0.0	0.0	0.06	0.06	0.05
Gm15070	0.0	0.0	0.0	0.03	0.03	0.09
Gm4814	0.0	0.0	0.0	0.28	0.28	0.9
Gm7271	0.0	0.0	0.0	0.12	0.12	0.13
Gpr101	0.0	0.0	0.0	4.26	4.26	3.76
Greb1	0.0	0.0	0.0	0.57	0.51	0.67
Grhl1	0.0	0.0	0.0	12.77	12.77	12.33
