	Chrna2_tdTpositive_cell_63	Cux2_tdTpositive_cell_60	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_75	Rbp4_tdTpositive_cell_143	Scnn1a.Tg2_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_39	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_18
1700109H08Rik	0.0	0.62	0.0	21.5	0.0	0.0	2.47	7.27	0.0	0.0
2210411K11Rik	0.0	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.0	0.0
4930422G04Rik	0.06	0.0	0.0	25.63	0.0	0.0	0.0	45.26	0.0	0.0
4930588N13Rik	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0
AI646023	31.19	10.66	33.72	50.96	24.94	36.72	11.63	71.25	9.47	14.7
Arl6ip4	7.39	58.58	3.76	97.79	45.63	0.0	46.08	118.43	0.0	0.0
B230209E15Rik	48.8	97.13	15.44	193.66	113.01	49.02	106.78	59.88	27.06	23.8
Bsdc1	0.0	85.15	30.09	101.93	0.0	0.0	0.0	84.71	0.0	0.0
C430048L16Rik	0.57	22.12	15.58	57.02	4.9	15.25	0.0	0.0	59.05	14.14
Capza1	0.0	73.59	2.89	203.56	134.65	82.1	133.54	289.7	264.3	148.41
Ccdc94	0.0	0.0	0.0	21.12	29.14	0.0	0.0	22.27	0.0	0.0
Cd200r2	1.49	4.04	13.1	168.7	11.17	9.68	16.07	18.53	5.64	11.6
Cib1	0.0	0.0	0.0	5.81	0.0	0.0	0.0	0.0	0.0	0.0
Clk2	17.72	0.55	0.0	49.17	6.35	0.35	18.38	35.82	0.36	0.0
Commd7	12.26	7.31	20.31	64.84	19.46	15.38	21.46	104.4	46.45	21.95
Cpsf2	2.08	0.0	10.54	60.4	16.73	0.0	7.93	21.55	83.35	10.01
D530049I02Rik	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0
E030019B06Rik	0.0	0.0	0.0	24.92	0.0	0.0	0.0	17.83	0.0	0.0
Ece1	59.78	118.2	178.88	183.18	48.16	176.0	140.67	239.16	62.79	153.69
Eid1	14.71	21.41	0.17	92.64	22.63	0.0	0.0	31.69	51.14	21.0
Ephx4	197.63	385.11	1182.56	831.92	442.69	65.54	378.24	476.53	422.97	566.17
Fsd1l	0.28	11.71	0.08	103.95	67.02	19.84	0.4	47.2	13.36	8.84
