	Calb2_tdTpositive_cell_48	Htr3a_tdTpositive_cell_81	Nos1_tdTpositive_cell_66	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2010317E24Rik	0.0	0.0	0.0	1.1	1.19	1.11
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930419G24Rik	0.0	0.0	0.0	0.19	0.18	0.2
4930465K10Rik	0.0	0.0	0.0	0.16	0.15	0.08
4931431C16Rik	0.0	0.0	0.0	0.78	0.49	0.46
9130019P16Rik	0.0	0.0	0.0	1.6	1.7	1.87
9530051G07Rik	0.0	0.0	0.0	0.47	0.29	0.46
A930041C12Rik	0.0	0.0	0.0	0.19	0.18	0.2
Ankrd61	0.0	0.0	0.0	1.47	1.32	2.55
Ap1s2	0.0	0.0	0.0	10.64	8.83	9.72
Aplnr	0.0	0.0	0.0	0.36	0.24	0.51
Atg16l2	0.0	0.0	0.0	15.41	14.57	14.59
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B3gntl1	0.0	0.0	0.0	5.52	4.77	6.45
Blk	0.0	0.0	0.0	0.04	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacna1h	0.0	0.0	0.0	26.06	28.88	30.37
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Creb3l1	0.0	0.0	0.0	2.18	2.5	2.73
D6Mm5e	0.0	0.0	0.08	0.1	0.09	0.1
Dhcr24	3.86	5.09	0.0	79.84	84.55	78.98
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Ell3	0.0	0.0	0.0	1.42	2.07	2.39
Foxr2	0.0	0.0	0.0	0.77	0.64	0.6
Gabbr1	0.0	172.91	10.09	381.73	382.23	380.88
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gimap9	0.0	0.0	0.0	0.44	0.84	0.53
Gm505	0.0	0.0	0.0	13.11	13.5	13.68
Gm5151	0.0	0.0	0.0	31.75	40.55	36.71
Gm527	0.0	0.0	0.11	7.99	6.75	8.1
Gm7854	0.0	0.0	0.0	0.64	0.54	0.96
Gm9961	0.0	0.0	0.0	0.19	0.18	0.2
Gpc4	0.0	0.0	0.0	13.61	13.83	13.61
Gpr137b	0.0	0.0	0.0	11.6	11.93	17.24
Hdac5	55.16	0.0	8.95	101.76	107.17	98.05
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hrk	0.0	0.0	0.03	27.79	26.86	26.7
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Irf1	0.3	0.0	0.0	6.84	8.4	7.35
Islr2	0.0	0.0	0.0	42.31	52.28	43.91
Itpr2	0.0	0.0	0.0	6.05	5.63	7.73
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Krt24	0.0	0.0	0.0	0.0	0.11	0.06
Lrrc1	0.0	0.0	0.0	8.64	8.24	8.7
Maml1	0.0	0.0	0.03	6.35	6.72	5.79
Marveld1	0.0	0.0	0.0	7.46	7.72	6.35
Mical1	0.35	0.0	0.0	6.65	7.71	8.3
Mpst	0.0	0.0	0.0	32.51	38.56	38.84
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Mtr	0.0	0.0	0.0	8.43	6.69	8.7
Mtus2	0.0	0.0	0.0	21.18	21.25	20.89
Nfrkb	0.0	0.0	0.0	17.74	18.32	19.21
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Obsl1	0.0	0.0	0.0	10.98	11.24	11.27
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Pcdhb6	0.0	0.0	0.0	2.76	2.74	1.94
Pdzd7	0.0	0.0	0.0	4.5	4.68	4.87
Pfn3	0.0	0.0	0.0	0.19	0.18	0.2
Piwil2	0.0	0.0	0.0	0.38	0.56	0.81
Plcb2	0.0	0.0	0.0	1.79	1.79	1.67
Pld1	0.0	0.0	0.03	4.61	4.54	4.78
Plekhh1	0.0	0.0	0.0	17.46	17.52	20.61
Ppdpf	0.0	0.0	0.0	81.05	96.17	88.75
Ppp1r32	0.0	0.0	0.0	1.3	1.68	1.41
Prima1	0.0	0.0	0.0	8.86	7.71	11.11
Rcbtb2	1.6	0.0	0.0	15.3	14.8	15.39
Setd7	0.0	0.07	0.02	83.54	75.5	83.81
Sfrp1	0.0	0.0	0.04	5.61	5.56	5.12
Sh2b3	0.0	0.0	0.0	17.87	19.01	18.95
Shroom4	0.0	0.0	0.0	2.7	1.71	2.7
Slc10a5	0.0	0.0	0.0	0.08	0.07	0.08
Slc26a11	0.0	0.0	0.0	4.77	5.28	4.35
Slco5a1	0.0	0.11	0.0	1.95	1.68	1.73
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Spats2l	0.0	0.0	0.92	15.46	15.95	14.34
Syt2	0.0	0.0	0.0	22.11	23.84	25.48
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d8	0.0	0.0	0.0	20.16	19.89	20.27
Tcn2	0.0	0.0	0.16	17.46	16.1	18.58
Tgfa	0.0	0.0	2.29	24.02	24.04	24.52
Tmem220	0.0	0.0	0.14	0.79	1.07	2.16
Tnni3	0.0	0.0	0.0	0.49	0.82	0.64
Tnnt1	0.0	0.0	0.0	4.99	5.52	4.48
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ttn	0.0	0.0	0.0	0.14	0.05	0.08
Ttpa	0.0	0.0	0.0	3.87	3.8	4.56
Tuba3a	0.0	0.0	0.0	0.2	0.22	0.2
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vmn2r85	0.0	0.0	0.0	1.22	0.35	0.72
Vmn2r86	0.0	0.0	0.0	0.13	0.13	0.14
Wdr60	0.0	0.0	0.0	14.9	13.6	16.36
Wnt16	0.0	0.0	0.0	1.02	0.84	0.74
