	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_33	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_58	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_85	Scnn1a.Tg3_tdTpositive_cell_97	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_37	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700021K19Rik	0.0	11.33	0.02	3.09	0.0	0.0	0.08	0.0	10.24	22.5	8.0	0.0	0.21	0.08	1.28	0.08	0.67	0.03	0.0	0.0	0.0	0.0	0.25	57.15	0.0	0.0	30.12	0.0	42.31	0.65	7.48	0.0	0.0	0.05	0.0	0.0	26.94	0.18	27.34	0.98	0.0	3.53	6.85	5.51	5.15	0.0	46.8	44.81	44.11
1700047G03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.12
1810026B05Rik	0.0	0.0	24.81	17.82	21.29	22.22	44.27	1.7	0.0	0.33	16.86	49.66	10.93	6.81	0.0	37.08	41.56	7.46	0.0	0.55	0.0	0.69	22.15	10.37	0.0	11.57	0.17	9.42	52.53	12.88	0.55	27.88	0.5	12.66	0.0	0.0	16.82	30.46	11.25	5.27	4.24	11.51	11.17	9.96	11.13	0.2	5.69	5.74	4.74
1810062G17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.21	0.11
2010107G23Rik	0.0	25.19	0.07	0.0	0.0	38.42	0.0	0.12	0.0	0.0	0.0	0.0	3.81	15.96	0.0	15.47	120.15	0.0	0.22	0.0	0.68	18.22	85.97	0.0	0.96	21.51	0.33	71.62	82.21	60.46	48.3	52.46	0.0	0.11	0.13	0.0	0.0	0.0	0.0	62.59	0.43	9.55	7.16	11.28	5.31	0.0	26.49	31.34	26.69
2210016F16Rik	0.0	0.1	0.72	0.0	0.2	0.0	0.0	0.0	12.19	1.04	0.0	10.4	0.0	0.0	0.0	0.0	1.52	0.0	0.1	0.12	5.55	0.0	0.31	0.22	0.0	3.83	0.0	0.0	52.5	5.93	0.97	32.73	0.1	0.0	0.0	0.0	0.0	13.66	1.04	0.15	0.13	1.01	0.63	0.49	1.6	0.0	7.76	8.47	8.83
2310035K24Rik	3.27	107.83	168.74	0.0	169.07	0.0	0.0	0.0	159.36	0.0	0.0	0.28	0.0	124.84	0.0	51.12	122.93	1.05	185.86	3.75	0.28	0.0	0.0	0.0	0.0	48.51	174.24	0.0	121.39	109.55	0.16	33.6	70.67	74.66	0.0	0.0	0.0	0.0	0.0	119.93	77.91	40.61	50.6	64.46	43.53	79.2	18.26	21.76	19.66
2700081L22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57	0.59	3.59	0.0	1.16	0.78	0.68
4930478L05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4930525D18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.65	0.31	0.56
