	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Nos1_tdTpositive_cell_54	Rbp4_tdTpositive_cell_190	Scnn1a.Tg3_tdTnegative_cell_13
0610011L14Rik	283.78	0.0	5.69	33.7	0.0
2310001H17Rik	466.19	0.0	0.0	0.0	0.0
2810046L04Rik	12.77	0.0	0.0	0.07	0.0
Acnat1	13.38	5.4	7.84	13.37	2.37
BC026590	133.96	0.12	0.12	17.28	0.0
Bend5	95.18	0.0	0.0	0.05	0.0
Cdkn2c	277.89	0.0	0.0	0.0	0.0
Cpa4	0.21	0.0	0.0	0.04	0.0
Fam172a	30.73	0.0	0.0	1.51	0.0
Limd2	0.21	0.0	0.0	0.07	0.0
Ly6c1	25912.2	30945.52	19833.84	0.0	0.0
Mta2	5.79	0.0	0.13	59.91	0.0
Osbpl9	451.47	0.0	33.47	11.84	0.0
Pgr	0.09	0.0	0.0	0.03	0.0
Psmb2	2146.58	1668.93	662.34	825.51	410.88
Rnf139	94.98	2.7	4.05	66.74	0.31
Rrp1	755.15	187.64	267.37	194.91	0.0
Sin3b	268.41	0.15	166.99	186.79	0.0
Slc29a1	383.18	0.0	290.71	18.06	0.0
Tmf1	340.87	48.63	107.78	124.91	15.69
Ythdc2	20.01	0.67	0.44	0.99	0.11
