	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_20	Htr3a_tdTpositive_cell_83	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1810037I17Rik	168.5	36.86	131.09	94.6	95.16	153.41	52.57	0.0	112.04	141.77	334.19	0.35	177.27	208.57	102.83	141.14	193.55	162.09	106.22	128.61	70.21	35.28	114.46	91.93	105.16	54.21	115.4	124.17	26.62	154.87	119.08	86.29	149.01	140.31	128.51	131.05	62.69	388.83	116.44	185.17	138.66	150.41	173.64	196.47	166.15	32.42	45.06	190.0	106.44	148.89	331.73	328.07	247.58	344.12	231.06	283.76	427.66	304.16	273.28	248.63	252.78	258.27	75.77	72.94	72.87
8430431K14Rik	0.0	0.11	0.05	0.24	0.0	0.0	0.0	0.26	0.05	0.09	0.08	0.0	0.13	0.0	0.06	0.0	0.0	0.0	0.22	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.27	0.18	0.0	0.0	0.11	0.0	0.0	0.0	8.28	0.08	0.0	0.09	0.37	0.0	0.17	0.54	0.0	0.0	0.0	0.0	0.05	0.15	0.26	0.01	0.0	6.46	7.53	9.59	7.18	0.0	0.1	0.0	1.5	0.49	0.29	0.21
Adamts1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	10.6	0.0	0.0	0.0	0.0	13.15	8.53	2.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65	0.0	0.0	0.0	0.14	6.81	6.92	7.5
Ankrd35	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.91	0.0	12.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	1.14	0.66	0.63	1.57	0.81	0.98	0.95	1.33	1.6	0.88	1.69	1.7	8.17	7.87	8.85
Atp7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15	1.12	1.18
Basp1	34.86	41.4	38.68	13.42	34.9	8.71	13.74	36.95	43.26	33.43	24.71	31.88	63.19	40.75	23.14	12.6	64.15	35.64	12.06	47.08	38.16	12.06	32.76	39.72	18.42	28.61	9.73	65.81	21.67	30.74	38.29	24.69	31.53	25.77	63.45	80.38	16.82	94.78	22.88	26.37	39.72	20.08	35.74	5.77	35.34	45.49	57.91	24.89	49.85	46.88	93.61	72.7	91.46	96.64	95.05	88.38	67.34	71.48	122.24	91.91	88.09	90.8	481.54	530.49	509.16
Bicc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.07	3.98	3.94
Camk1d	27.99	8.78	17.56	16.73	0.0	9.11	0.0	0.0	6.98	30.74	7.4	1.59	33.43	1.31	6.19	9.12	24.52	4.94	2.42	20.39	25.38	17.22	6.13	19.38	0.77	23.37	0.0	36.68	0.0	0.0	4.05	21.26	13.29	12.82	0.48	16.66	0.32	49.15	0.0	25.16	13.6	52.93	9.71	1.41	14.33	0.39	0.0	28.36	4.92	11.44	22.9	12.43	15.44	9.23	34.04	8.6	19.51	19.49	32.26	19.12	13.9	15.76	73.79	63.25	73.79
Ccl27b	0.0	0.41	0.14	0.0	22.17	0.83	0.0	21.49	1.46	0.03	0.0	1.74	0.0	0.0	0.0	7.16	0.58	0.0	0.0	5.37	0.0	0.0	2.47	0.77	0.0	0.0	3.46	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	4.89	46.94	0.08	0.0	1.61	0.0	0.0	0.0	38.65	4.36	7.83	3.13	4.62	1.88	114.56	132.22	177.66	125.27	74.98	103.08	54.7	62.2	75.81	61.27	76.52	71.98	30.63	28.29	22.96
Chd1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.87	0.0	0.0	0.0	0.0	7.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.88	0.96	0.23	4.41	13.41	3.02	0.08	2.05	3.19	1.49	0.7	9.5	7.8	9.73
