	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_106
1700030L20Rik	0.45	1.49	3.98	6.02	0.0	1.31	1.28	2.42	1.7	4.48	1.97	0.85	2.44	0.45	3.05	5.3	8.91	3.84	1.56	0.0	0.0
1810029B16Rik	0.0	0.0	0.45	35.3	0.0	0.0	82.25	38.01	0.56	12.03	114.21	0.86	18.52	2.93	0.24	64.18	141.22	0.0	1.85	0.0	0.0
App	205.94	0.0	200.91	187.71	299.04	356.72	431.14	247.95	214.52	316.87	247.3	237.94	372.32	210.74	357.33	328.96	424.6	175.0	273.8	0.0	279.99
Atg2b	4.22	0.0	16.84	42.99	25.39	10.64	39.17	18.44	33.94	37.98	29.19	21.62	51.98	31.82	55.49	35.01	61.94	16.97	30.13	0.0	0.13
Axin2	0.06	0.0	0.0	0.0	4.54	0.0	1.22	0.58	0.07	6.57	0.75	0.0	20.82	0.0	3.38	0.0	10.07	0.0	0.0	0.0	0.0
Bak1	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	6.95	0.0	0.0	0.0	2.03	0.95	0.0	0.0	0.0
Calm3	164.21	0.0	183.46	190.28	184.09	237.75	187.49	206.64	238.2	177.19	78.56	174.57	230.06	291.29	336.99	330.94	246.73	156.69	278.66	14.59	93.27
Cd99l2	87.63	0.0	3.55	12.68	49.41	0.0	1.73	13.97	15.61	17.04	46.65	53.61	37.77	0.12	38.28	93.15	169.65	14.66	16.46	0.0	7.41
Chpt1	0.0	0.33	46.58	5.68	47.35	0.0	26.82	12.4	0.05	1.42	0.0	9.73	50.74	15.04	0.54	51.74	16.52	0.0	34.89	0.0	0.24
Clcn3	31.84	0.0	122.72	151.76	129.64	96.2	230.27	110.03	131.51	125.04	92.04	121.51	196.94	137.24	128.56	246.43	181.27	171.91	42.82	0.0	21.82
Cntn4	0.0	0.0	36.4	46.1	47.64	160.43	111.9	95.73	27.83	71.2	161.53	177.79	197.21	96.51	16.54	214.94	234.46	7.5	238.92	0.0	0.07
Coro7	0.0	0.0	0.0	41.03	0.93	1.38	44.4	17.44	20.77	0.0	0.0	9.8	52.15	0.0	1.93	57.05	67.09	12.91	0.0	0.0	0.0
Cttn	4.16	0.0	43.75	112.03	62.65	103.31	73.35	50.75	53.77	21.34	17.63	64.0	97.89	0.14	59.79	194.29	87.08	49.56	99.99	0.0	1.23
Dfna5	4.27	0.0	54.56	28.7	97.69	1.23	13.17	13.1	48.52	87.47	137.11	1.49	96.36	25.95	55.65	99.54	0.0	0.0	114.82	0.0	0.16
Elavl2	0.07	0.0	78.41	122.41	72.6	72.29	126.85	139.49	74.99	136.31	55.08	124.76	198.59	90.96	68.8	198.15	198.63	92.79	148.59	0.0	32.91
Entpd4	0.0	0.0	23.34	0.26	57.33	61.83	73.97	66.68	2.53	19.42	24.77	67.52	84.52	53.45	32.18	116.35	76.16	0.61	54.61	0.0	2.93
G6pc3	20.65	0.0	143.61	66.67	121.07	63.88	73.65	146.4	7.71	35.53	127.93	57.47	41.22	2.32	16.47	129.38	71.19	98.88	153.45	0.0	0.23
Galc	0.0	0.0	0.26	5.51	8.89	0.1	0.41	0.22	0.0	0.0	0.14	0.0	0.0	0.12	2.28	25.72	32.05	0.0	0.05	0.0	0.0
Ipo9	26.3	0.82	16.58	57.2	55.15	74.78	68.27	48.6	40.14	12.43	27.78	46.1	93.69	40.44	34.87	64.8	105.19	20.55	75.38	0.0	1.05
Kcnj1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.14	0.0	0.27	0.36	0.12	0.0	0.0	0.0
Klhl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.42	0.06	0.0	0.0	0.0	78.95	0.89	4.33	0.0	99.33	0.0	0.0	0.0	0.0
Ldhb	8970.97	5274.92	10894.4	9220.91	10165.1	11261.44	10004.69	13571.31	6655.09	12546.17	11010.48	10182.84	7057.76	7891.81	9082.37	7199.93	7322.67	8351.44	11746.38	5577.5	3304.16
Micu1	0.11	0.0	3.59	80.97	11.76	0.0	87.03	35.58	1.51	65.85	56.15	140.08	84.67	0.0	19.76	122.17	177.57	10.01	24.39	0.0	0.31
Myh10	26.69	0.0	9.57	31.89	34.42	27.72	7.31	24.09	18.19	18.48	33.08	37.37	79.91	31.84	26.02	53.41	43.38	1.86	10.43	0.0	3.18
Oxct1	103.4	23.27	110.66	107.5	256.73	42.99	176.68	118.26	65.48	37.72	53.35	99.93	291.53	59.13	107.57	120.87	264.76	165.79	80.74	4.35	21.79
Pdk2	0.0	0.0	0.0	0.0	0.58	3.64	91.82	0.0	0.0	36.99	55.3	23.66	102.56	68.38	11.42	4.06	206.1	0.0	0.0	0.0	0.0
Polr2m	0.0	0.0	98.37	16.44	17.13	74.9	62.95	34.6	18.31	4.54	15.23	54.93	65.79	3.06	65.51	117.76	199.88	5.41	35.11	0.0	0.0
Ppp2r5d	0.77	0.0	39.35	3.09	27.85	86.9	4.29	27.81	0.25	3.34	1.72	0.16	111.43	61.13	5.11	44.69	91.84	25.26	1.17	0.0	0.78
Pwp2	0.0	0.0	0.0	21.7	8.0	0.77	0.0	0.0	0.0	0.0	0.0	16.24	27.63	0.0	25.29	27.96	60.64	10.16	0.0	0.0	0.0
Ranbp3l	1.6	0.0	1.0	3.34	4.83	3.48	4.54	3.44	1.71	3.02	5.73	2.25	4.77	3.55	1.55	7.2	9.82	2.43	2.79	14.49	0.1
Rock2	0.0	0.0	60.99	131.04	91.18	27.34	60.01	91.56	60.56	30.2	70.65	48.26	83.46	56.46	29.94	84.63	132.15	68.38	9.99	0.0	1.46
Rusc1	0.0	0.0	33.84	0.0	93.0	58.72	3.88	54.76	20.68	44.46	19.66	28.17	12.45	126.07	68.43	60.07	95.21	15.55	41.24	0.0	0.0
Setd3	0.0	0.0	30.17	0.58	50.04	44.68	70.96	13.36	48.09	3.15	4.55	56.74	76.46	2.42	5.78	104.29	121.39	24.35	75.37	0.0	0.51
Slc12a6	0.0	0.39	53.82	50.87	59.85	40.37	82.4	27.36	25.41	52.81	57.66	45.58	55.17	27.53	55.41	71.8	100.61	42.75	105.85	17.09	3.97
Slc39a1	0.6	0.64	20.87	30.45	48.09	4.95	54.1	0.48	19.11	7.51	24.01	14.59	78.24	22.37	17.11	23.26	98.93	16.54	22.73	0.0	36.71
Smarca5	0.0	0.0	14.7	2.19	1.94	0.0	1.18	25.7	4.02	17.34	59.7	1.25	34.28	36.77	48.37	85.44	94.76	16.76	26.88	0.0	0.0
Syn2	130.6	0.0	54.82	21.59	30.46	72.28	7.36	102.87	18.05	40.65	139.54	206.31	221.11	1.71	100.0	130.64	114.12	54.44	17.26	0.0	111.91
Tada2b	0.0	0.0	0.0	3.79	7.52	0.0	0.0	11.06	0.0	24.03	13.33	0.0	41.33	0.0	0.0	14.02	34.0	0.0	0.05	0.0	0.0
Tmod2	21.71	0.15	60.14	43.43	17.4	34.59	23.28	31.17	9.66	44.76	26.56	57.02	90.87	59.04	44.24	29.58	94.37	31.25	6.62	0.15	65.42
Tomm7	198.24	0.0	243.18	180.34	195.2	130.83	163.5	159.61	206.85	187.75	142.02	137.14	281.77	208.49	203.04	328.46	297.9	142.49	119.98	237.04	38.26
Zer1	29.62	0.0	3.59	4.97	0.0	0.0	14.08	22.87	43.14	17.51	21.16	14.99	30.68	17.37	41.59	48.88	54.49	0.0	0.09	0.0	1.03
Zfp454	0.0	0.0	26.69	0.0	7.63	9.5	0.0	0.0	0.0	10.2	68.16	0.0	147.42	0.0	0.0	0.0	85.74	0.0	60.67	0.0	0.0
Zfyve27	0.71	0.25	14.38	53.37	25.98	22.86	39.94	11.74	23.67	34.93	46.02	24.22	54.54	20.25	25.1	40.59	88.12	16.45	9.82	1.49	0.19
