	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700013F07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.71	7.12	2.52	7.64	2.1	2.31	1.45
1700047I17Rik2	6.75	0.66	0.32	0.76	3.78	2.15	19.57	26.62	3.6	10.18	6.68	6.26	1.72	28.96	0.0	4.6	5.07	14.74	10.07	22.21	2.3	10.01	5.51	4.19	4.03	5.27	1.07	3.41	11.48	15.79	11.15	2.03	3.87	17.02	12.08	5.45	2.02	18.26	23.92	11.71	8.08	4.82	15.19	21.12	6.64	12.49	14.42	13.41	14.19	19.02	17.56	16.4	17.92
1700049G17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.27	0.0	0.1	1.55	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	11.76	0.0	0.0	0.0	0.0	0.0	0.0	9.23	0.53	0.0	0.0	4.13	0.0	0.0	0.04	0.0	0.34	0.0	0.0	0.09	0.0	0.0	6.67	9.74	1.6	4.42	5.69	4.98	4.91
2610008E11Rik	17.73	47.23	0.0	0.0	51.08	0.0	59.69	197.93	0.0	3.54	0.0	0.0	0.0	35.9	0.0	0.0	42.21	0.0	0.03	30.69	0.0	0.0	0.0	0.0	0.21	3.48	0.0	57.1	0.44	33.23	0.07	0.0	0.06	9.59	31.5	35.65	0.0	0.0	5.75	2.61	0.0	89.29	8.71	0.0	0.0	0.0	20.27	14.21	12.36	13.93	15.25	12.51	15.08
4732418C07Rik	27.83	0.16	14.67	24.45	6.5	0.04	30.19	132.14	0.0	17.43	96.78	0.0	0.13	47.02	0.0	19.86	0.0	0.47	26.58	21.16	1.08	30.19	2.79	25.63	3.58	39.3	0.1	74.86	52.73	39.94	21.93	66.08	0.06	23.22	20.76	52.62	39.42	66.1	8.34	0.0	12.57	110.86	32.97	108.85	38.83	87.41	23.29	30.77	18.28	25.81	29.57	28.24	29.63
4930563F08Rik	28.75	0.0	0.0	42.04	0.0	0.0	0.0	164.03	0.0	34.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.21	0.0	33.76	27.93	0.0	0.0	3.42	0.0	97.45	0.0	0.0	19.31	7.68	8.1	6.69	0.0	0.0	0.0
5730507C01Rik	8.94	1.5	11.42	0.0	0.22	0.0	1.78	89.93	0.29	11.78	11.44	0.51	0.0	4.8	0.0	18.57	8.27	4.09	2.54	1.35	7.15	7.01	1.62	4.93	0.35	5.73	0.0	0.4	5.74	0.89	0.44	2.05	5.26	4.5	4.05	0.9	0.0	2.21	0.43	10.02	1.28	4.76	0.94	46.06	5.67	5.05	25.86	11.5	9.61	10.28	9.77	7.41	10.68
A330070K13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.88	8.14	16.98	6.5	1.63	0.77	1.57
Akap1	28.38	0.0	0.0	0.0	0.0	0.0	18.77	92.67	22.38	0.13	0.0	0.0	0.0	0.0	0.0	0.0	16.98	0.0	0.03	0.0	0.0	0.0	12.93	0.0	26.17	31.64	0.0	20.76	0.0	0.0	0.0	2.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.23	0.0	0.0	0.0	4.46	0.0	5.13	4.3	2.85	6.4	33.56	35.31	33.31
Apbb3	0.0	0.0	0.0	0.0	0.64	0.0	0.0	207.01	0.0	25.32	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	39.08	0.0	0.0	0.0	19.93	0.0	0.0	28.21	0.94	66.21	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	32.18	0.0	0.0	61.89	132.33	0.0	67.15	33.96	0.0	12.16	25.65	15.46	16.62	45.43	49.05	43.66
