	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_11	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1
0610011F06Rik	0.0	159.29	0.0	0.0	0.0	621.99	45.06	163.6	116.14	164.5	0.55	46.31	0.9	140.53	0.0	0.0	22.59	0.0	136.75	0.0	54.3	0.0	27.66
1110038B12Rik	0.0	0.0	0.0	0.0	0.0	974.98	30.28	26.96	37.21	0.0	289.1	86.97	22.68	42.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.77
1810043H04Rik	0.0	0.0	0.0	0.0	0.0	1025.18	173.93	102.06	207.37	0.0	0.0	137.91	129.36	54.49	0.0	1009.41	237.29	0.0	3.18	0.0	0.0	0.0	28.33
2210009G21Rik	0.0	0.0	0.0	0.0	0.0	31.18	21.47	0.0	18.64	7.52	0.11	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.66	16.63	0.88	8.74
Akt2	0.0	0.0	0.0	0.0	0.0	141.17	88.66	2.25	49.9	0.0	3.19	0.0	7.62	0.0	0.22	0.0	5.12	0.0	0.0	0.0	0.0	0.36	92.36
Alcam	0.0	0.0	0.0	0.0	0.0	448.32	0.21	0.0	0.0	77.51	47.51	12.31	2.78	20.35	0.06	20.14	81.86	9.11	25.35	0.24	0.0	0.0	100.71
Aldh9a1	0.0	0.0	0.0	0.0	0.0	485.61	0.0	0.0	10.64	21.94	0.0	0.0	0.25	0.24	21.14	0.66	0.12	85.34	0.0	0.0	0.0	0.37	23.88
Arhgap42	0.0	0.0	0.0	0.1	0.0	238.96	0.0	0.0	0.0	0.0	20.85	0.0	0.0	0.0	0.0	6.02	0.83	0.0	0.0	0.0	0.73	0.0	9.03
Arl2	0.0	0.63	0.0	80.0	0.0	855.08	98.32	252.85	262.93	76.38	106.17	0.0	79.76	101.96	0.0	2.64	92.3	2.79	0.0	0.0	167.48	0.0	87.39
BC005537	0.0	0.0	0.0	79.23	0.0	493.63	27.44	12.6	9.8	12.21	0.17	0.0	20.24	24.82	0.13	254.88	324.28	0.0	0.0	0.0	60.88	0.41	152.76
Btbd1	0.0	0.0	0.0	0.0	0.0	350.53	12.69	4.07	0.0	0.26	0.0	0.0	0.23	0.0	0.0	0.0	0.12	28.28	0.0	0.0	0.0	0.0	115.62
Bzw2	0.0	0.0	0.0	0.0	0.0	626.29	37.89	82.79	137.29	59.49	86.13	0.0	2.26	80.35	0.0	0.0	0.0	0.0	0.0	0.0	137.44	0.0	41.77
Calu	0.26	0.0	7.86	0.0	0.0	1642.28	59.67	29.9	97.46	0.0	3.14	0.0	0.43	5.77	0.1	6.34	61.68	0.48	0.0	0.0	151.72	0.0	65.58
Cc2d2a	0.0	0.0	0.0	0.0	0.0	64.53	0.31	5.98	0.76	0.0	4.0	2.8	0.0	0.06	1.4	0.0	11.91	0.0	0.26	6.96	10.17	0.0	15.43
Ccnt2	0.0	0.0	0.0	0.0	0.0	295.04	27.45	31.19	28.77	65.23	8.39	44.8	29.79	0.0	0.0	0.21	45.13	0.0	12.52	79.82	46.38	138.73	40.48
Chst12	0.0	0.0	0.0	0.0	0.0	441.07	42.24	0.0	11.39	0.0	0.0	0.0	0.0	0.57	1167.37	0.83	0.39	0.44	115.4	0.0	0.0	0.0	20.98
Cnih4	16.5	0.88	0.0	0.44	3.35	145.0	38.31	3.22	7.42	4.06	1.63	28.13	42.9	1.26	288.38	1.46	1.15	0.4	1.92	1.37	36.18	0.45	24.27
