	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_88	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110012J17Rik	0.0	0.0	0.0	0.0	2.05	0.0	8.47	2.35	4.33	7.43	0.0	8.41	19.79	20.22	35.39	37.38	34.49
1110020A21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.33	0.0	0.0	0.0	0.0	33.49	0.0	1.62	1.35	0.86
1500011B03Rik	0.25	0.31	0.0	0.0	3.54	0.28	24.87	305.58	146.95	113.09	50.46	61.0	504.56	55.39	149.42	149.85	146.77
2410004N09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.44	35.81	0.0	0.0	23.35	14.23	13.52	17.38	14.46
4833424O15Rik	0.0	0.0	0.0	0.0	51.79	0.0	0.0	0.82	26.28	0.02	9.14	0.0	99.05	20.35	36.14	33.71	33.7
4921513I03Rik	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.65	1.99	0.0	1.83	2.95	2.18	0.26	1.0	1.1	1.54
5031425E22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.0	0.0	0.0	14.36	0.0	13.89	13.56	15.86
6430548M08Rik	0.0	0.0	0.0	0.0	30.49	0.03	2.09	11.85	20.2	0.76	35.66	52.32	113.52	0.52	138.81	137.15	144.03
Abhd12	83.82	0.0	0.0	0.0	11.22	0.08	4.18	7.33	78.12	0.36	14.9	29.25	191.17	9.57	309.4	343.65	332.54
Actr6	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	76.5	87.93	45.96	11.72	175.31	266.33	25.59	24.11	23.34
Agap2	0.0	0.0	0.0	0.71	3.04	1.49	16.16	4.19	2.17	2.6	2.05	7.5	5.62	1.96	422.27	459.59	467.65
Ap3s2	1.01	36.23	0.0	0.07	16.8	0.03	61.47	23.07	9.12	0.07	1.66	0.14	57.18	0.23	38.41	38.56	36.63
Armc7	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.0	0.59	0.0	8.23	0.0	51.08	0.61	9.06	9.66	9.77
Atcay	0.0	0.0	0.0	0.0	3.9	0.07	1.73	4.38	32.41	4.48	30.19	60.72	96.8	31.58	152.84	156.79	151.1
BC048507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05	0.41	0.37	0.1	0.0
Bmyc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	16.51	70.51	34.98	3.07	185.83	13.65	78.33	105.81	84.23
