	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_115	Cux2_tdTpositive_cell_116	Cux2_tdTpositive_cell_117	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_50	Gad2_tdTpositive_cell_66	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_165	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_27	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110028F11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.04	0.03	0.08
1700111N16Rik	0.14	0.0	0.0	0.0	0.54	0.0	0.0	0.06	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.49	0.42	0.75
2410066E13Rik	0.0	0.0	0.0	0.0	0.0	23.44	0.0	0.0	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	21.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.21	3.01	2.88	74.35	66.26	69.74
9330020H09Rik	4.82	0.17	0.12	0.41	3.64	0.39	3.47	0.3	0.2	0.82	4.35	0.1	0.51	5.03	0.37	2.77	3.42	0.21	4.56	0.62	0.42	0.22	2.45	6.26	0.0	0.23	0.0	0.0	0.51	0.69	0.4	19.3	1.91	0.87	1.16	1.13	0.99
Acaa1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	5.01	0.34	1.0	1.05	0.65
Acp6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.42	0.0	0.0	0.0	0.0	0.0	16.98	0.0	0.0	0.0	0.0	0.0	0.09	90.85	2.75	13.61	13.63	15.31	14.61
Adra1b	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.05	0.06	0.05	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.44	1.22	2.05	13.5	14.36	16.19
Aff3	6.87	11.13	0.0	0.0	0.0	2.37	0.0	0.0	0.02	1.8	0.02	0.0	0.36	0.0	0.0	2.28	24.28	0.0	8.9	27.73	0.13	18.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	2.28	43.91	5.94	2.98	25.41	23.65	24.79
Arhgap4	0.0	8.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.09	0.21	3.23	3.34	3.76
B4galt5	23.86	0.53	0.0	0.89	1.54	4.18	1.71	0.16	1.35	6.3	14.94	2.64	2.49	0.0	2.87	4.37	0.0	0.0	6.1	0.0	0.0	1.56	5.61	16.38	0.44	1.57	1.93	3.21	0.0	2.78	3.23	4.72	3.1	3.12	26.52	28.02	29.16
Bud13	8.83	0.0	0.0	47.79	0.0	0.0	0.18	1.02	0.0	0.07	0.06	63.53	0.0	15.01	0.14	0.0	0.0	0.0	2.58	0.0	0.0	33.1	0.0	48.06	0.0	0.0	0.0	0.0	0.0	0.0	32.53	102.54	17.39	6.8	9.82	10.3	9.3
