	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_7	Calb2_tdTpositive_cell_46	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_6	Gad2_tdTpositive_cell_16	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_28	Ntsr1_tdTnegative_cell_33	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_144	Rbp4_tdTpositive_cell_149	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_175	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_1	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_22	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTpositive_cell_6	Scnn1a.Tg2_tdTpositive_cell_7	Scnn1a.Tg2_tdTpositive_cell_8	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_9	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_17	Vip_tdTpositive_cell_6
Abcf1	0.0	32.48	1.61	12.61	0.0	0.0	0.0	0.0	0.17	14.9	124.7	19.54	99.54	4.47	0.0	0.0	0.0	26.66	0.0	46.5	84.03	37.49	44.5	0.0	36.18	1.4	123.56	67.26	0.64	0.6	33.09	0.0	5.1	19.76	20.14	0.0	0.0	0.0	65.23	0.0	0.0	0.0	0.22	0.0	0.0	67.64	285.5	182.66	73.22	12.8	0.53	0.45	57.55	34.07	66.55	1.03	927.76	48.39	0.0	0.0	0.0	0.0
Actr6	159.14	16.92	0.0	76.47	0.0	0.0	0.0	0.0	0.0	92.71	23.16	0.0	0.0	0.0	0.0	0.0	0.0	508.62	0.0	0.0	102.44	25.75	73.62	370.34	234.42	232.54	30.82	117.27	0.4	1.12	1.93	226.27	318.89	192.37	0.0	0.0	0.0	0.0	5.39	0.0	1.7	0.0	0.21	0.0	0.0	0.0	256.05	183.62	261.51	18.04	0.0	0.21	0.0	131.5	121.42	324.75	0.0	0.0	0.0	0.0	0.0	0.0
Ak1	144.02	58.3	0.0	0.0	0.0	0.0	0.0	0.18	0.0	122.15	122.62	0.0	0.0	0.0	0.0	0.0	1.22	117.85	0.0	0.3	173.71	89.86	132.91	91.41	63.5	208.51	79.19	131.83	120.41	47.0	59.0	56.42	61.02	70.81	71.7	0.16	0.29	0.0	3.29	0.38	0.0	303.12	0.35	0.0	0.0	0.0	225.41	33.88	267.48	9.49	0.83	0.18	0.19	205.05	90.36	18.7	0.0	0.0	0.0	0.0	0.0	0.0
Ap3m2	0.13	335.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.62	90.6	0.0	0.0	0.0	0.0	0.0	0.0	138.3	0.0	0.7	148.1	157.46	167.99	103.27	23.02	331.88	195.27	156.89	138.04	1.11	54.08	81.93	94.18	43.13	128.13	0.0	0.17	0.64	333.96	0.0	0.0	0.0	0.51	0.19	0.0	0.14	548.39	179.34	226.66	274.04	0.12	0.31	13.8	91.7	132.5	286.41	0.0	0.0	1.0	0.0	0.0	0.0
Apbb1	0.0	537.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	379.62	211.54	0.0	0.0	0.0	0.0	0.0	0.0	199.64	0.0	1.88	146.93	211.04	171.5	51.64	36.94	124.92	220.71	328.09	179.16	1.98	115.8	55.23	218.52	46.76	65.38	0.0	0.22	1.15	732.87	0.57	0.0	1.01	0.37	0.0	0.0	0.0	555.43	691.56	385.98	436.03	0.87	0.65	294.32	316.38	200.18	527.93	0.0	0.0	0.0	0.0	0.0	25.58
B230209E15Rik	192.81	67.01	1.07	0.0	0.0	0.0	0.0	0.0	0.0	62.26	75.38	1.17	0.0	0.0	0.0	0.0	0.0	15.21	0.0	1.75	63.09	41.04	87.98	79.94	87.18	84.28	233.22	40.58	155.4	33.45	13.1	23.52	98.49	103.67	69.71	0.31	0.58	1.07	150.06	0.76	0.0	0.32	0.0	0.32	0.0	0.0	81.22	142.27	148.29	114.3	1.02	0.26	20.8	37.33	43.4	30.39	0.48	0.0	0.0	0.0	0.0	107.01
Camk2b	201.76	137.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.99	164.05	0.0	0.0	0.0	0.0	0.0	0.0	30.88	0.0	0.45	95.06	91.36	186.06	45.44	53.37	67.53	250.87	236.34	249.52	52.54	57.05	93.98	161.84	74.85	45.88	0.4	0.07	0.0	348.1	0.19	0.35	0.32	0.18	0.0	0.0	0.0	20.72	275.06	68.0	36.93	0.52	0.18	70.82	113.56	71.35	430.21	0.0	0.0	0.0	0.0	0.0	62.72
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	113.94	0.0	0.0	0.0	0.0	0.0	0.0	10.7	0.34	0.68	54.72	30.68	0.23	50.62	21.3	2.24	162.54	2.83	145.89	110.35	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.79	43.11	150.8	167.16	0.46	0.11	174.2	469.66	361.89	49.16	0.0	0.0	0.0	0.0	0.0	7.33
Cit	0.06	8.94	14.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	5.08	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	11.03	6.6	11.71	12.25	4.3	2.63	6.54	1.17	9.47	7.03	11.85	13.97	0.16	5.12	12.22	0.0	0.0	50.59	20.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.58	14.33	10.56	5.47	0.0	0.03	2.85	10.86	10.21	50.84	0.0	0.0	0.0	0.0	0.0	15.74
Cyfip2	0.14	258.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.9	204.9	0.0	0.0	0.0	0.0	0.0	0.0	176.88	0.11	0.65	183.11	95.86	228.93	73.97	85.24	366.6	169.48	98.07	88.71	8.79	91.62	33.51	101.87	98.5	35.96	0.1	0.09	137.19	314.18	0.24	0.0	0.1	0.27	0.0	0.0	0.0	135.73	533.59	83.94	235.41	0.52	0.3	222.99	159.78	236.19	346.97	0.0	0.0	0.0	0.0	0.0	219.94
