	Gad2_tdTpositive_cell_58	Pvalb_tdTpositive_cell_12	Rorb_tdTpositive_cell_55	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Arhgap6	0.0	0.0	0.0	8.05	7.74	7.45
Arsg	0.0	0.0	0.0	15.74	17.26	16.69
Asap1	36.87	28.64	68.38	88.98	80.34	86.8
Atp13a2	0.18	18.01	70.98	91.7	99.84	96.26
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC005764	0.0	0.0	0.0	47.64	52.58	50.79
Baiap3	0.0	0.0	0.0	14.14	14.6	15.04
Bak1	0.0	0.0	0.0	7.91	10.5	11.76
Bhlhe41	0.0	0.0	0.0	26.37	36.97	26.21
Birc3	0.0	0.0	0.0	1.81	1.77	2.39
Bmp3	0.0	0.0	0.0	10.96	9.3	10.81
Bmper	0.0	0.0	0.0	7.15	7.15	7.41
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccdc85b	0.55	0.8	29.53	42.75	54.22	45.12
Cd151	0.0	0.0	0.0	26.45	26.04	27.15
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cd46	0.0	0.0	0.0	4.22	3.27	4.7
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Col6a1	0.18	0.0	0.0	53.34	50.78	59.21
Dennd2d	0.0	0.0	0.0	0.39	0.18	0.1
Dip2a	1.86	20.92	0.0	41.24	40.77	45.1
Ezr	0.0	0.0	0.0	41.2	43.08	45.6
Fgf1	0.0	17.45	0.0	29.53	29.14	33.48
Fignl2	0.0	0.0	0.0	0.72	1.08	0.87
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Galnt14	0.0	0.0	0.0	25.03	22.87	23.6
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Glt25d2	0.0	0.0	0.0	5.16	5.27	5.3
Gm16576	0.0	0.0	0.0	0.45	0.68	0.54
Hdac5	0.0	0.51	0.0	101.76	107.17	98.05
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hnf1a	0.0	0.0	0.0	0.12	0.15	0.06
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpcal4	5.1	0.0	86.26	617.1	589.7	600.85
Id1	0.0	0.0	0.0	23.73	21.08	22.42
Ier5	0.0	0.66	2.78	75.41	75.64	62.19
Igsf9b	0.0	0.0	12.89	20.04	16.04	26.03
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Itpripl2	0.0	0.0	0.07	3.29	3.75	3.33
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lmnb2	0.0	0.16	0.0	17.25	17.82	16.94
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Msi1	0.0	0.0	0.0	22.38	23.08	21.77
Mstn	0.0	0.0	0.0	0.26	0.28	0.35
Nlrx1	0.0	0.0	0.0	6.12	6.21	7.34
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Pclo	0.37	15.47	39.71	60.14	52.02	64.43
Pde1c	0.0	0.0	0.0	4.98	4.05	5.23
Pex5l	0.0	0.0	0.0	160.07	158.61	182.2
Plekhh1	0.0	0.0	0.0	17.46	17.52	20.61
Pnma1	0.0	0.0	0.0	5.49	6.36	5.5
Psme3	0.27	32.07	0.0	96.58	97.87	90.49
Ptpn23	0.52	0.0	0.0	35.24	34.31	36.57
Rhbdl3	0.0	0.58	0.15	14.12	14.55	14.45
Rnf24	0.13	4.36	0.99	25.62	24.48	22.78
Rragb	9.31	19.19	0.0	79.77	77.21	71.85
Slc14a1	0.0	0.0	0.0	7.37	6.61	7.2
Slc26a1	0.0	0.0	0.0	1.28	1.52	2.05
Slc6a11	0.0	0.0	0.0	91.39	91.42	98.55
Spg11	0.0	0.21	0.0	14.25	11.67	14.26
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d13	0.0	0.15	0.45	33.76	33.35	30.89
Tmem132e	0.0	0.0	0.0	10.29	11.16	11.83
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tuba3a	0.0	0.0	0.0	0.2	0.22	0.2
Ust	0.0	0.0	0.0	20.56	21.15	18.9
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wnk2	0.0	0.73	0.1	49.56	48.86	56.38
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	27.65	0.0	4339.12	25813.35	24091.17	24561.45
mt_AK153847	1171.06	899.14	403.96	7244.76	6702.54	7355.06
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
