	Cux2_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700007K09Rik	0.0	0.0	0.0	0.15	0.29	0.0
1700013H16Rik	0.0	0.0	0.0	0.0	0.08	0.08
1700113I22Rik	0.0	0.0	0.0	3.37	2.67	2.96
1700121L16Rik	0.0	0.0	0.0	1.11	0.74	0.38
2310047B19Rik	0.0	0.0	0.0	13.88	16.07	14.83
2810471M01Rik	0.07	0.0	0.0	0.06	0.07	0.07
3110040N11Rik	0.0	0.0	0.0	15.06	15.1	13.11
4921515J06Rik	0.0	0.0	0.0	1.0	1.63	1.66
4921536K21Rik	0.0	0.0	0.0	0.45	0.72	0.7
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930426L09Rik	0.0	0.0	0.67	1.07	1.14	1.66
4930448H16Rik	0.0	0.0	0.0	0.0	0.16	0.18
4930455B14Rik	0.0	0.0	0.0	0.09	0.0	0.09
4930455C13Rik	0.0	0.0	0.0	0.84	0.5	1.14
4930456L15Rik	0.0	0.0	0.0	0.0	0.08	0.09
4930509J09Rik	0.0	0.0	0.0	0.13	0.0	0.14
4930528F23Rik	0.0	0.0	0.0	0.06	0.0	0.06
4930552P12Rik	0.0	0.0	0.0	0.12	0.04	0.33
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4933416I08Rik	0.0	0.0	0.0	0.08	0.22	0.16
4933416M06Rik	0.0	0.12	0.39	0.0	0.15	0.15
5031425F14Rik	0.0	0.0	0.0	0.0	0.06	0.06
5730455P16Rik	75.89	33.71	0.57	45.98	44.24	46.5
A630072M18Rik	0.61	1.16	2.81	4.79	4.03	4.74
Acaa1b	0.0	0.0	0.0	1.0	1.05	0.65
Adra1b	0.07	0.0	0.0	13.5	14.36	16.19
Ahdc1	0.32	0.0	0.55	21.02	21.81	21.88
Aldh3b1	0.0	0.0	0.0	5.72	5.55	5.77
Ano10	0.0	26.16	0.0	21.31	23.41	21.3
Apol8	0.0	0.0	0.0	3.94	3.82	4.29
Ascl2	0.0	0.0	0.0	0.31	0.29	0.32
Atl3	0.0	0.0	0.0	22.09	20.46	22.45
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Brd9	7.18	16.53	44.69	76.85	77.62	74.96
C030044B11Rik	0.07	0.0	0.0	24.47	32.0	30.13
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacnb3	10.25	16.74	0.0	206.62	202.56	209.36
Capn8	0.0	0.0	0.0	0.0	0.04	0.04
Card6	0.0	0.0	0.0	1.3	1.17	1.43
Ccr3	0.0	0.0	0.0	0.03	0.0	0.03
Cd209a	0.0	0.0	0.0	0.13	0.25	0.49
Cdyl	0.0	0.0	0.0	7.01	7.14	6.98
Cpeb4	2.73	218.97	6.62	62.11	56.91	61.65
Ctrl	0.0	0.0	0.0	0.92	0.86	1.06
Cyp3a57	0.0	0.0	0.0	0.06	0.0	0.06
D1Pas1	0.0	0.0	0.0	0.0	0.0	0.0
D6Ertd527e	0.0	0.0	0.0	0.0	0.08	0.09
Daam2	0.0	0.0	0.0	36.24	32.77	40.59
Ddi2	0.0	0.38	0.0	27.95	26.68	27.82
Dnajb1	44.22	8.51	281.39	57.23	54.6	43.39
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
E2f8	0.0	0.0	0.05	0.36	0.58	0.55
Eapp	3.15	6.81	0.49	40.64	36.55	37.25
Eda2r	0.0	0.0	0.0	0.14	0.16	0.15
Efcab9	0.0	0.0	0.0	0.4	0.5	0.83
Ehd2	0.0	0.0	0.0	4.19	5.73	4.23
Entpd8	0.0	0.0	0.0	0.0	0.04	0.04
Fam109b	0.0	0.0	0.0	0.83	0.81	0.67
Fam132b	0.0	0.0	0.0	0.88	0.73	0.76
Fam75d3	0.0	0.0	0.0	0.0	0.02	0.02
Fgfrl1	0.0	0.0	0.0	14.6	15.48	16.45
Fmo4	0.0	0.0	0.0	0.06	0.0	0.06
Foxd3	0.0	0.0	0.0	0.0	0.04	0.04
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fuz	0.0	1.97	0.0	15.93	17.43	16.78
Fxr2	0.0	0.0	154.73	98.68	103.47	95.24
Gda	0.14	125.83	86.31	173.69	169.3	165.34
Gja8	0.0	0.0	0.0	0.0	0.07	0.07
Gjb4	0.0	0.0	0.0	0.0	0.07	0.07
Gkn3	0.0	0.0	0.0	5.92	5.7	4.65
Gm10649	0.0	0.0	0.0	0.45	0.37	0.47
Gm12633	0.0	0.0	0.0	0.06	0.0	0.06
Gm14391	17.28	109.72	29.24	35.34	28.08	29.68
Gm14872	0.0	3.23	0.0	7.05	6.23	6.99
Gm16294	0.0	0.0	0.0	0.41	0.13	0.35
Gm16523	0.04	0.0	0.11	0.07	0.11	0.1
Gm17762	0.0	0.0	0.0	1.17	1.12	1.24
Gm18409	0.0	0.0	0.0	0.0	0.04	0.04
Gm20257	1.7	0.0	0.0	2.49	2.54	2.29
Gm5129	0.0	0.0	0.0	0.0	0.16	0.18
Gm5151	0.0	0.0	0.0	31.75	40.55	36.71
Gm6222	0.0	0.0	0.0	0.0	0.42	0.0
Gm6408	0.0	0.0	0.0	0.0	0.08	0.09
Gm7244	0.0	0.0	0.72	1.14	1.62	1.03
Gstp2	0.0	0.0	0.0	0.77	0.64	2.8
Gzma	0.0	0.0	0.0	0.12	0.0	0.12
Hbq1b	0.0	0.0	0.0	0.0	1.01	0.66
Hhipl2	0.0	0.0	0.0	0.43	0.61	0.3
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hsd3b4	0.0	0.0	0.0	0.47	0.23	0.3
Igsf21	0.0	0.0	0.0	58.91	64.14	70.63
Irx2	0.0	0.0	0.0	0.0	0.04	0.04
Itgb7	0.0	0.0	0.0	0.41	0.87	0.57
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif13b	0.0	0.0	28.76	16.45	15.53	19.12
Kirrel	0.0	0.0	0.0	2.95	2.92	3.06
Klhl3	0.0	0.0	0.0	21.96	21.89	23.29
Klrk1	0.0	0.0	0.0	0.0	0.03	0.03
Krt85	0.0	0.0	0.0	0.0	0.22	0.22
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lect2	0.0	0.0	0.0	0.12	0.0	0.12
Lhx6	0.0	0.14	0.0	14.34	14.63	14.8
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lpar4	0.0	0.0	0.0	1.02	0.92	0.96
Lrrc14	1.31	0.0	0.22	24.19	24.07	23.05
Lyz1	0.0	0.0	0.0	0.82	0.97	1.09
Mal	0.0	0.0	0.0	212.07	214.76	232.26
Mastl	0.0	0.0	0.0	0.44	0.79	0.74
Mbip	0.0	263.15	5.95	26.66	22.67	26.3
Mir1935	335.99	0.0	0.0	4.47	0.0	0.0
Mir29c	19.3	0.0	0.0	16.38	20.41	23.0
Mir3086	0.0	0.0	0.0	0.0	0.0	0.0
Mir496	0.0	0.0	0.0	0.0	4.37	0.0
Mocos	0.0	0.0	0.0	1.58	1.96	2.05
Morn5	0.0	0.0	0.0	0.6	0.98	1.38
Myl9	0.0	0.0	0.0	24.78	24.37	22.0
Nacad	0.0	0.0	0.0	23.93	26.13	24.89
Napsa	0.0	0.0	0.0	1.12	0.83	1.4
Ncor2	0.0	0.06	7.99	47.65	50.12	57.88
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nmnat3	0.0	0.0	0.0	2.48	3.15	2.18
Noa1	0.0	0.0	0.0	19.29	22.09	20.09
Nox4	0.0	0.0	0.0	0.06	0.0	0.06
Npm3	0.0	0.0	0.0	8.76	11.59	8.06
Nqo1	0.0	0.0	0.0	4.63	5.33	5.24
Nt5dc2	0.0	0.0	0.0	4.97	5.11	5.51
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Peli2	0.0	0.0	0.0	11.75	11.59	12.14
Peli3	0.0	0.0	0.0	15.88	16.77	19.03
Pfkfb3	0.28	0.18	0.57	20.42	20.03	17.01
Pi16	0.0	0.0	0.0	0.66	0.83	1.09
Pknox1	0.0	0.0	0.0	9.2	9.16	10.02
Pls1	0.0	0.0	0.0	8.94	7.54	9.48
Pmfbp1	0.0	0.0	0.0	0.32	0.35	0.21
Pou4f1	0.05	0.0	0.0	0.08	0.05	0.05
