	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_67	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_15	Ctgf_tdTpositive_cell_16	Ctgf_tdTpositive_cell_20	Ctgf_tdTpositive_cell_21	Htr3a_tdTpositive_cell_93	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_106	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_36	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_57	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_159	Rbp4_tdTpositive_cell_170	Rorb_tdTpositive_cell_43	Rorb_tdTpositive_cell_48	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610038B21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.15	0.0	0.0	0.96	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	1.18	0.96
1110006O24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	2.63	2.47
1700026L06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.43	0.16
2310002D06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	3.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48	2.92	3.78
2410089E03Rik	22.73	2.38	10.0	12.42	7.19	11.22	7.79	2.42	9.05	0.0	16.56	13.77	0.03	11.98	3.85	18.35	8.12	5.61	0.04	12.19	11.27	7.72	5.25	1.11	6.47	0.53	4.86	10.31	45.55	34.43	8.74	1.65	5.42	5.16	27.18	6.3	4.6	1.31	4.76	4.95	5.02	3.83	5.1	2.4	7.6	4.01	5.58	0.55	1.56	5.71	1.81	10.92	0.29	13.2	23.04	20.01	24.3
4921507L20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	13.88	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	3.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.68	1.79
4933404G15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4933417D19Rik	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.73	0.0	0.0	0.0	6.19	5.29	0.25	2.01	0.87	0.0	41.68	0.0	0.0	0.0	0.0	0.0	4.08	3.38	4.21
A530072M11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.76	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.12	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	50.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.11	0.0	0.0	1.32	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.8	0.66	0.72
Adamts15	0.0	0.19	0.1	0.0	0.11	0.11	0.0	0.0	0.26	0.07	0.1	0.2	0.68	0.02	0.0	0.08	0.0	0.07	0.12	0.06	0.0	0.0	0.08	0.06	0.0	0.06	0.23	0.22	0.08	33.29	0.14	0.0	0.07	0.2	0.03	0.0	0.18	0.0	0.0	0.0	0.0	0.06	0.01	0.07	0.04	0.06	0.1	0.03	0.05	0.01	0.16	0.0	0.0	0.04	3.0	3.4	3.83
Aff1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.91	0.0	0.0	0.0	0.0	0.0	0.0	1.68	0.59	0.31	1.92	0.0	0.0	0.0	0.0	0.07	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	15.17	6.49	6.98	7.47
Atad2	0.51	1.87	1.19	10.63	0.78	0.41	1.79	2.13	1.56	1.92	1.37	2.22	1.96	0.93	0.12	0.34	0.98	0.97	0.61	0.89	1.9	0.85	1.54	0.99	11.12	0.58	0.7	1.07	42.26	59.77	0.41	0.99	0.49	49.03	2.09	0.71	2.27	0.82	4.26	1.39	7.73	1.63	3.36	2.4	0.99	3.09	2.88	1.58	0.71	1.45	1.2	1.45	0.51	0.72	6.56	5.31	6.23
