	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_20	Pvalb_tdTpositive_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500011K16Rik	0.0	0.0	0.0	44.9	48.99	49.23
1700034K08Rik	0.0	0.0	0.0	0.44	0.95	0.52
2700097O09Rik	0.0	0.0	0.53	9.95	6.67	8.3
3110045C21Rik	0.0	0.0	0.0	1.26	1.0	1.46
3110056O03Rik	0.0	0.0	0.0	32.53	34.25	34.1
4930402H24Rik	2.22	0.0	21.79	57.24	53.15	63.64
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4933404O12Rik	0.68	0.0	0.51	10.18	9.87	10.02
A430033K04Rik	0.0	0.0	3.62	16.18	16.43	18.65
AI848285	0.0	0.0	0.0	5.18	7.32	6.53
AY358078	0.0	0.0	0.0	0.23	0.0	0.07
Alg8	0.0	0.0	0.0	9.52	7.07	8.54
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Btbd8	0.0	0.0	0.0	5.77	4.6	5.31
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccdc3	0.0	0.0	0.0	11.29	11.62	12.69
Ccdc48	1.05	0.0	1.04	8.33	7.33	8.4
Ccdc76	0.0	0.0	0.0	4.09	3.56	4.99
Ccl27b	0.0	0.0	0.0	30.63	28.29	22.96
Ccno	0.0	0.0	0.0	2.96	3.29	2.95
Ccrl1	0.0	0.0	0.0	0.19	0.4	0.15
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Crlf1	0.0	0.0	0.0	3.75	5.36	4.69
Cyp1a1	0.0	0.0	0.0	0.06	0.07	0.19
Dhrs2	0.21	0.0	0.0	0.08	0.15	0.08
Ect2l	0.0	0.0	0.0	0.07	0.26	0.14
Eif2ak1	0.0	0.0	23.34	66.21	67.05	64.24
Epb4.1l5	0.0	0.0	0.0	3.77	3.85	4.08
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
Fam163a	0.0	0.0	0.0	5.97	5.23	6.52
Fam181b	0.0	0.0	0.0	18.33	19.15	18.37
Fam194a	0.0	0.0	0.0	2.35	1.53	2.23
Fam69c	0.0	0.0	0.0	5.34	4.67	5.94
Fbxo34	0.0	0.0	0.0	66.01	70.66	70.82
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxj1	0.0	0.0	0.0	5.71	5.88	5.02
Fras1	0.0	0.0	0.0	9.06	8.51	9.72
Galns	0.63	0.0	0.0	7.08	6.82	7.4
Gckr	0.0	0.0	0.0	0.1	0.0	0.25
Gm10782	0.0	0.0	0.0	0.84	0.32	0.76
Gm11710	0.0	0.0	0.0	0.43	0.66	0.68
Gm11711	0.0	0.0	0.0	0.43	0.66	0.68
Gm11981	0.0	0.0	0.0	0.42	0.29	0.14
Gm13306	0.0	0.0	0.0	30.63	28.29	22.96
Gm14023	0.0	0.0	0.0	0.3	0.5	0.29
Gm2506	0.0	0.0	0.0	30.63	28.29	22.96
Gm3086	0.0	0.0	0.0	1.61	3.1	1.9
Gm9781	0.0	0.0	0.0	34.08	28.38	28.71
Golm1	0.0	0.0	0.0	20.66	21.05	20.03
Got2	0.0	0.0	88.18	250.3	263.52	251.13
Gpam	0.0	0.0	0.0	36.95	35.26	40.28
Gpd2	0.0	0.0	14.27	64.41	62.83	64.21
Grm6	0.0	0.0	0.0	0.07	0.11	0.04
H2-Q7	0.0	0.0	0.0	0.69	0.37	0.0
Hhipl2	0.0	0.0	0.0	0.43	0.61	0.3
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Itgb1bp2	0.0	0.0	0.0	0.39	0.58	0.56
Kcna2	1.07	0.0	58.27	82.83	70.58	84.29
Kcnj6	0.0	0.0	0.0	35.49	28.94	38.3
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Ldb2	0.0	0.0	0.0	50.55	48.2	45.35
Ly6h	0.0	0.0	0.0	305.82	367.1	337.26
Mcf2	0.0	0.0	0.0	5.03	4.84	5.31
Msh2	0.0	0.0	2.05	26.47	27.36	24.03
Myst4	0.0	0.0	0.78	24.86	24.19	26.41
Nat2	0.0	0.0	0.0	0.95	1.85	1.46
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nme4	0.0	0.0	0.0	5.18	4.55	5.23
Nos1ap	0.0	0.0	0.0	86.8	83.23	89.82
Nudcd1	0.0	0.0	25.87	11.65	11.87	11.78
Oasl2	0.0	0.0	0.0	3.57	2.46	2.79
Orai3	0.0	0.0	0.0	21.92	22.88	20.54
Pcdhgb2	0.0	0.0	0.0	8.59	9.12	8.06
Pcsk4	0.0	0.0	0.0	4.45	3.67	3.45
Phlpp2	0.0	0.0	0.43	26.27	24.08	25.5
Pid1	0.0	0.0	0.0	30.39	29.04	33.74
Plcb4	0.0	0.0	0.0	30.97	23.96	33.02
Plekhf2	2.86	0.0	0.0	7.22	6.12	6.48
Plk1	0.0	0.0	0.0	2.92	3.18	2.13
Pmaip1	0.0	0.0	0.0	2.73	2.17	2.28
Prdm12	0.0	0.0	0.0	0.36	0.64	0.21
Prdm5	0.0	0.0	0.0	2.72	2.86	2.81
Rap2b	0.0	0.0	0.0	40.22	41.06	42.79
Rcn2	0.0	0.0	9.85	141.56	145.16	138.67
Rnf19a	0.0	0.0	0.0	23.71	23.0	21.8
Scly	0.0	0.0	0.0	14.89	14.37	13.1
Sdf2l1	0.0	0.0	0.0	14.91	13.02	13.36
Sdr9c7	0.0	0.0	0.0	0.03	0.13	0.14
Shank1	6.62	0.0	10.16	148.7	139.9	181.16
Shc4	0.19	0.0	0.0	3.67	3.72	3.37
Slc2a10	0.13	0.0	0.0	1.2	1.33	1.0
Slc44a5	0.0	0.0	0.0	6.71	6.51	7.08
Slc7a7	0.0	0.0	0.0	1.77	2.04	2.13
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Sp2	0.0	0.0	0.0	12.6	12.46	12.68
Spag6	0.0	0.0	0.0	5.7	5.55	6.52
Sycp2	0.0	0.0	0.0	0.95	0.52	1.14
Tagln	0.0	0.0	0.0	10.21	9.75	9.02
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tmem167b	0.14	0.0	26.93	44.69	45.81	45.82
Tmem200b	0.0	0.0	0.0	7.96	8.94	9.72
Tmem229a	0.0	0.0	0.0	31.79	30.8	35.7
Tmem48	0.0	0.0	0.0	8.66	10.22	10.49
Tnip1	0.0	0.0	0.0	20.44	20.33	20.11
Tsku	0.0	0.0	0.0	1.77	2.05	1.52
Tspan17	0.0	0.0	0.0	38.39	46.39	44.45
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Txnl4b	0.0	0.0	0.0	17.95	20.17	18.28
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wapal	0.0	0.0	0.0	21.96	19.7	22.73
Xrcc5	0.0	0.0	0.0	17.82	16.53	17.67
Zfp174	0.68	0.0	0.0	4.55	3.91	4.73
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
