	Cux2_tdTpositive_cell_85	Cux2_tdTpositive_cell_94	Cux2_tdTnegative_cell_6	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_33	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTnegative_cell_32	Rbp4_tdTnegative_cell_14	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTpositive_cell_104	Scnn1a.Tg3_tdTpositive_cell_105	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310003L22Rik	51.12	0.0	0.0	0.0	0.0	0.0	70.34	0.0	2.35	0.0	15.0	0.0	0.29	0.0	0.0	0.0	1.32	138.73	0.05	0.05	34.86	10.18	65.23	4.7	18.47	20.66	21.03	20.02
Acyp1	243.68	17.66	0.0	0.0	0.0	0.0	661.56	0.0	132.74	50.08	32.26	0.0	0.0	0.0	434.69	67.16	1.46	305.91	283.71	36.18	23.92	37.03	114.12	0.0	85.21	36.66	35.87	37.49
Arhgef9	0.0	1.68	0.0	0.0	0.0	0.07	4.87	5.95	12.01	18.68	36.25	4.13	0.24	0.12	256.23	4.84	7.14	132.04	34.93	59.16	46.98	59.58	74.52	44.16	98.51	220.51	209.27	213.67
Armcx4	0.24	0.08	0.0	0.03	0.0	0.08	32.53	0.04	0.75	4.44	7.64	0.36	0.05	0.15	4.73	10.46	27.58	27.92	0.14	0.02	0.01	0.1	13.93	14.11	0.06	23.98	21.4	24.53
Bcas2	24.97	10.53	32.07	7.8	41.95	430.56	534.21	31.26	128.44	90.88	31.07	51.06	26.38	18.68	96.45	533.19	70.55	168.0	624.66	79.86	65.88	150.43	113.83	151.39	172.3	81.16	87.22	81.77
Cadm3	0.2	0.2	0.0	0.0	0.0	1.32	15.75	0.0	0.12	62.53	115.79	0.17	0.0	0.0	94.87	71.27	1.85	66.31	15.79	11.05	2.73	5.95	34.08	37.85	17.93	266.15	258.6	271.92
Car8	0.15	0.0	0.0	0.0	0.15	0.0	0.28	0.15	51.44	0.28	0.07	0.0	0.05	0.0	0.05	0.31	0.0	0.11	0.2	0.13	52.95	31.77	8.2	0.02	0.03	5.21	4.26	5.44
Ccl27b	16.25	0.0	0.0	0.0	0.0	0.0	14.53	0.0	17.08	344.85	411.12	0.0	0.26	0.0	14.7	274.48	171.5	443.82	7.71	17.69	2.83	25.62	34.21	4.38	27.11	30.63	28.29	22.96
Cdk7	3.19	4.2	71.44	0.13	0.07	50.31	3.09	2.02	5.17	15.95	10.31	8.23	0.89	6.4	3.53	30.08	1.66	58.55	4.16	20.89	1.21	13.0	4.36	5.49	18.7	24.31	24.5	25.35
Clip4	0.0	0.0	0.0	0.0	0.0	15.54	0.0	0.0	8.1	0.0	0.0	0.09	0.1	0.0	0.07	0.43	0.83	114.76	0.02	20.8	21.68	4.89	0.0	0.0	3.3	38.77	40.09	38.03
Cog6	0.0	0.0	0.0	0.0	0.0	77.31	163.19	0.05	0.0	2.59	0.0	0.12	12.2	0.0	0.0	19.93	32.15	234.45	51.03	41.14	14.19	128.59	0.0	115.67	17.38	38.12	35.49	36.14
Dbn1	0.29	0.0	0.0	0.0	0.0	1.79	61.54	0.7	3.06	122.49	30.3	0.0	0.14	0.0	15.3	8.5	2.94	70.06	126.58	126.75	33.0	35.41	39.34	43.04	132.94	181.07	196.52	190.0
Dgka	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.19	0.0	0.52	169.73	0.08	0.0	0.0	0.0	0.0	0.0	0.0	8.34	8.44	9.21
Exosc1	0.0	0.0	0.0	0.0	0.0	0.0	114.26	0.0	0.0	157.33	0.0	0.0	0.0	0.0	0.4	9.6	0.0	368.62	115.1	117.98	19.87	20.83	47.6	0.09	35.44	16.12	16.21	15.15
Extl1	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.1	83.47	0.0	0.0	17.39	1.71	0.28	243.28	0.13	127.11	56.44	18.64	135.55	55.82	19.45	50.72	51.07	50.15
Fam188a	70.64	0.0	0.0	0.0	0.0	0.0	174.81	0.0	0.0	50.0	0.18	0.0	0.0	0.0	3.67	55.45	3.79	204.54	216.15	0.06	34.11	55.68	31.12	0.0	29.94	42.06	36.46	38.66
Fnbp1	33.13	0.18	0.94	0.0	0.0	0.0	73.09	0.04	5.31	111.03	0.0	0.16	36.24	1.22	279.95	0.43	41.58	80.29	84.82	0.76	36.17	50.5	1.02	34.63	1.16	74.96	74.31	85.84
Fus	0.0	0.45	0.25	0.0	0.0	0.0	1.3	0.0	0.81	98.38	2.04	0.0	0.0	0.0	80.14	7.74	26.97	24.43	4.67	58.08	5.69	1.5	27.35	56.82	24.13	236.98	238.88	232.01
Gba2	0.0	0.0	0.0	0.0	0.0	0.0	134.13	0.0	9.04	0.0	0.24	0.0	5.4	0.0	91.7	0.0	0.53	206.39	0.2	31.31	89.7	0.17	56.89	46.74	1.01	63.14	73.18	65.71
Gm12191	0.0	50.87	189.09	578.79	0.0	232.9	1195.84	0.0	97.93	765.03	527.16	521.94	1.87	1.49	386.32	372.58	0.0	910.5	365.31	375.3	563.67	233.74	187.47	696.57	98.74	382.8	378.58	365.32
Gm13306	16.25	0.0	0.0	0.0	0.0	0.0	14.53	0.0	17.08	344.85	411.12	0.0	0.26	0.0	14.7	274.48	171.5	443.82	7.71	17.69	2.83	25.62	34.21	4.38	27.11	30.63	28.29	22.96
Gm13547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.59	1.78	0.0	0.0	6.99	0.0	0.0	0.0	1.53	1.58	1.37
