	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Gad2_tdTpositive_cell_24	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTnegative_cell_5
2810001G20Rik	0.0	0.0	0.0	0.0	0.0	0.0	26.59	0.0	0.0	20.63	60.98	0.0	1.19	41.09	0.0	1.84	2.52	0.0	16.57	93.15	0.0	63.33	44.13	3.66	2.49	34.87	37.73	44.55	0.0	7.54	2.02	0.0	0.0	103.22	0.0	0.0	51.4	0.0	0.0	0.0	0.48	0.0
5430437P03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	13.99	47.33	19.21	51.82	107.13	84.37	88.74	65.09	29.36	60.05	91.06	0.0	20.19	86.09	26.84	42.3	48.89	83.66	127.94	94.38	12.44	46.05	14.55	81.03	28.21	57.05	48.14	105.47	54.94	74.91	41.29	0.79	0.94
5730455P16Rik	96.22	0.08	0.0	0.49	4.97	0.24	17.23	0.95	1.4	60.78	6.7	4.38	17.75	59.87	73.45	105.08	36.18	14.53	12.87	206.08	174.86	84.92	86.72	112.01	61.23	53.26	74.67	35.93	48.79	91.32	1.19	4.39	20.75	0.0	58.09	66.74	9.51	31.42	72.15	6.43	0.91	0.83
Abcg4	0.0	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.16	24.72	38.72	9.7	33.92	17.96	2.96	1.96	6.7	34.76	26.18	71.32	0.17	0.0	70.25	20.48	25.0	30.79	14.79	40.12	20.65	34.29	0.0	0.0	1.64	0.59	0.0	14.25	51.81	37.79	57.76	67.24	0.0	0.1
Atg2a	0.0	0.0	0.0	0.0	0.0	0.0	13.98	0.0	0.0	1.94	0.0	0.0	4.89	1.68	0.0	0.0	15.72	0.0	5.77	19.47	0.0	0.0	2.9	0.0	0.0	0.0	0.0	12.41	0.82	0.08	0.0	0.0	0.06	0.0	23.13	0.0	6.33	4.79	0.11	0.0	0.06	0.0
Braf	0.0	4.15	0.0	3.88	0.05	0.0	34.3	0.18	0.18	75.6	42.11	42.57	65.73	109.82	103.76	115.76	127.16	113.19	111.88	115.57	29.9	66.44	119.59	45.51	203.88	45.6	80.62	63.89	37.8	52.69	98.22	63.55	77.8	86.37	110.84	26.75	105.53	131.9	133.73	39.48	0.25	0.34
C1d	9.27	153.81	0.12	2.62	0.0	0.0	132.94	4.2	167.75	145.29	138.85	10.33	76.06	114.19	100.64	147.51	90.67	132.96	159.59	234.15	53.85	78.19	96.41	36.93	110.72	96.56	96.98	113.45	78.91	180.45	45.28	73.5	81.72	49.17	161.67	86.49	107.77	63.81	117.64	88.59	0.42	0.87
Chm	0.0	0.0	0.0	0.0	0.1	0.0	15.28	0.0	0.0	14.96	6.03	16.63	21.68	58.12	12.81	15.76	48.69	68.24	7.8	74.37	0.0	68.15	47.27	12.63	25.67	41.09	16.79	26.36	23.48	7.12	33.5	0.0	9.56	10.21	2.78	43.86	37.91	93.53	43.0	70.09	0.25	0.0
Cxx1b	0.0	1.45	0.0	0.0	0.0	0.0	28.35	0.0	0.0	5.87	11.06	33.66	17.96	10.14	15.53	0.71	18.45	14.54	20.6	60.79	53.02	7.49	33.61	0.48	3.58	4.17	23.32	2.1	12.14	0.81	6.49	20.71	6.79	14.26	17.19	3.81	44.81	25.03	28.61	6.68	0.0	0.0
Endod1	0.0	20.29	0.0	0.0	0.11	0.0	58.71	0.0	0.0	68.9	35.84	47.45	124.35	47.52	103.48	65.55	96.76	170.1	76.93	105.25	93.38	45.89	57.23	0.35	104.65	145.14	105.25	96.7	79.44	54.24	68.89	74.97	48.94	89.99	103.62	75.98	117.89	9.6	113.72	151.41	0.09	0.33
