	Cux2_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_56	Rorb_tdTpositive_cell_54	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700003L19Rik	0.0	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.0	0.11
1700024P03Rik	0.0	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.0	0.11	0.0	0.11
1700071K01Rik	0.0	0.0	0.0	0.1	0.0	0.1
2410042D21Rik	0.0	0.0	0.12	13.1	13.53	12.96
4930529F24Rik	0.0	0.0	0.0	0.11	0.0	0.11
4930544D05Rik	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.07	0.0	0.07
9230104L09Rik	0.0	0.0	0.0	0.16	0.0	0.16
Abhd14a	0.0	0.0	2.2	37.47	40.65	36.13
Abr	0.0	2.44	0.21	272.97	271.82	286.04
Akr1c12	0.0	0.0	0.0	0.08	0.0	0.08
Arg2	0.0	0.0	0.0	4.55	5.7	5.89
Bpifb4	0.0	0.0	0.0	0.05	0.0	0.05
Ccl27b	0.0	0.81	0.11	30.63	28.29	22.96
Ccny	0.0	0.0	0.0	85.91	82.45	82.71
Ccr3	0.0	0.0	0.0	0.03	0.0	0.03
Ceacam15	0.0	0.0	0.0	0.07	0.0	0.07
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Clec12b	0.0	0.0	0.0	0.07	0.0	0.07
Cox18	0.0	0.0	0.0	16.78	19.06	17.33
Cyp2c55	0.0	0.0	0.0	0.05	0.0	0.05
Cyp3a57	0.0	0.0	0.0	0.06	0.0	0.06
Dnajc5b	0.0	0.0	0.0	0.11	0.0	0.11
Dnalc1	0.06	0.56	0.44	67.35	64.52	65.11
Eml6	0.0	0.14	0.04	11.89	9.76	13.85
Fbxl16	0.0	1.39	0.26	727.21	765.65	765.77
Fmo4	0.0	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.0	0.02	0.0	0.02
Fubp1	0.05	0.64	0.16	49.34	46.34	51.36
Glipr1l1	0.0	0.0	0.0	0.23	0.0	0.23
Gm12633	0.0	0.0	0.0	0.06	0.0	0.06
