	Chrna2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_74	Scnn1a.Tg3_tdTnegative_cell_16	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
4932435O22Rik	0.0	0.0	0.0	0.26	0.11	0.12
Akr7a5	0.0	0.0	0.0	23.99	25.78	25.58
Ankrd28	24.23	0.06	0.0	35.55	34.01	40.01
Ap3s1	0.19	9.42	0.0	84.21	81.49	77.91
Apobec3	0.0	0.0	0.17	3.19	2.71	2.25
Arpc3	148.66	136.56	0.0	244.0	244.99	234.91
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bcar1	12.44	13.69	0.0	38.51	44.38	36.67
Bcr	13.83	21.46	0.0	72.62	70.21	69.03
Bdnf	0.0	0.0	0.0	17.6	15.24	14.28
Bsn	6.49	51.05	0.1	89.93	87.69	106.31
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccl28	0.2	0.0	0.0	0.87	2.26	2.26
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chd8	0.0	19.65	0.0	36.68	34.06	35.86
Cmtm4	0.0	0.0	0.0	59.02	56.14	57.0
Col4a3bp	0.0	0.08	0.0	47.85	44.93	46.75
Csnk1e	0.4	62.97	0.0	87.5	91.6	82.59
Csnk2a2	0.0	0.0	0.0	19.92	21.69	20.2
D030025P21Rik	0.0	0.0	0.0	0.05	0.08	0.04
D16Ertd472e	0.0	0.02	0.0	6.05	4.88	5.33
Dapk1	0.0	12.61	0.0	58.61	61.1	63.88
Ddo	0.0	0.0	0.0	4.83	4.71	4.76
Disp1	0.0	0.0	0.0	3.94	3.58	2.84
Dusp4	0.0	0.0	0.0	11.36	11.55	9.25
Egf	0.0	0.0	0.0	0.8	0.8	0.96
Extl1	0.0	0.0	0.0	50.72	51.07	50.15
F630111L10Rik	0.0	0.0	0.0	0.06	0.06	0.06
F730035M05Rik	0.18	0.7	0.0	1.33	1.57	2.58
Fam131b	0.0	0.11	0.0	111.09	108.93	108.41
Fbxl3	4.0	1.33	1.31	57.07	55.37	56.55
Fbxo4	0.0	0.0	0.0	3.97	4.73	5.07
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxr2	0.0	0.0	0.0	0.77	0.64	0.6
Fzr1	0.0	0.0	0.0	65.81	73.66	66.13
Gcn1l1	0.0	0.0	0.07	28.17	29.42	31.62
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm16576	0.0	0.0	0.05	0.45	0.68	0.54
Gm16853	0.0	0.0	0.0	0.55	0.57	0.42
Gm2002	0.0	0.09	0.0	1.73	1.86	1.4
Gm7367	0.0	0.0	0.0	21.68	31.06	21.61
Gm88	0.0	0.0	0.0	47.98	56.84	50.95
Gpr153	0.0	0.0	0.0	19.99	18.24	20.33
Grap	0.0	0.0	0.0	7.02	6.97	6.9
Hhex	0.0	0.0	0.0	2.76	2.49	3.65
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Il11ra2	0.0	0.09	0.0	1.73	1.86	1.4
Il7r	0.0	0.0	0.0	0.28	0.32	0.32
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Kcnt2	0.0	0.0	0.0	19.36	18.19	17.22
Kdm6a	0.0	0.08	0.0	22.45	14.79	17.17
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lamp1	2.2	0.0	0.0	296.47	313.19	310.97
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lass2	0.14	0.0	0.0	59.33	62.93	62.32
Lgals3bp	0.0	0.0	0.0	15.07	12.26	14.29
Map4k5	0.0	0.1	0.4	31.84	29.24	30.08
March11	0.0	0.0	0.0	4.13	4.92	4.79
Mir3471-1	0.0	0.0	0.0	0.0	2.96	5.25
Mpzl1	0.0	0.75	0.0	23.62	24.81	25.73
Mrps30	0.0	0.0	0.0	25.2	31.88	25.69
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Naa40	0.0	0.0	0.0	29.58	29.36	30.57
Nalcn	0.0	37.82	0.0	54.76	51.66	50.51
Neat1	0.0	0.0	0.19	55.42	57.07	74.72
Nelf	27.4	0.0	0.0	364.64	385.29	388.0
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Odz4	0.0	0.04	0.0	30.76	27.31	33.46
Pacsin3	0.0	0.0	0.0	33.78	36.31	33.02
Ppp3cb	1.4	76.63	0.0	247.23	241.42	227.54
Prdm1	0.0	0.0	0.0	0.59	0.77	0.67
Prr12	0.0	0.0	5.21	24.08	25.31	25.2
Prss8	0.0	0.0	0.0	0.64	0.4	0.17
Ptch1	0.0	0.0	0.0	22.74	21.68	22.39
Rasd2	0.11	0.44	0.23	129.85	133.27	128.26
Reln	0.07	0.0	0.0	26.59	26.5	29.11
Rhou	0.0	0.0	0.0	32.02	36.28	32.18
Sav1	0.0	0.0	0.0	20.32	20.62	18.92
Sbf2	0.0	0.18	0.58	27.17	24.22	28.23
Scyl3	0.0	0.0	0.0	20.83	20.68	21.52
Sec22c	0.56	0.38	0.46	22.99	22.86	22.18
Slc11a1	0.65	1.87	1.88	3.67	2.9	3.54
Slc12a5	97.68	20.86	0.0	303.65	314.89	318.33
Spns2	0.0	0.3	0.0	40.7	41.71	41.05
Spsb1	0.0	0.0	0.0	14.52	15.47	13.49
Star	0.0	0.11	0.0	5.3	4.89	4.77
Stxbp5	0.0	24.09	0.0	43.72	41.03	43.01
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tceal3	0.0	0.0	0.0	171.08	175.14	165.4
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Wrn	0.19	0.25	0.0	6.05	5.77	5.78
Yeats4	0.0	0.0	0.0	43.51	49.02	47.64
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	126.64	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
