	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_77	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700007J10Rik	1.67	3.87	1.23	2.85	1.75	2.38
1700026D11Rik	0.0	0.79	0.0	0.25	0.11	0.0
1700054M17Rik	0.0	17.14	0.0	0.24	0.0	0.0
2410017P09Rik	5.23	56.14	0.0	5.73	6.42	7.12
4732415M23Rik	0.0	38.46	0.0	2.83	3.24	4.6
4930448I06Rik	1.07	4.3	0.0	1.36	1.12	1.43
4931430N09Rik	0.0	44.43	0.0	0.09	0.04	0.0
4931440F15Rik	0.0	7.57	0.0	0.49	0.76	0.55
4933405D12Rik	3.44	6.3	1.16	5.68	3.61	4.31
4933411E08Rik	0.0	1.55	0.61	1.6	1.48	1.87
6230400D17Rik	0.0	34.78	0.0	5.56	5.33	3.35
9130221H12Rik	0.0	56.9	0.0	11.45	12.86	13.24
9230105E05Rik	0.0	0.5	0.0	0.08	0.04	0.18
9530059O14Rik	1.6	31.72	0.0	0.05	0.05	0.15
A630007B06Rik	0.0	62.96	0.0	22.89	20.11	23.41
Acaa1b	0.0	3.66	0.0	1.0	1.05	0.65
Adamtsl4	0.0	23.32	0.0	4.26	4.85	6.1
Agbl4	0.0	98.4	0.0	10.36	9.73	9.17
Anubl1	0.0	40.96	0.0	3.86	3.71	4.22
Apaf1	0.0	20.29	0.0	7.55	7.54	6.56
Apbb2	4.48	102.71	0.0	24.53	26.17	25.18
Artn	0.0	2.26	0.0	0.14	0.81	0.66
B230378P21Rik	0.0	1.0	0.0	0.26	0.1	0.11
BC048546	0.0	18.53	0.0	4.39	3.46	2.85
BC048679	0.0	4.3	0.0	0.0	0.0	0.0
Birc2	20.24	132.54	0.0	28.27	26.13	25.81
C4bp-ps1	0.0	6.36	0.0	0.14	0.38	0.84
Camp	0.0	16.35	0.0	0.0	0.0	0.0
Ccdc18	0.0	14.92	0.0	0.57	0.44	0.52
Ccdc57	0.0	32.25	0.0	7.35	8.83	8.33
Ccdc81	0.0	10.38	0.0	0.7	0.83	0.91
Ccdc86	0.0	31.32	0.0	7.35	6.58	6.66
Cdc25a	0.0	44.77	0.0	3.58	4.21	3.39
Cep110	0.0	11.24	0.0	6.99	6.26	8.11
Chd1	2.51	26.11	0.0	9.42	9.07	9.54
Clcn1	0.0	11.75	0.0	2.11	1.88	1.6
Clstn2	0.0	129.9	0.0	54.08	55.01	58.31
Cutc	0.0	174.53	0.0	7.39	6.11	8.65
Cyb561	8.91	152.72	0.0	66.46	71.89	69.31
D030018L15Rik	0.0	0.11	0.0	0.02	0.05	0.03
Dck	4.8	171.36	0.0	23.88	26.51	24.32
Depdc1a	0.0	45.21	0.0	0.08	0.07	0.09
Dnajb4	0.0	215.02	0.0	57.11	52.57	46.92
EU599041	0.0	1.01	0.0	0.15	0.15	0.17
Ebp	0.0	98.21	13.08	16.85	15.78	15.92
Efnb1	0.0	21.56	0.0	11.8	12.13	10.79
Enox	1.9	47.86	0.32	5.72	4.12	4.5
Enpep	0.0	17.61	0.0	1.98	2.51	2.26
F8	0.0	20.8	0.0	0.87	0.82	1.03
Fam190a	2.78	42.63	0.0	5.45	5.1	6.09
Galnt13	2.63	35.31	0.0	13.59	12.1	13.48
Gcet2	0.0	0.11	0.0	0.07	0.08	0.07
Gm12130	0.0	0.15	0.0	0.0	0.0	0.0
Gm1564	0.0	16.35	0.0	0.32	0.38	0.35
Gm6194	0.0	0.25	0.0	0.0	0.07	0.0
Gstk1	0.0	69.36	0.0	13.62	12.53	13.95
Haus3	0.0	50.44	0.0	5.94	5.02	6.08
Heatr3	3.79	109.1	0.0	27.9	27.54	28.26
Itgb3	0.0	41.2	0.0	2.24	2.51	2.6
Kcnip2	0.0	131.03	0.0	151.98	157.86	170.36
Kcnk10	0.0	46.51	0.0	4.25	4.33	3.7
Lta4h	0.0	174.93	0.0	41.83	42.66	43.23
Mcm5	2.38	11.02	1.77	4.66	5.54	5.62
Mir488	0.0	7.15	0.0	0.0	0.0	0.0
Mir546	0.0	35.96	0.0	0.0	0.0	0.0
Mir695	0.0	71.49	0.0	0.0	0.0	0.0
Mre11a	0.76	51.73	0.0	8.2	7.77	7.87
Myd88	0.0	19.18	0.0	6.36	5.94	6.19
Nab1	1.5	70.93	0.0	11.34	9.76	11.32
Narf	0.0	139.42	0.0	36.27	35.36	33.51
Ncoa6	6.78	51.54	0.0	32.74	31.16	34.66
Nlrp9b	0.0	0.45	0.0	0.0	0.02	0.0
Pcdhb3	0.36	48.29	0.0	3.62	4.36	3.71
Pklr	0.0	0.99	0.0	0.07	0.0	0.19
Poll	0.0	119.43	0.0	8.56	9.86	7.65
Prkg1	0.07	20.28	0.0	5.98	5.38	6.26
Rab23	0.11	41.16	0.0	17.42	17.23	15.6
Rai12	51.65	282.06	0.0	75.21	76.08	69.76
Rbbp5	0.0	95.71	0.0	38.86	37.78	36.87
Rdh5	0.0	15.65	0.0	2.87	2.47	3.29
Recql	0.0	114.46	0.0	16.14	16.77	16.04
Rpph1	0.0	162.73	0.0	0.0	0.0	0.35
Rps19-ps3	0.0	29.7	0.0	2.87	2.71	4.43
Rrp15	3.11	95.53	0.0	12.76	15.22	12.57
S100g	0.0	8.73	0.0	0.0	0.0	0.0
Sgpp2	0.23	52.22	0.28	14.82	14.16	14.42
Shcbp1	0.0	56.22	0.0	0.88	0.92	0.91
Smad5	8.39	32.96	0.0	17.72	16.72	16.48
Snora34	0.0	73.05	0.0	15.62	10.19	11.16
Snord42b	0.0	23.2	0.0	21.63	5.09	5.58
Stra8	0.0	0.26	0.0	0.0	0.0	0.0
Stradb	23.24	125.12	0.0	43.46	44.24	43.54
Sumf2	4.32	79.09	0.0	15.81	16.8	15.29
Suox	0.0	78.76	0.0	11.7	11.65	11.16
Tex10	0.0	86.22	0.0	13.97	14.72	13.53
Tmem54	0.0	2.16	0.0	0.19	0.35	0.19
Tpk1	0.0	50.84	0.0	2.47	1.96	2.42
U05342	0.0	7.5	0.0	0.0	0.0	0.0
Unc5d	3.69	27.0	0.0	19.17	15.33	20.3
Usp6nl	2.05	27.33	0.0	13.34	12.68	14.59
Xrcc5	0.0	59.53	0.0	17.82	16.53	17.67
Yipf1	61.06	222.68	0.0	45.98	48.95	40.34
Zfp109	15.68	50.27	0.0	6.99	7.45	6.67
Zfp82	0.0	83.81	0.0	5.91	4.85	5.05
Zmym6	24.19	67.98	0.0	30.47	25.58	30.42
c11_tRNA-Glu-GAG_	0.0	1.46	0.0	0.0	0.0	0.0
c12_tRNA-Lys-AAG	0.0	14.23	0.0	0.0	0.0	0.0
c15_tRNA-Ala-GCY_	37.22	45.64	0.0	43.97	40.89	51.24
c18_5S	0.0	133.42	0.0	0.0	0.0	2.14
c1_tRNA-Glu-GAG_	0.0	5.82	0.0	0.0	0.0	0.0
c1_tRNA-Lys-AAG	0.0	23.19	0.0	0.0	0.0	0.0
c3_tRNA-Glu-GAA	0.0	2.91	0.0	0.0	0.0	0.0
c3_tRNA-Glu-GAG_	0.0	2.91	0.0	0.0	0.0	0.0
c6_tRNA-Arg-AGG	0.0	160.06	0.0	0.0	0.0	0.0
c9_tRNA-Lys-AAG	0.0	14.23	0.0	2.56	0.0	0.0
mt_AK131586	0.01	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
