	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_67	Cux2_tdTnegative_cell_16	Ndnf_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_14	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_25	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_31	Scnn1a.Tg3_tdTpositive_cell_33	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTnegative_cell_22	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27
2210018M11Rik	7.2	2.11	42.25	267.78	187.13	10.04	68.33	0.0	0.0	53.77	0.0	1.23	0.0	189.87	11.17	0.8	0.0	350.95	0.0	35.99	65.27	2.98	0.0	0.0
6030408B16Rik	2.26	7.25	4.56	10.5	16.29	26.43	11.27	6.08	4.0	4.68	4.15	5.76	0.8	15.48	3.12	22.03	0.0	13.17	0.18	2.62	1.08	1.08	3.21	0.94
Appbp2	2.11	11.99	0.0	0.16	232.05	10.92	53.45	0.15	94.68	0.12	0.16	34.95	0.26	252.35	43.13	50.04	0.0	166.42	0.0	0.0	0.0	0.0	0.0	49.7
Arl6ip5	278.53	270.15	332.38	796.1	412.94	227.24	612.19	646.43	396.57	287.78	252.49	43.71	1.43	600.28	437.94	348.12	159.29	553.12	0.0	145.04	247.07	75.56	210.54	52.75
Cd3eap	66.32	9.92	3.74	94.71	143.68	3.25	53.24	107.11	12.72	112.56	1.67	0.21	0.0	21.68	90.08	61.53	0.48	59.46	0.16	22.95	2.54	2.27	45.75	5.94
Crtc3	0.23	0.27	0.27	0.51	0.77	0.15	16.48	0.52	0.37	0.17	1.02	0.15	0.0	0.63	3.89	0.43	0.0	0.59	0.13	0.17	0.47	0.14	0.07	8.87
D16H22S680E	198.07	196.53	0.32	356.55	354.55	0.0	387.69	575.54	218.19	346.96	0.76	290.64	0.42	579.51	321.45	366.65	1.13	237.26	0.0	88.13	156.77	47.55	375.61	297.84
Fam114a2	119.44	48.85	22.0	2.35	231.83	0.0	99.77	92.68	0.0	11.82	143.69	0.0	0.0	290.11	38.2	0.0	0.0	210.24	0.0	0.0	0.8	0.0	0.23	17.86
Fundc2	45.61	0.17	0.1	0.0	211.25	1.43	51.02	0.63	48.02	68.28	0.12	9.96	0.74	273.34	4.35	84.39	0.0	204.05	0.09	0.27	42.77	50.51	7.64	0.0
Gm10190	0.4	2.63	2.55	1.99	5.45	1.14	7.92	2.32	1.67	2.76	1.8	1.83	0.0	2.37	3.65	1.1	0.0	3.11	0.09	1.94	1.84	0.73	2.07	1.01
Liph	0.43	1.28	0.65	0.58	1.79	0.53	0.63	1.62	0.41	0.54	1.06	0.73	0.0	1.7	0.64	1.12	0.0	2.12	0.1	0.55	0.45	0.09	0.28	0.41
Pigr	0.32	0.89	1.16	0.88	3.11	0.81	1.23	1.01	0.88	1.3	0.77	0.61	0.0	1.32	2.28	0.82	0.45	1.82	0.0	0.46	1.63	0.63	0.43	0.36
Poldip3	132.77	251.91	0.0	248.98	721.32	252.98	255.23	545.41	197.45	211.9	549.5	351.12	0.0	689.64	147.97	199.1	163.48	715.3	0.0	189.74	51.52	139.43	233.89	239.02
Ppp3cb	143.84	128.59	30.0	25.75	157.29	0.0	78.34	98.55	34.03	50.03	0.19	31.65	0.0	92.51	151.36	48.15	2.72	136.04	0.0	156.25	64.48	65.63	127.17	2.18
Ptgfr	0.0	0.53	0.34	0.25	0.52	0.14	1.36	0.79	0.15	0.28	0.58	0.13	0.15	1.0	0.44	0.36	0.0	1.05	0.0	0.1	0.21	0.15	0.0	0.08
Rpp14	7.41	0.0	0.0	215.44	231.38	0.0	0.29	152.96	200.21	0.12	0.0	0.0	0.0	222.02	129.78	131.39	0.0	246.13	0.0	0.0	0.42	108.67	106.15	197.41
Runx3	0.0	0.83	0.12	0.79	0.78	0.85	0.61	0.18	0.18	0.01	0.7	0.0	0.14	1.34	0.52	0.42	0.14	1.36	0.0	0.55	0.39	0.0	0.09	0.16
Srsf11	59.4	112.02	71.36	69.15	147.34	118.21	91.31	203.69	20.03	76.85	171.56	36.19	0.38	263.93	140.28	42.27	0.0	100.39	0.0	4.88	69.56	95.82	0.67	33.71
Stmn1	10587.49	9820.07	7760.35	8447.28	7697.3	11391.73	10862.63	12096.72	10267.64	7791.86	13005.25	11961.92	6980.74	5743.13	7448.32	10665.83	7149.08	7087.31	2345.2	7642.92	8937.9	12161.23	10051.01	11287.74
Thoc2	42.17	10.6	0.0	19.22	164.73	51.32	21.04	53.13	1.25	1.08	7.71	16.85	0.0	92.56	67.4	67.73	0.0	101.01	0.0	57.63	83.98	49.53	20.7	40.99
Trak2	4.19	57.09	0.0	61.18	0.0	38.21	22.82	0.0	0.77	40.16	31.33	0.0	0.0	78.72	18.55	42.0	0.0	78.6	0.0	0.0	0.33	1.94	7.55	20.02
Zbtb11	9.07	45.99	20.47	42.93	125.1	20.55	17.37	22.15	8.78	26.15	20.79	0.98	0.0	88.69	70.22	72.58	0.0	29.27	0.0	0.0	44.17	16.25	20.83	13.07
Zfp781	3.64	10.95	13.55	300.68	148.47	69.19	16.71	244.85	11.97	89.25	167.66	23.06	7.08	189.44	18.71	11.65	2.59	116.05	1.53	14.12	74.95	2.97	10.29	4.87
