	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_55	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_64	Pvalb_tdTpositive_cell_65	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_84	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_24	Tac2_tdTpositive_cell_7	Tac2_tdTpositive_cell_8
1300018I17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21	0.0	1.03	0.0	17.83	0.0	6.63	0.28	20.1	29.02	0.0	0.0	0.0	18.89	11.08	0.0	84.48	1.91	3.49	8.51	11.15	32.65	48.6	8.09	23.67	4.04	18.55	39.47	0.0	25.21	3.88	40.35	54.28	0.75	0.85	0.21	0.0	0.0	0.0	0.0	0.87	0.0	0.41	0.0
A330023F24Rik	0.0	0.0	4.7	0.0	18.16	6.12	4.28	27.58	9.99	48.95	49.82	16.71	12.39	9.08	18.36	56.53	3.18	7.86	6.19	14.35	45.68	9.0	8.06	130.21	6.94	1.85	32.66	46.43	4.86	3.43	27.81	4.2	16.99	19.63	26.8	51.61	25.2	10.07	46.25	24.97	26.22	24.29	36.96	0.0	0.0	0.07	0.0	0.0	0.0	3.76	1.55
Ap3s1	0.0	0.0	23.35	0.41	0.0	0.17	15.47	11.28	3.18	24.76	0.84	0.0	1.72	0.0	18.51	0.37	0.76	27.57	8.05	0.0	17.69	0.0	1.71	84.31	0.52	16.69	33.32	50.76	0.0	4.43	69.46	0.84	1.81	1.38	0.0	52.04	0.0	14.11	25.16	29.56	53.36	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.0	7.14	0.0
Apba2	0.0	0.0	7.6	4.69	21.46	12.63	2.3	24.49	1.85	15.59	31.29	4.74	0.0	23.46	9.72	27.19	25.99	18.62	36.05	0.0	49.97	9.16	0.08	107.45	9.23	0.45	67.24	10.5	1.84	29.62	36.05	33.59	10.37	0.15	17.12	17.98	0.12	27.36	83.0	12.2	23.14	0.2	17.16	0.41	0.0	0.11	0.0	0.0	0.0	18.79	0.39
Asb13	2.35	0.0	91.75	0.8	161.33	82.46	0.75	144.51	164.22	1.51	78.31	117.42	117.3	285.5	132.98	41.81	62.86	143.11	210.88	20.64	31.92	88.71	91.26	343.06	101.91	323.57	105.99	104.03	66.24	268.21	287.36	208.97	195.63	153.5	104.64	185.79	42.17	121.56	122.05	52.68	223.34	96.38	179.11	2.09	1.62	4.68	2.35	0.0	1.62	55.05	2.77
Bcl2l1	0.0	0.0	134.17	0.25	43.0	28.87	19.82	5.48	77.25	41.78	31.48	0.69	11.26	58.1	123.71	5.05	22.45	81.68	50.28	42.44	0.0	0.0	0.0	81.3	0.0	163.73	19.8	0.0	89.58	124.05	61.13	88.32	128.37	86.33	67.63	2.64	25.3	0.0	30.0	1.34	0.0	95.92	50.28	0.0	0.59	0.62	0.0	0.0	0.0	41.26	1.1
Brms1l	0.0	0.0	84.73	0.47	96.28	88.22	38.24	75.25	169.55	79.74	49.97	85.18	0.0	113.11	57.04	195.01	277.95	226.68	9.38	224.59	39.55	95.61	55.52	308.49	0.74	4.22	73.26	134.27	61.75	39.62	136.07	37.62	16.22	20.39	0.17	27.52	41.12	136.81	118.56	87.98	266.56	75.23	63.07	0.0	0.14	11.2	0.0	0.0	0.0	51.84	0.0
Camta2	0.0	0.0	12.93	0.0	13.5	0.0	0.0	7.67	32.98	0.0	19.71	10.49	7.99	0.14	18.09	0.0	1.45	0.13	1.35	0.17	1.1	17.06	4.04	30.09	15.0	2.32	0.0	1.21	0.05	25.21	14.68	0.09	0.41	0.98	4.4	0.14	0.63	18.81	24.63	20.11	28.53	0.0	0.0	0.15	0.0	3.58	0.0	0.0	0.0	26.04	18.15
Cap2	0.0	0.0	65.73	0.65	94.9	29.58	152.4	97.84	133.98	113.92	51.06	109.03	108.27	51.33	97.79	85.7	76.61	100.91	37.78	34.51	62.24	42.29	71.74	282.53	25.6	42.16	156.27	65.25	47.95	69.18	39.47	165.53	15.52	136.77	193.14	76.01	23.11	21.83	135.99	95.12	90.77	40.52	107.59	0.19	0.57	0.4	0.0	0.0	0.0	36.39	44.79
Ccdc101	0.0	0.0	104.6	0.0	112.66	69.7	83.56	39.78	91.12	75.09	30.69	185.73	107.93	114.02	222.02	0.0	71.22	0.0	29.81	55.2	102.86	48.88	2.68	248.52	0.0	87.89	72.0	36.06	107.92	46.11	0.66	0.36	91.29	124.98	64.99	69.44	14.65	0.0	151.71	70.23	9.06	0.0	118.89	0.0	0.0	0.33	0.0	0.0	0.0	0.0	72.62
