	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_17	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_107	Htr3a_tdTpositive_cell_111	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_159	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110007C09Rik	0.0	0.0	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.88	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	5.64	2.03	5.19	2.35	0.45	2.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	11.17	14.82	14.28
1110035M17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	18.85	0.0	0.0	72.73	221.29	0.0	73.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.05	9.5	25.48	14.66	10.54	10.64	0.0	0.0	0.59	0.0	129.54	0.0	0.0	0.0	0.0	0.0	6.03	5.32	5.63
1110054O05Rik	21.28	15.71	46.75	2.2	0.71	19.64	40.97	0.0	0.1	0.25	22.82	5.52	75.22	0.0	43.38	0.28	17.55	0.43	163.65	78.37	0.05	0.19	0.15	3.84	0.0	0.0	0.13	0.0	16.2	4.8	11.0	9.27	11.53	8.72	1.1	43.59	0.13	0.0	75.26	0.0	56.95	0.0	0.47	4.31	15.05	13.57	14.75
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1810044D09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	58.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	1.63	0.67
2810408M09Rik	0.2	0.17	0.0	0.83	5.8	1.19	0.0	1.15	0.18	0.44	0.0	0.58	0.45	0.57	0.48	0.52	0.28	0.47	117.45	1.64	0.34	0.2	0.67	0.42	0.34	0.81	0.49	1.0	1.66	0.41	5.06	4.02	1.37	1.51	0.28	0.16	0.3	0.0	0.0	0.33	0.16	0.89	0.0	0.25	20.07	24.51	22.35
4732491K20Rik	41.83	0.0	0.0	0.0	7.2	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	89.16	0.0	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1	5.84	4.41	4.87	7.46	6.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.5	0.0	3.23	2.95	3.36
5430402O13Rik	0.0	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.51	0.0	0.0	0.0	0.0	0.0	99.13	0.0	0.0	0.0	0.0	0.0	1.76	1.66	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.02	1.56
6430527G18Rik	1.86	5.39	7.18	11.88	4.89	0.0	10.55	0.0	0.0	2.84	4.79	6.69	10.8	0.0	1.65	3.09	28.86	0.04	33.07	4.54	13.68	2.03	1.2	7.8	8.18	14.81	4.7	7.64	3.63	2.24	9.02	5.9	3.32	5.62	2.18	4.79	13.72	0.14	0.14	0.17	8.8	0.0	3.67	0.0	62.46	66.67	51.85
AI480653	0.0	0.0	15.3	0.0	0.0	0.0	4.53	0.0	105.45	80.33	0.0	0.0	0.12	0.0	0.11	0.11	0.0	0.0	124.58	29.38	0.0	37.33	0.0	0.0	0.0	0.0	0.0	0.0	9.41	14.46	0.19	5.08	7.39	6.55	0.0	0.0	55.91	0.0	0.0	0.0	0.0	0.0	0.0	76.59	21.82	22.85	21.25
