	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_50	Scnn1a.Tg3_tdTpositive_cell_59
1700034K08Rik	0.0	0.0	3.65
2310042D19Rik	0.0	0.0	0.1
4930431P03Rik	0.0	0.0	0.18
4933406G16Rik	0.0	0.0	0.29
4933427D06Rik	0.0	0.0	0.39
4933429O19Rik	0.0	0.0	0.26
Abcc4	0.0	0.0	0.07
Angptl1	0.0	0.0	0.19
Angptl2	0.0	0.0	0.12
Atoh7	0.0	0.0	39.53
BC024479	0.0	0.0	79.44
Bmp2k	0.0	0.0	0.06
Brip1	13.25	8.17	39.16
Btbd8	0.0	0.0	4.17
Cep135	0.0	0.0	22.5
Cldn1	0.0	0.0	0.13
Cryba2	0.0	0.0	46.86
Cxxc1	0.0	0.0	39.31
D630045M09Rik	6.68	5.84	9.86
Dapk2	0.0	0.0	0.24
Dchs1	0.0	0.0	1.12
Ddo	0.0	0.0	0.24
Dem1	0.0	0.0	15.2
Edaradd	0.0	0.0	0.06
Eml6	0.0	0.36	13.23
Esyt3	0.0	0.0	0.09
Fam129c	0.0	0.0	11.27
Fgd1	0.0	0.0	0.26
Frs2	0.0	0.0	0.07
Fyco1	20.88	30.79	77.93
Gm10125	0.0	0.0	5.06
Gm10825	0.0	0.0	0.17
Gm14057	0.0	0.0	65.54
Gm15706	0.0	0.0	0.12
Gm5108	0.8	0.0	33.63
Gm5465	0.0	0.0	0.14
Gm5531	32.41	18.91	69.18
Gm9776	9.9	3.6	16.68
Gpr107	0.0	0.0	48.39
Gpr116	0.0	0.0	0.05
Gpr165	0.0	0.0	0.24
Grap2	0.0	0.0	0.14
Gucy2e	0.0	0.0	0.09
Inpp5j	0.0	0.0	0.96
Mc1r	1.08	1.09	4.61
Mcpt9	0.0	0.0	0.1
Mir466f-2	0.0	0.0	17.44
Mre11a	0.0	0.0	46.23
Ms4a4c	0.0	0.0	0.24
Nkain3	3.46	0.72	24.03
Obsl1	0.0	0.0	0.07
Padi4	0.67	0.0	3.78
Pak1	2599.96	2557.48	2101.54
Pank3	0.0	0.0	0.06
Pappa	0.0	0.0	0.07
Pax6	0.0	0.0	0.81
Pdcd2	0.0	0.0	15.36
Ptprb	0.0	0.0	0.03
Pydc3	0.18	0.0	2.92
Rac3	0.0	0.0	0.4
Rnf31	0.0	0.0	0.49
Rtbdn	0.0	0.0	1.57
Sart3	0.0	0.0	0.12
Sass6	1.12	0.74	42.04
Sh3bp5l	0.0	0.0	0.28
Shc1	0.0	0.0	0.13
Slc16a9	0.0	0.0	0.12
Slc5a12	0.11	0.35	1.15
Slc6a18	5.95	3.36	7.71
Sox8	0.0	0.0	0.14
Tbl2	0.0	0.0	0.48
Tcp11l1	0.0	0.0	0.24
Tctn1	0.0	0.0	0.2
Tex13	0.0	0.0	0.2
Tmem185b	0.0	0.0	0.4
Tnfrsf13c	0.0	0.0	0.88
Trim30b	0.0	0.0	0.29
Tsga13	0.0	0.0	12.8
Tubal3	0.0	0.0	0.65
Zcwpw1	0.0	0.0	41.09
Zfp13	0.0	0.0	0.2
Zfp408	0.14	1.59	6.44
Zfp568	0.0	0.0	0.06
c13_5S	0.0	0.0	34.93
c19_tRNA-Ala-GCA	0.0	0.0	41.59
c1_tRNA-Ala-GCY_	0.0	0.0	210.0
