	Chrna2_tdTpositive_cell_43	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_2	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_30	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_81	PvalbD.Slc32a1_tdTpositive_cell_2	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_66	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_174	Scnn1a.Tg3_tdTnegative_cell_24	Tac2_tdTpositive_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110017D15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.8	0.0	0.0	0.0	0.0	0.0	1.82	3.21	3.68
1300018J18Rik	0.23	8.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.44	0.0	0.0	0.7	0.0	0.0	37.93	0.0	0.0	0.0	3.87	0.0	82.7	0.0	0.0	0.0	0.0	0.0	22.11	24.19	21.88
2310002D06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.68	0.0	0.0	0.0	0.0	0.0	2.48	2.92	3.78
5730422E09Rik	0.53	0.0	0.0	0.27	0.81	0.0	0.7	7.59	0.92	0.0	0.0	3.73	0.0	0.0	0.23	0.2	0.0	0.0	0.0	0.42	0.09	0.0	0.26	0.0	7.35	0.0	0.23	0.7	0.0	1.1	0.18	0.75	0.8
AU023871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.05
Accsl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.13	0.0	0.0	0.0	0.0	0.0	0.18	0.09	0.47
Actl9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.49	0.0	0.0	0.0	0.0	0.0	0.44	0.07	0.53
Akr1b8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.03	0.0	0.0	0.0	0.0	0.0	1.18	0.74	0.81
Atp5d	160.6	66.02	0.0	0.0	0.52	18.06	0.71	243.09	197.85	3.61	0.0	1.18	22.51	2.56	0.0	173.16	23.67	14.94	69.46	112.22	136.06	401.27	409.74	398.76	398.6	115.58	119.25	10.69	0.0	65.33	268.79	314.1	289.14
Atp6v1h	271.93	291.08	0.0	0.71	189.62	154.91	44.36	1.26	294.43	180.31	626.17	8.04	563.3	342.49	0.39	358.65	461.75	184.36	519.53	352.97	261.33	437.88	625.5	679.18	662.02	675.63	563.81	220.8	190.74	553.16	229.87	238.14	210.3
B230209E15Rik	1.07	14.81	0.0	0.45	0.68	2.87	1.31	19.34	87.67	4.7	1.18	0.51	0.0	72.92	0.94	51.51	29.55	37.54	3.69	49.8	49.57	30.03	51.06	30.81	125.52	4.87	11.51	450.84	0.0	90.71	47.95	34.28	46.4
B230217C12Rik	138.98	177.15	0.0	0.0	0.8	1.49	0.0	30.78	333.68	187.08	0.0	8.19	183.45	242.25	0.0	112.27	130.53	56.45	57.37	0.0	226.8	107.64	254.13	89.3	428.55	98.04	284.91	1.03	0.0	283.27	89.78	91.69	88.27
BC024479	0.0	0.0	0.0	0.0	601.98	0.0	0.0	0.43	4.64	0.09	0.0	0.0	36.03	3.25	0.0	0.14	6.94	0.0	0.0	0.0	12.05	0.0	0.0	55.67	105.2	82.14	36.99	0.0	0.0	0.0	12.05	14.24	11.06
Bend4	0.07	0.0	0.06	0.0	0.0	0.21	0.06	0.07	0.34	0.0	0.12	0.27	6.53	38.52	0.15	22.69	0.0	18.85	43.58	0.13	3.48	0.09	0.0	34.57	63.67	64.75	31.54	0.0	0.0	97.13	4.68	4.2	4.27
Brp44	33.94	0.0	0.0	0.0	0.0	0.0	0.0	19.44	4.97	53.52	46.99	2.59	13.51	4.21	0.0	183.76	25.27	16.38	17.22	65.76	43.35	148.59	499.82	286.73	237.71	226.44	18.85	1.47	0.0	125.75	125.55	139.95	126.55
