	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_12	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_15	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610010B08Rik	7.28	1.89	3.11	0.0	0.18	0.0	0.0	23.23	15.45	21.51	19.85	11.48	0.0	6.18	4.8	13.31	0.23	5.13	0.4	0.86	0.7	15.56	35.14	0.14	55.2	4.22	2.36	0.31	0.39	0.1	5.22	10.31	20.52	0.09	1.73	4.67	3.8	19.45	0.91	2.43	0.19	13.76	12.32	0.02	0.3	0.26	1.99	11.01	15.08	2.13	7.46	0.22	11.21	7.02	5.74	19.64	11.05	16.68	12.04	22.39	18.34	25.87
1700007P06Rik	4.91	3.5	5.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.47	4.51	0.0	0.21	7.97	0.0	0.0	0.0	1.85	0.0	0.0	0.0	7.13	0.0	0.0	0.0	0.0	0.0	0.0	2.62	0.83	0.0	0.0	0.0	0.0	1.33	0.0	0.37	0.0	0.0	0.0	0.32	2.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.08	16.17	7.27	5.01	2.22	3.97	3.17	4.29
1700029F12Rik	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.47	0.0	2.33	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.25	0.0	0.05	0.0	0.82	0.0	1.86	0.0	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.38	0.0	0.35	0.25	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.6	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.82	0.79	0.68	1.0	0.22	0.58	0.11	0.44
1700047I17Rik2	6.75	0.66	3.78	5.1	2.63	0.8	2.15	5.1	16.25	15.13	16.63	10.18	0.0	0.75	7.92	4.6	0.97	5.07	19.24	14.74	10.07	22.21	2.3	7.08	3.74	10.01	22.97	5.51	4.19	4.03	5.27	9.6	1.07	11.48	12.89	15.79	11.15	2.03	3.87	8.65	17.02	12.08	16.78	1.12	0.0	8.46	18.26	23.92	11.71	8.08	15.19	2.86	6.64	1.29	14.42	11.21	10.72	13.41	19.02	17.56	16.4	17.92
2010015L04Rik	7.22	3.24	0.98	0.15	0.0	0.0	0.0	6.65	13.21	14.61	8.49	9.58	0.0	1.38	4.85	5.93	1.28	0.72	5.5	2.74	9.6	3.34	5.48	5.11	4.1	5.87	2.29	6.27	6.24	5.73	5.0	4.47	0.84	3.64	6.5	4.73	1.57	64.32	91.89	10.12	0.78	30.9	23.59	0.12	0.0	0.25	1.94	0.99	6.12	8.18	8.34	3.76	1.73	0.94	26.85	17.05	10.82	14.43	21.84	26.78	23.24	23.3
Amy2a2	0.3	0.17	0.0	0.0	0.0	0.07	0.0	0.15	0.15	0.09	0.12	0.51	0.0	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.18	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.25	0.03	0.0	0.04	0.02	0.0	0.06	0.09	0.08	0.0	0.12	0.13	0.33	0.6	0.31	0.24	0.21	0.26	0.19	0.21
Amy2a3	0.3	0.17	0.0	0.0	0.0	0.07	0.0	0.15	0.15	0.09	0.12	0.51	0.0	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.18	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.25	0.03	0.0	0.04	0.02	0.0	0.06	0.09	0.08	0.0	0.12	0.13	0.33	0.6	0.31	0.24	0.21	0.26	0.19	0.21
Amy2a4	0.3	0.17	0.0	0.0	0.0	0.07	0.0	0.15	0.15	0.09	0.12	0.51	0.0	0.13	0.06	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.03	0.2	0.1	0.07	0.17	0.18	0.05	0.11	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.09	0.05	0.22	0.25	0.03	0.0	0.04	0.02	0.0	0.06	0.09	0.08	0.0	0.12	0.13	0.33	0.6	0.31	0.24	0.21	0.26	0.19	0.21
Ap1s2	41.3	0.21	0.0	0.0	0.0	0.0	0.0	0.0	25.3	38.63	90.58	1.89	0.0	0.0	0.0	0.0	0.04	0.0	9.25	5.23	0.07	3.78	0.0	0.0	0.0	8.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.93	0.43	10.64	8.83	9.72
Atf2	128.71	61.3	144.61	0.0	0.0	0.0	0.0	87.24	207.37	73.42	329.52	0.3	0.1	91.25	171.46	8.7	0.86	35.29	95.63	72.09	158.43	139.39	172.11	102.39	133.82	37.46	55.43	63.63	68.72	30.69	46.22	111.41	74.59	47.4	91.51	52.6	65.7	86.1	175.32	103.24	234.43	50.81	57.55	0.19	1.56	0.0	7.91	94.02	138.48	59.55	66.91	155.5	37.91	76.41	117.03	92.86	55.92	114.23	73.96	71.15	66.15	68.63
