	Chrna2_tdTpositive_cell_2	Chrna2_tdTpositive_cell_7	Chrna2_tdTpositive_cell_19	Chrna2_tdTpositive_cell_21	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_37	Chrna2_tdTpositive_cell_39	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_56	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_78	Gad2_tdTpositive_cell_72	Htr3a_tdTpositive_cell_78	Nkx2.1_tdTpositive_cell_16	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_36	Sst_tdTpositive_cell_40	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_61	Sst_tdTpositive_cell_62	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_67	Sst_tdTpositive_cell_73	Sst_tdTpositive_cell_76	Sst_tdTpositive_cell_77	Sst_tdTpositive_cell_88	Sst_tdTpositive_cell_102	Sst_tdTpositive_cell_107
1700034H15Rik	5.47	2.3	1.09	2.99	1.8	2.07	1.82	1.73	1.81	0.32	2.78	0.24	1.89	2.77	2.21	0.24	0.1	1.93	3.18	3.11	1.5	2.3	0.34	2.77	2.95	2.57	1.09	3.72	8.38	0.23	1.25
2310010M20Rik	10.6	20.16	14.32	17.23	8.21	7.36	13.26	8.48	12.0	4.28	5.94	3.89	6.9	17.37	20.23	4.7	1.7	12.38	13.99	8.92	10.07	18.79	9.25	16.6	15.03	16.51	9.38	13.6	27.5	7.04	6.96
5430427O19Rik	9.23	5.69	4.38	2.4	2.25	3.21	5.11	1.99	2.61	1.04	0.17	0.0	1.98	5.79	6.33	1.05	0.0	2.14	3.92	5.75	1.47	5.92	3.23	3.76	20.16	9.01	1.28	5.3	13.01	1.59	2.1
Amy2a2	0.06	0.08	0.09	0.2	0.0	0.05	0.05	0.0	0.04	0.01	0.0	0.01	0.07	0.17	0.32	0.02	0.0	0.06	0.42	0.47	0.08	0.23	0.0	0.09	0.61	0.52	0.25	0.13	0.2	0.02	0.0
Amy2a3	0.06	0.08	0.09	0.2	0.0	0.05	0.05	0.0	0.04	0.01	0.0	0.01	0.07	0.17	0.32	0.02	0.0	0.06	0.42	0.47	0.08	0.23	0.0	0.09	0.61	0.52	0.25	0.13	0.2	0.02	0.0
Amy2a4	0.06	0.08	0.09	0.2	0.0	0.05	0.05	0.0	0.04	0.01	0.0	0.01	0.07	0.17	0.32	0.02	0.0	0.06	0.42	0.47	0.08	0.23	0.0	0.09	0.61	0.52	0.25	0.13	0.2	0.02	0.0
Atp10b	0.78	0.38	0.11	0.1	0.04	0.12	0.0	0.07	0.09	0.08	0.0	0.0	0.05	0.0	0.13	0.0	0.0	0.08	0.11	0.09	0.09	0.14	0.11	0.35	0.14	0.0	0.0	0.11	0.15	0.06	0.06
Btbd16	23.53	17.56	8.24	10.31	6.15	9.04	11.22	8.94	5.86	3.66	2.66	2.99	6.48	16.04	14.61	3.04	1.13	12.45	14.22	24.24	7.33	15.97	5.04	14.59	11.49	27.35	3.1	10.35	16.23	4.29	8.13
Csf2rb2	8.82	7.2	2.48	4.16	0.65	5.0	2.6	0.99	4.54	0.88	0.17	0.11	2.38	10.04	6.57	0.78	0.0	5.57	3.82	7.07	2.9	8.98	2.16	6.63	7.97	6.72	3.44	8.91	11.27	1.22	0.56
Cyp2j5	9.3	8.88	4.17	3.85	0.7	2.49	1.09	0.33	1.07	0.52	0.43	0.3	0.85	7.57	5.9	0.22	0.0	2.87	3.65	7.53	2.12	6.64	0.47	2.67	8.01	6.07	0.2	0.7	10.72	0.71	0.13
