	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_3	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTnegative_cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110038F14Rik	0.0	0.0	176.2	0.0	26.61	27.49	24.69
1700047I17Rik2	2.63	0.48	29.0	0.37	17.56	16.4	17.92
4931406H21Rik	0.0	0.0	0.21	0.0	0.15	0.0	0.03
9330151L19Rik	0.0	0.0	153.66	0.0	22.66	23.63	26.04
Agtrap	0.23	0.33	0.74	0.29	5.28	5.51	6.62
Casc3	0.0	0.0	107.59	0.0	46.6	47.1	45.84
Ccl27b	0.0	0.0	175.52	0.0	30.63	28.29	22.96
Ctdspl	0.0	0.0	116.47	0.0	21.42	22.93	24.08
D7Ertd715e	0.0	0.0	106.77	0.0	22.53	16.54	22.31
Ddx54	0.0	0.0	36.26	0.0	28.29	33.01	31.66
Emb	0.0	0.0	168.18	0.0	22.37	23.13	21.03
Ephb2	0.0	0.77	27.32	0.0	10.98	10.79	12.45
Fam177a	2.63	0.48	29.0	0.37	17.56	16.4	17.92
Fastk	0.0	0.0	332.25	0.0	89.23	98.2	94.35
Fbxl12	0.0	0.0	48.4	0.0	11.29	12.2	12.01
Gcat	0.0	0.0	208.21	0.0	8.17	8.8	8.4
Ghr	0.0	0.0	41.83	0.0	7.76	5.47	9.9
Gm13306	0.0	0.0	175.52	0.0	30.63	28.29	22.96
Gm14430	0.0	0.04	61.65	0.0	7.67	5.07	7.49
Gm14434	0.0	0.04	61.65	0.0	7.67	5.07	7.49
Gm2506	0.0	0.0	175.52	0.0	30.63	28.29	22.96
Gm3317	0.0	0.0	33.52	0.0	2.38	2.75	2.9
Gm3494	0.0	0.0	33.52	0.0	2.38	2.75	2.9
Gm4724	0.0	0.04	61.65	0.0	7.67	5.07	7.49
Gm9199	0.0	0.0	22.14	0.0	0.21	0.0	0.59
Grk1	0.18	0.45	8.04	0.09	0.89	0.76	1.05
Jak1	0.0	0.0	120.26	0.0	101.99	98.06	99.37
Mrgpra4	0.0	0.0	0.98	0.0	0.0	0.0	0.0
Myo5c	0.06	0.39	10.79	0.0	3.22	2.07	2.65
Nek9	0.0	0.0	111.66	0.0	34.63	34.71	35.65
Nlgn1	0.0	0.0	172.48	0.0	36.85	33.59	39.74
Pex1	0.0	0.0	153.63	0.0	15.86	15.43	16.08
Rad51l3	0.88	0.1	71.04	0.89	8.41	7.93	8.2
Rbms1	0.0	0.0	261.21	0.0	17.77	15.4	14.91
Rps6ka5	0.0	0.0	55.19	0.0	16.11	16.77	15.18
Rrp36	0.0	0.0	165.59	0.0	20.09	24.12	21.85
Rtn4	256.59	125.33	684.52	118.01	345.7	345.07	328.47
Rtn4ip1	0.0	0.0	180.08	0.61	13.21	12.21	11.93
Serp1	0.0	0.0	59.62	0.28	46.41	47.54	42.93
Sip1	0.0	0.0	228.91	0.0	10.75	11.06	9.78
Snora70	0.0	0.0	158.11	0.0	8.46	9.97	3.28
Spag1	0.0	0.0	29.47	0.0	10.31	9.19	9.88
Sugp2	0.0	0.0	99.92	0.0	63.49	63.87	67.29
Thnsl1	0.0	0.0	277.64	0.0	16.61	14.57	16.65
Zfand2a	0.0	0.15	110.43	0.0	50.77	49.52	45.23
Zfp386	0.0	0.0	261.21	0.0	17.19	13.62	18.39
mt_AK131586	6370.03	0.0	0.0	0.0	25813.35	24091.17	24561.45
