	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_24	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2010015L04Rik	7.22	3.24	0.98	0.0	0.0	143.36	13.21	16.57	195.88	9.58	1.69	0.0	0.0	0.0	5.06	0.0	1.38	5.93	1.28	0.72	5.5	2.74	9.6	3.34	5.48	5.11	5.87	2.29	69.05	4.76	6.27	6.24	1.04	5.73	5.0	0.84	3.64	6.5	4.73	1.57	64.32	91.89	0.78	30.9	0.55	1.94	0.99	2.88	8.18	8.34	1.73	19.33	0.94	26.78	23.24	23.3
4933409K07Rik	123.2	64.5	21.39	1.61	0.22	142.17	371.13	189.83	227.84	105.4	174.59	0.0	0.22	4.05	224.65	0.0	65.19	87.6	91.74	22.85	102.92	60.38	71.41	109.85	83.97	53.23	109.54	53.54	62.41	201.64	107.02	95.61	75.61	143.53	87.7	47.26	58.32	134.21	56.66	37.06	129.12	45.02	35.9	19.96	7.5	96.95	86.35	64.48	44.22	104.8	122.11	125.55	44.67	201.88	193.56	177.85
Amy2a2	0.3	0.17	0.0	0.0	0.0	0.11	0.15	0.62	0.49	0.51	0.09	0.0	0.06	0.0	0.15	0.0	0.13	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.2	0.1	0.14	0.2	0.07	0.17	0.16	0.18	0.05	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.05	0.22	0.0	0.02	0.0	0.18	0.09	0.08	0.12	0.2	0.13	0.26	0.19	0.21
Amy2a3	0.3	0.17	0.0	0.0	0.0	0.11	0.15	0.62	0.49	0.51	0.09	0.0	0.06	0.0	0.15	0.0	0.13	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.2	0.1	0.14	0.2	0.07	0.17	0.16	0.18	0.05	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.05	0.22	0.0	0.02	0.0	0.18	0.09	0.08	0.12	0.2	0.13	0.26	0.19	0.21
Amy2a4	0.3	0.17	0.0	0.0	0.0	0.11	0.15	0.62	0.49	0.51	0.09	0.0	0.06	0.0	0.15	0.0	0.13	0.13	0.22	0.1	0.29	0.09	0.08	0.17	0.12	0.09	0.2	0.1	0.14	0.2	0.07	0.17	0.16	0.18	0.05	0.0	0.38	0.23	0.26	0.08	0.31	0.17	0.05	0.22	0.0	0.02	0.0	0.18	0.09	0.08	0.12	0.2	0.13	0.26	0.19	0.21
Arhgef9	16.83	51.67	0.37	0.0	0.07	34.64	32.59	123.93	87.15	70.29	8.4	0.0	0.0	0.0	6.0	0.0	19.2	5.96	17.7	0.13	7.37	20.07	16.27	1.29	1.53	12.96	44.97	1.55	19.58	1.15	18.68	2.85	46.02	12.83	22.56	3.88	0.0	0.29	34.4	5.38	0.0	9.14	2.84	0.0	0.0	8.77	41.27	12.62	0.0	18.5	6.42	23.31	0.29	220.51	209.27	213.67
Armcx4	2.03	17.08	0.09	0.0	0.0	12.39	2.45	17.44	10.43	0.91	0.03	0.0	0.0	0.0	0.32	0.0	10.31	0.05	0.03	7.51	0.0	9.6	0.01	0.06	15.3	7.76	0.07	1.37	9.83	0.14	0.0	13.89	0.19	1.72	2.82	0.02	0.0	8.82	0.98	0.04	1.08	0.95	0.0	0.03	0.53	0.03	0.1	0.05	0.09	4.12	0.05	12.81	0.0	23.98	21.4	24.53
Atm	0.0	3.1	0.0	0.0	0.0	0.43	0.0	32.25	15.84	0.68	0.0	81.66	0.23	0.03	0.02	0.0	0.05	3.04	0.01	0.03	0.02	0.0	0.04	0.02	8.67	1.32	2.21	0.0	2.0	0.0	4.69	3.88	0.69	1.47	0.05	0.0	0.0	0.39	0.02	0.0	0.75	0.04	0.02	0.55	0.0	0.0	0.07	13.43	0.02	0.15	11.08	0.77	0.13	8.51	7.1	8.33
Atp1a3	366.16	517.3	223.53	0.0	0.0	376.49	1308.59	397.81	678.24	423.72	147.33	0.0	0.0	0.0	318.33	0.0	156.09	286.6	265.8	263.32	239.7	311.99	160.81	252.13	322.56	344.11	374.74	279.42	298.17	387.02	349.38	126.28	238.48	248.26	335.86	337.68	83.59	272.65	310.38	212.08	248.82	134.54	99.63	250.32	0.0	245.85	247.83	337.67	513.59	370.84	271.27	142.07	160.6	1301.98	1411.72	1359.05
Atp1b1	460.32	401.56	307.14	0.0	0.0	786.6	1232.5	425.41	739.5	419.28	255.24	0.0	0.0	0.0	304.96	0.0	209.46	178.41	201.33	214.59	388.15	444.16	470.76	270.6	267.12	428.26	347.44	205.0	247.69	139.05	232.31	418.76	952.89	244.76	352.98	231.61	175.8	264.41	267.37	292.65	267.22	303.71	367.15	231.1	0.0	351.47	221.22	632.47	305.28	288.3	230.53	674.02	251.06	1639.11	1708.86	1616.5
