	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_7	Scnn1a.Tg3_tdTnegative_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110065P20Rik	0.0	0.0	0.0	61.88	75.89	73.29
1500016L03Rik	0.0	0.0	0.0	0.17	0.64	0.0
1520402A15Rik	0.0	0.0	0.0	20.66	20.51	19.73
1700012D14Rik	0.0	0.0	0.0	1.64	1.55	1.02
1700042B14Rik	0.0	0.0	0.0	0.0	0.0	0.0
1700101I11Rik	0.0	0.0	0.0	4.18	3.82	5.75
1810032O08Rik	0.0	0.0	0.0	4.3	6.5	3.96
2210408I21Rik	0.0	0.0	0.0	8.86	7.18	8.48
2210417K05Rik	0.0	0.0	0.0	0.75	0.88	0.58
2310008N11Rik	0.0	0.0	0.0	0.0	0.0	0.0
2810407C02Rik	0.0	0.0	0.0	135.82	122.53	133.52
3830408C21Rik	0.0	0.0	0.0	4.29	4.34	4.97
4921511H03Rik	0.0	0.0	0.0	0.1	0.0	0.0
4930404I05Rik	0.0	0.0	0.0	1.87	1.77	2.35
4930470P17Rik	0.0	0.0	0.0	0.36	0.95	0.37
4930527F14Rik	0.0	0.0	0.0	0.0	0.0	0.0
4930588N13Rik	0.0	0.0	0.0	0.46	0.52	0.48
4931406C07Rik	0.0	45.57	0.0	18.78	20.25	19.23
4932416H05Rik	0.13	0.0	1.12	5.44	5.94	5.08
5430405G05Rik	0.0	0.0	0.0	8.14	7.74	7.98
8030462N17Rik	0.0	0.0	0.0	19.52	19.12	20.03
9030418K01Rik	0.0	0.0	0.0	36.44	33.14	34.81
9330151L19Rik	0.0	0.0	0.0	22.66	23.63	26.04
9430076G02Rik	0.0	0.0	0.0	0.0	0.08	0.05
A530058N18Rik	0.0	0.0	0.0	4.18	4.24	5.38
Acbd7	0.0	0.0	0.0	1.17	0.55	0.61
Aldh7a1	0.0	0.0	0.0	62.52	60.34	66.5
Ampd2	0.0	0.0	0.0	43.08	46.45	44.94
Ankrd37	0.0	0.0	0.0	7.75	9.62	8.92
Asb7	0.0	0.0	0.0	10.77	10.71	8.44
Atoh7	0.0	0.0	0.0	1.18	0.89	1.95
Bola1	0.0	0.0	249.78	15.33	16.43	15.97
C230024C17	0.0	0.49	0.53	0.65	0.81	0.87
Cabp5	0.0	0.37	0.97	0.29	0.11	0.06
Ccl19	0.0	0.0	0.0	3.57	2.82	2.5
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cep63	0.0	0.0	0.0	20.51	20.14	22.9
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chd8	0.0	0.0	15.73	36.68	34.06	35.86
Chmp4b	0.0	0.0	0.0	213.47	219.44	219.27
Clec2l	0.0	0.0	0.0	53.14	54.8	59.77
Creb3	0.26	17.34	0.0	59.04	60.33	55.99
Cyp4f15	0.0	332.09	0.0	12.13	13.35	10.62
D730048J04Rik	0.0	0.0	0.0	0.76	0.5	0.31
Dapk1	0.0	0.0	0.0	58.61	61.1	63.88
Ddi2	0.0	0.0	0.0	27.95	26.68	27.82
Dmxl1	0.86	0.0	0.0	17.64	14.36	17.98
Dusp5	0.0	0.0	0.0	13.73	13.94	7.55
Ect2l	0.0	0.0	0.0	0.07	0.26	0.14
Ep400	0.0	0.0	0.09	26.54	25.34	29.25
Epc1	0.11	0.0	0.0	30.79	31.26	29.54
Exoc3	0.0	0.24	0.44	55.81	56.78	58.36
Fads3	0.0	0.0	0.0	24.08	27.45	23.49
Fam18a	0.0	0.0	0.0	28.17	30.48	28.58
Fam64a	0.0	0.0	0.0	0.68	1.48	1.12
Fbll1	0.0	0.0	0.0	34.35	40.91	38.67
Fbxo3	0.0	0.0	0.0	77.11	73.62	70.72
G6pdx	0.0	0.0	0.0	25.45	26.74	26.03
Gjd2	0.0	0.0	0.0	5.07	5.68	5.37
Glb1l	0.0	0.0	0.0	6.38	7.81	7.17
Gle1	0.13	0.0	0.0	39.85	40.93	38.61
Gltpd1	0.0	0.0	0.0	14.28	17.26	14.12
Gm17762	0.0	0.0	0.0	1.17	1.12	1.24
Gm20110	0.0	0.0	0.0	0.05	0.04	0.1
Gm2115	0.0	0.0	0.0	16.24	12.74	15.97
Gm5918	0.0	0.0	0.0	11.46	8.47	8.54
Gm88	0.0	0.0	0.0	47.98	56.84	50.95
Gm9958	0.0	0.0	0.0	2.27	1.7	1.45
Gmppa	182.45	0.0	0.0	38.42	42.47	38.94
Gpr176	0.0	0.0	0.0	8.75	8.71	8.84
Grip2	0.0	0.0	0.0	14.6	16.33	16.53
Habp4	0.0	0.0	0.22	188.43	207.17	194.28
Hdac4	0.0	0.14	0.0	22.25	20.83	23.35
Hist1h2ao	0.0	0.0	0.0	0.0	0.0	0.0
Hist1h2ap	0.0	0.0	0.0	0.0	0.0	0.0
Hmbs	0.0	0.0	0.0	17.15	21.24	20.53
Hmgb4	0.0	0.0	0.0	0.0	0.14	0.0
Id4	0.0	0.0	0.0	78.2	80.22	74.97
Inpp5a	0.0	0.0	0.0	42.92	46.53	44.53
Kcna6	0.0	0.0	0.0	50.12	47.07	51.34
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kntc1	0.0	0.0	0.0	0.28	0.36	0.35
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Leng9	0.0	0.0	0.0	9.54	11.2	10.88
Lepre1	0.0	0.0	0.0	7.2	6.74	6.58
Lin28b	0.0	0.0	0.0	2.45	2.41	2.42
Lyar	0.0	0.0	0.0	13.31	14.35	12.21
Mfsd9	0.0	0.0	0.0	4.87	4.59	5.0
Mir128-1	0.0	0.0	0.0	8.85	8.34	3.04
Mir669m-2	0.0	0.0	0.0	0.0	0.0	0.0
Mmp24	0.0	0.0	0.0	27.56	27.39	26.04
Mrpl33	0.0	0.0	0.0	57.4	64.17	61.62
Mtif3	0.0	0.0	0.33	7.38	7.99	8.27
Myo18a	0.0	0.0	5.79	73.68	77.26	81.45
Naaa	0.24	398.05	4.65	27.29	28.31	28.88
Nek3	0.0	0.0	0.0	1.94	1.97	1.45
Notch3	0.0	0.0	0.0	7.02	6.41	7.28
Olfr286	0.0	0.0	0.0	0.0	0.0	0.0
Pcdh17	0.0	0.0	115.35	23.23	19.8	22.48
Pcdhac2	0.0	0.0	0.0	41.8	41.32	44.47
Pcdhb22	0.0	0.0	0.0	7.34	6.97	7.49
Pcgf5	0.0	0.0	0.0	13.22	11.36	13.86
Pdha2	0.0	0.0	0.0	0.0	0.0	0.0
Pdzrn4	0.0	0.0	0.0	5.81	5.82	5.07
Peli3	0.0	0.0	0.0	15.88	16.77	19.03
Pgap1	0.0	0.0	0.28	14.52	12.46	12.69
Pgm5	0.02	0.0	0.0	2.24	2.12	2.48
Phyhipl	0.0	0.0	0.0	162.08	156.56	157.41
Plagl1	0.0	0.0	0.0	15.74	15.04	13.9
Plb1	0.0	0.0	0.0	2.15	2.02	1.38
Plcd3	0.0	0.0	0.0	13.3	13.96	12.32
Plekhn1	0.0	0.0	0.0	5.87	6.58	7.81
Ppp1r14c	0.0	0.0	0.0	15.05	17.27	14.84
Prpf8	0.0	7.74	0.0	85.01	87.82	87.55
Purg	0.0	0.0	0.0	19.43	17.91	21.21
Raly	0.0	0.0	0.0	115.6	114.16	116.41
Rbm4b	0.0	0.0	0.55	21.95	26.94	25.44
Rnf17	0.0	0.0	0.0	0.49	0.31	0.67
Rnu12	0.0	0.0	0.0	0.0	0.0	0.0
Rwdd3	0.0	0.0	0.0	6.88	5.91	5.99
Sergef	0.0	0.0	0.0	28.32	29.19	27.61
Serpinb13	0.0	0.0	0.0	0.0	0.0	0.0
Sgca	0.0	0.0	0.0	0.49	0.64	0.71
Sh3yl1	0.0	0.0	0.0	10.54	11.28	11.53
Slc10a3	0.0	0.0	0.0	3.48	3.01	3.51
Slc41a1	5.43	0.0	0.0	35.26	37.16	36.56
Slc4a7	0.0	0.0	0.27	13.09	12.01	12.37
Slmo1	0.0	0.83	0.95	33.1	32.1	34.86
Smad5	0.0	0.0	0.0	17.72	16.72	16.48
Snapc4	0.0	0.0	0.0	27.77	29.82	29.1
Snhg1	0.0	0.0	0.0	18.41	21.1	20.36
Snord96a	0.0	0.0	0.0	9.73	4.58	5.02
Snrk	0.0	0.0	0.0	47.62	51.78	49.29
Socs2	0.0	0.0	0.0	17.64	14.18	14.97
Syt14	0.0	0.0	0.0	7.99	7.69	9.84
Taf15	0.0	0.0	9.31	53.65	49.26	54.28
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tcerg1l	0.0	0.0	0.0	9.76	10.65	9.84
Tgoln1	1.71	0.11	0.0	87.0	88.94	86.31
Thbs2	0.0	0.0	0.0	3.61	3.68	3.48
Tm6sf2	0.0	0.0	0.0	3.24	3.58	1.89
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tulp4	0.0	0.0	0.0	59.3	56.91	65.23
Uhrf2	0.0	0.0	0.0	35.57	35.25	33.15
Zbtb9	0.75	0.21	1.57	15.69	14.88	16.7
Zfp354c	0.0	0.0	0.0	25.67	26.11	25.57
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c11_tRNA-Lys-AAG	0.0	0.0	0.0	0.0	2.33	2.64
c13_tRNA-Leu-CTG	0.0	0.0	0.0	0.0	0.0	0.0
c19_tRNA-Ala-GCY	0.0	0.0	0.0	0.0	0.0	0.0
c1_tRNA-Leu-CTG	0.0	0.0	0.0	0.0	0.0	0.0
c4_tRNA-Thr-ACG_	0.0	0.0	0.0	0.0	0.0	0.0
c6_tRNA-Gly-GGY	0.0	0.0	0.0	9.73	4.58	10.05
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
