	Chrna2_tdTpositive_cell_5	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_37	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_33	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_16	PvalbF.Gad2_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_91	Rbp4_tdTpositive_cell_165	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2810030E01Rik	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.79	0.0	0.04	0.53	6.23	6.35	6.67
3110007F17Rik	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.86	0.37	0.0	2.94	4.63	3.84	3.87
4930420K17Rik	2.44	0.0	0.0	0.0	0.0	1.93	1.97	6.52	1.79	0.75	0.36	0.33	0.0	0.0	13.91	0.0	5.33	2.47	13.13	13.26	16.54
4931406C07Rik	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	1.52	0.0	22.13	0.0	0.0	0.39	18.78	20.25	19.23
4931408D14Rik	0.17	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.47	0.47	0.76	0.49	0.59
AW046200	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.8	45.97	23.56	0.0	0.0	1.23	1.47	0.64	1.08
Anapc1	2.11	3.98	0.0	7.9	4.57	0.0	0.0	1.86	5.05	7.3	1.19	2.19	10.79	0.07	13.82	0.47	0.91	12.75	32.77	30.92	30.69
Bcar1	0.0	0.0	0.0	0.0	0.0	0.0	0.9	3.67	0.0	0.0	0.0	0.0	0.42	0.0	33.75	27.29	6.58	0.25	38.51	44.38	36.67
C230024C17	0.22	0.14	0.09	0.0	0.0	0.0	0.1	0.0	0.0	0.06	0.2	0.0	0.49	0.04	0.38	0.32	0.1	0.22	0.65	0.81	0.87
Ccl27b	8.62	11.2	0.0	1.09	1.45	0.0	4.61	0.0	4.46	3.01	0.0	0.0	2.2	0.0	7.39	0.0	0.0	40.26	30.63	28.29	22.96
Cldn15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.32	0.2	0.22
Cradd	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0	0.0	0.0	0.0	143.26	0.0	24.6	0.0	0.0	0.16	5.03	4.77	5.31
Cxxc5	0.0	0.2	0.38	3.35	0.0	0.0	0.0	1.79	0.0	0.0	0.0	0.0	0.0	28.5	24.07	0.0	0.0	7.21	78.58	82.01	79.57
Ddx28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.09	0.0	0.0	0.28	12.79	14.15	12.66
F2rl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.34	0.85	0.64
Fanca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.98	0.89	1.24
Fbxo15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.13	0.41	0.39
Fhl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52	0.0	0.0	0.0	1.26	0.89	1.96
Frs3	0.36	0.0	0.27	0.0	0.0	0.29	0.27	0.0	0.0	5.34	0.0	0.52	0.78	1.95	29.83	0.34	0.48	0.61	16.84	19.9	17.99
Gm13306	8.62	11.2	0.0	1.09	1.45	0.0	4.61	0.0	4.46	3.01	0.0	0.0	2.2	0.0	7.39	0.0	0.0	40.26	30.63	28.29	22.96
Gm13446	0.0	13.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.01	0.0	0.0	3.33	6.48	6.49	6.16
Gm15997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.86	0.0	0.0	0.0	1.0	1.2	0.48
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.13	1.5	1.73	1.86	1.4
Gm2506	8.62	11.2	0.0	1.09	1.45	0.0	4.61	0.0	4.46	3.01	0.0	0.0	2.2	0.0	7.39	0.0	0.0	40.26	30.63	28.29	22.96
Gm7854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.64	0.54	0.96
Gtpbp3	0.98	0.0	0.77	0.44	0.0	0.0	1.29	0.0	0.95	0.16	0.14	0.0	1.56	0.05	2.0	0.66	0.67	2.86	17.5	18.14	20.41
I830012O16Rik	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	67.07	0.0	0.0	0.13	4.81	4.47	3.2
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.13	1.5	1.73	1.86	1.4
Ltbp4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.71	0.0	0.0	3.32	37.04	41.64	39.41
Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.91	0.0	0.0	0.0	0.71	0.89	0.43
Med16	2.7	1.99	3.55	2.11	1.77	1.94	1.63	2.36	1.89	2.85	1.95	0.89	3.25	3.18	17.26	1.4	3.63	7.1	41.23	46.11	45.2
Miat	1.74	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.15	0.0	0.0	0.0	0.07	3.49	5.06	0.32	0.06	37.76	196.73	185.46	213.96
Mmab	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	20.54	0.05	37.94	0.0	0.0	2.95	24.61	25.96	24.22
Mtmr9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.66	0.0	0.0	25.35	6.8	10.81	27.47	53.44	0.0	0.0	2.84	73.44	71.47	77.25
Ndufab1	32.37	29.01	48.41	0.0	0.0	0.0	53.63	60.51	50.44	0.63	1.74	13.87	23.47	25.04	97.38	0.0	65.73	85.6	106.39	124.38	113.78
Nhlrc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.11	0.32	0.59	0.64
Olfr56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.07	0.07	0.0	0.0	0.27	0.1	0.05	0.05
Plcxd1	0.0	0.14	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	11.09	0.0	5.33	14.59	14.9	16.3
Pprc1	0.0	0.0	0.0	1.86	0.0	0.0	2.92	0.13	0.13	0.0	0.0	0.0	3.57	0.11	19.6	0.68	3.76	6.31	13.37	12.98	11.42
Sart1	0.15	0.0	0.0	0.8	0.0	0.0	0.0	0.0	11.11	0.09	0.0	0.0	0.19	17.62	16.33	0.0	0.69	4.14	27.52	30.31	28.43
Slc10a7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	1.73	0.0	0.0	0.0	2.57	2.86	3.81
