	Cux2_tdTnegative_cell_3	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_41	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110008P14Rik	0.0	162.36	38.24	219.79	237.06	257.04
1700030J22Rik	0.0	0.0	0.0	7.73	7.38	7.02
1700036G14Rik	0.0	0.0	0.0	0.33	0.21	0.0
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4931402G19Rik	0.61	0.37	0.0	1.36	1.14	1.05
5730409E04Rik	2.3	14.0	0.82	76.02	78.84	72.68
8030442B05Rik	0.0	0.0	0.0	1.86	2.67	3.81
Acvr2b	0.0	0.25	0.0	7.08	5.81	6.58
Agxt2l2	0.0	1.12	0.0	3.97	3.41	4.6
Ank1	0.0	4.78	3.32	19.24	22.06	23.05
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Bbs1	3.03	5.34	1.64	25.47	26.95	26.59
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Btc	0.0	0.26	1.21	1.24	1.37	1.42
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm2	0.0	0.0	0.0	5.51	5.79	3.3
Camkv	0.0	0.0	50.51	455.8	497.46	456.14
Ccl27b	0.0	1.67	2.24	30.63	28.29	22.96
Ccm2	0.0	14.3	0.0	55.46	61.72	57.53
Cdan1	0.0	0.0	7.87	12.72	12.84	12.6
Cdc42ep4	0.0	0.0	0.0	23.42	25.96	22.87
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Cnih3	0.0	0.16	56.27	67.01	69.54	71.9
Dcaf6	0.0	9.74	11.44	80.08	75.12	71.58
E130012A19Rik	0.0	0.0	0.0	69.45	79.18	76.51
Ercc5	8.75	1.45	0.0	14.77	13.8	13.53
Erdr1	0.0	3.42	7.69	94.32	245.81	243.31
Erf	0.0	0.95	0.0	38.32	41.49	35.94
Fam63a	0.0	4.63	10.35	16.34	18.08	17.05
Fbf1	0.0	4.17	0.0	36.37	34.81	37.68
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fus	0.0	1.38	4.87	236.98	238.88	232.01
Gda	0.0	0.0	0.0	173.69	169.3	165.34
Gipc1	8.91	23.77	4.07	73.83	85.57	79.88
Gltscr1	0.0	0.0	0.0	10.13	11.66	11.79
Gm13306	0.0	1.67	2.24	30.63	28.29	22.96
Gm2506	0.0	1.67	2.24	30.63	28.29	22.96
Gm3317	0.0	1.64	0.82	2.38	2.75	2.9
Gm3494	0.0	1.64	0.82	2.38	2.75	2.9
Gprc5b	0.0	56.73	35.4	76.52	88.16	92.21
H2-K2	0.0	0.0	0.0	1.67	2.19	1.79
Hap1	0.0	2.65	0.0	112.51	131.43	121.78
Hecw1	0.0	0.0	0.0	28.69	23.52	28.92
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h2bq	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.38	0.28	0.38
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Htra4	0.0	0.0	0.0	0.86	1.15	0.75
Ifi44	0.0	0.0	0.0	0.71	0.48	0.77
Insig1	3.55	6.02	10.68	72.58	75.48	68.06
Isoc2a	0.0	0.0	0.0	31.43	34.84	32.45
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Ldoc1l	0.0	1.22	22.25	41.83	45.1	45.4
Magel2	0.0	0.0	0.0	1.85	2.3	2.15
Mast1	0.0	0.0	12.02	57.59	61.96	60.11
Mfap5	0.0	0.0	0.0	0.38	0.4	0.94
Mink1	0.0	8.63	0.16	186.96	186.51	192.9
Nfatc4	0.23	0.0	0.0	0.96	1.22	1.24
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Pacs1	0.0	0.0	0.0	53.18	53.52	54.5
Pcdhga5	0.0	0.0	0.0	11.11	12.56	10.75
Plbd2	0.0	0.0	7.37	56.52	58.58	55.52
Plcxd1	0.0	0.0	0.0	14.59	14.9	16.3
Prkab2	0.0	16.21	0.0	31.73	29.61	32.56
Ptgdr	0.0	0.06	0.0	0.84	1.05	0.9
Qsox2	0.0	0.0	0.0	20.22	20.53	20.87
Rab35	0.0	26.91	0.0	84.52	88.12	83.65
Rgs8	0.0	0.14	0.0	56.68	53.59	51.66
Rhoc	0.0	0.41	0.0	20.92	22.05	21.79
Scmh1	0.0	7.14	24.87	33.8	33.61	32.81
Sez6	0.0	0.0	0.0	153.01	159.71	158.47
Slc16a2	0.0	0.0	0.0	29.0	27.91	29.88
