	Ndnf_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_44	PvalbF.Gad2_tdTpositive_cell_44	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.04	0.04
1700001K23Rik	0.0	0.0	0.0	0.22	0.22
1700003L19Rik	0.0	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.0	0.11	0.11
1700011F14Rik	0.0	0.0	0.0	0.19	0.19
1700023A16Rik	0.0	0.0	0.0	0.16	0.16
1700024P03Rik	0.0	0.0	0.0	0.21	0.21
1700034F02Rik	0.0	0.0	0.0	0.14	0.14
1700061J05Rik	0.0	0.0	0.0	0.11	0.11
2310065F04Rik	0.0	0.0	0.0	0.07	0.07
4833403I15Rik	0.0	0.0	0.0	0.03	0.03
4930403N07Rik	0.0	0.0	0.0	0.04	0.04
4930455B14Rik	0.0	0.0	0.0	0.09	0.09
4930528F23Rik	0.0	0.0	0.0	0.06	0.06
4930544D05Rik	0.0	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.0	0.07	0.07
4930562C15Rik	0.0	0.0	0.0	0.08	0.08
5830403M04Rik	0.0	0.0	0.0	0.16	0.16
5830411N06Rik	0.0	0.0	0.0	0.07	0.07
5830432E09Rik	0.0	0.0	0.0	0.28	0.28
9230104L09Rik	0.0	0.0	0.0	0.16	0.16
9330111N05Rik	0.0	0.0	0.0	0.07	0.07
A4gnt	0.0	0.0	0.0	0.07	0.07
Abca13	0.0	0.0	0.0	0.03	0.03
Abhd16b	0.0	0.0	0.0	0.06	0.06
Actn3	0.0	0.0	0.0	0.76	0.76
Adam15	0.0	2.54	0.9	76.22	81.5
Adamdec1	0.0	0.0	0.0	0.04	0.04
Adc	0.0	0.0	0.0	32.41	33.73
Adrbk2	47.43	0.0	4.6	54.58	56.04
Akr1c12	0.0	0.0	0.0	0.08	0.08
Alg6	1.13	0.12	0.0	9.63	9.54
Apob	0.0	0.0	0.0	0.01	0.01
Arhgef12	0.26	0.0	0.05	81.47	84.17
Atp8b3	0.0	0.0	0.0	0.04	0.09
B3galt2	0.0	0.0	0.0	24.93	26.56
BC051537	0.0	0.0	0.0	0.24	0.24
Barhl1	0.0	0.0	0.0	0.03	0.03
Bhlhe23	0.0	0.0	0.0	0.08	0.08
Blk	0.0	0.0	0.0	0.04	0.04
Bnc2	0.0	0.0	0.0	0.27	0.27
Bsnd	0.0	0.0	0.0	0.04	0.04
C8b	0.0	0.0	0.0	0.04	0.09
Capn13	0.0	0.0	0.0	0.04	0.04
Ccl27b	0.0	0.0	1.16	30.63	22.96
Ccr3	0.0	0.0	0.0	0.03	0.03
Cd27	0.0	0.0	0.0	0.48	0.48
Ceacam15	0.0	0.0	0.0	0.07	0.07
Ces1a	0.0	0.0	0.0	0.05	0.05
Clec12b	0.0	0.0	0.0	0.07	0.07
Clip1	0.12	0.0	0.0	61.66	61.68
Cpa3	0.0	0.0	0.0	0.07	0.07
Ctnna1	0.0	25.5	0.0	46.54	45.42
Cyp3a57	0.0	0.0	0.0	0.06	0.06
Dnajc5b	0.0	0.0	0.0	0.11	0.11
Dnmt3l	0.0	0.0	0.0	0.12	0.12
F630028O10Rik	0.0	0.0	0.0	0.07	0.07
Fam170b	0.0	0.0	0.0	0.12	0.12
Fam83b	0.0	0.0	0.0	0.06	0.06
Fam83g	0.0	0.0	0.0	0.02	0.02
Fam89a	0.0	0.0	0.0	2.44	2.44
Fgfr4	0.0	0.0	0.0	0.03	0.03
Fndc3c1	0.0	0.0	0.0	0.02	0.02
Foxi1	0.0	0.0	0.0	0.04	0.09
Foxp4	0.0	0.0	0.0	18.34	18.34
Fut1	0.0	0.0	0.0	0.08	0.08
Gabrr3	0.0	0.0	0.0	0.07	0.07
Gfra1	0.0	0.0	0.0	28.74	32.44
Gm12633	0.0	0.0	0.0	0.06	0.06
Gm13306	0.0	0.0	1.16	30.63	22.96
Gm15455	0.0	0.0	0.0	0.0	0.03
Gm16197	0.0	0.0	0.0	0.37	0.37
Gm1647	0.0	0.0	0.0	0.14	0.14
Gm20554	0.0	0.0	0.0	0.08	0.08
Gm2506	0.0	0.0	1.16	30.63	22.96
Gm4745	0.0	0.0	0.0	0.08	0.08
Gna13	0.0	0.06	3.55	25.82	25.3
Gpr44	0.0	0.0	0.0	0.08	0.08
Gspt2	0.0	0.0	0.0	29.34	27.86
Gtpbp1	0.0	0.0	0.0	38.95	38.95
Gys1	0.08	0.0	0.0	12.8	12.16
Gzma	0.0	0.0	0.0	0.12	0.12
Hal	0.0	0.0	0.0	0.04	0.04
Hcfc1	0.0	0.0	2.7	41.86	44.45
Hemgn	0.0	0.0	0.0	0.04	0.04
Hhla1	0.0	0.0	0.0	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07
Ier5l	0.0	0.0	0.0	26.98	21.13
Igfbp1	0.0	0.0	0.0	0.07	0.07
Il17c	0.0	0.0	0.0	0.16	0.16
Il18rap	0.0	0.0	0.0	0.04	0.04
Il1rn	0.0	0.0	0.0	0.04	0.04
Itga9	0.0	0.0	0.0	3.97	3.97
Izumo4	0.0	0.0	0.0	36.06	31.56
Kctd19	0.0	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.0	0.04	0.04
Kera	0.0	0.0	0.0	0.05	0.05
